rowID,Season,Episode,Scene,Line in Episode,Speaker,Line,Characters
0,1,1,4,0,will,"I've never seen wildlings do a thing like this I've never seen a thing like this, not ever in my life","['Gared', 'Waymar Royce', 'Will']"
1,1,1,4,1,waymar royce,How close did you get?,"['Gared', 'Waymar Royce', 'Will']"
2,1,1,4,2,will,Close as any man would,"['Gared', 'Waymar Royce', 'Will']"
3,1,1,4,3,gared,We should head back to the wall,"['Gared', 'Waymar Royce', 'Will']"
4,1,1,4,4,royce,Do the dead frighten you?,"['Gared', 'Waymar Royce', 'Will']"
5,1,1,4,5,gared,Our orders were to track the wildlings We tracked them They won't trouble us no more,"['Gared', 'Waymar Royce', 'Will']"
6,1,1,4,6,royce,You don't think he'll ask us how they died? Get back on your horse,"['Gared', 'Waymar Royce', 'Will']"
7,1,1,4,7,will,Whatever did it to them could do it to us They even killed the children,"['Gared', 'Waymar Royce', 'Will']"
8,1,1,4,8,royce,"It's a good thing we're not children You want to run away south, run away Of course, they will behead you as a deserter If I don't catch you first Get back on your horse I won't say it again","['Gared', 'Waymar Royce', 'Will']"
9,1,1,4,9,royce,Your dead men seem to have moved camp,"['Gared', 'Waymar Royce', 'Will']"
10,1,1,4,10,will,They were here,"['Gared', 'Waymar Royce', 'Will']"
11,1,1,4,11,gared,See where they went,"['Gared', 'Waymar Royce', 'Will']"
12,1,1,8,12,royce,What is it?,"['Gared', 'Waymar Royce', 'White Walker']"
13,1,1,8,13,gared,It's,"['Gared', 'Waymar Royce', 'White Walker']"
14,1,1,12,14,jon,Go on Father's watching,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
15,1,1,12,15,jon,And your mother,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
16,1,1,12,16,septa mordane,"Fine work, as always Well done","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
17,1,1,12,17,sansa,Thank you,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
18,1,1,12,18,septa mordane,I love the detail that you've managed to get in this corners Quite beautiful the stitching,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
19,1,1,12,19,ned,"And which one of you was a marksman at ten? Keep practicing, Bran Go on","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
20,1,1,12,20,jon,"Don't think too much, Bran","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
21,1,1,12,21,robb,Relax your bow arm JON,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
22,1,1,12,22,robb,"Quick, Bran, faster","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
23,1,1,12,23,cassel,Lord Stark My lady A guardsman just rode in from the hills They've captured a deserter from the Night's Watch,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
24,1,1,12,24,ned,Get the lads to saddle their horses,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
25,1,1,12,25,catelyn,Do you have to?,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
26,1,1,12,26,ned,"He swore an oath, Cat","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
27,1,1,12,27,cassel,"The law is law, my lady","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
28,1,1,12,28,ned,"Tell Bran he's coming, too","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
29,1,1,12,29,catelyn,Ned Ten is too young to see such things,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
30,1,1,12,30,ned,He won't be a boy forever And winter is coming,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
31,1,1,12,31,robb,"Lad, go run back and get the rest","['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']"
32,1,1,13,32,will,"White Walkers I saw the White Walkers White Walkers The White Walkers, I saw them","['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
33,1,1,13,33,will,"I know I broke my oath And I know I'm a deserter I should have gone back to the Wall and warned them But I saw what I saw I saw the White Walkers People need to know If you can get word to my family, tell them I'm no coward Tell them I'm sorry","['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
34,1,1,13,34,will,"Forgive me, lord","['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
35,1,1,13,35,ned,"In the name of Robert of the House Baratheon, first of his name","['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
36,1,1,13,36,jon,Don't look away,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
37,1,1,13,37,ned,King of the Andals and the First Men,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
38,1,1,13,38,jon,Father will know if you do,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
39,1,1,13,39,ned,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die","['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
40,1,1,13,40,jon,You did well,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
41,1,1,13,41,ned,You understand why I did it?,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
42,1,1,13,42,bran,Jon said he was a deserter,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
43,1,1,13,43,ned,But do you understand why I had to kill him?,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
44,1,1,13,44,bran,Our way is the old way?,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
45,1,1,13,45,ned,The man who passes the sentence should swing the sword,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
46,1,1,13,46,bran,Is it true he saw the White Walkers?,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
47,1,1,13,47,ned,The White Walkers have been gone for thousands of years,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
48,1,1,13,48,bran,So he was lying?,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
49,1,1,13,49,ned,A madman sees what he sees,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']"
50,1,1,14,50,jon,What is it?,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
51,1,1,14,51,theon,Mountain lion?,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
52,1,1,14,52,ned,There are no mountain lions in these woods,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
53,1,1,14,53,theon,It's a freak,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
54,1,1,14,54,ned,It's a direwolf,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
55,1,1,14,55,ned,Tough old beast,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
56,1,1,14,56,robb,There are no direwolves south of the Wall,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
57,1,1,14,57,jon,Now there are five,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
58,1,1,14,58,jon,You want to hold it?,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
59,1,1,14,59,bran,Where will they go? Their mother's dead,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
60,1,1,14,60,cassel,They don't belong down here,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
61,1,1,14,61,ned,Better a quick death They won't last without their mother,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
62,1,1,14,62,theon,Right Give it here,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
63,1,1,14,63,robb,Put away your blade,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
64,1,1,14,64,theon,"I take orders from your father, not you","['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
65,1,1,14,65,bran,"Please, father","['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
66,1,1,14,66,ned,"I'm sorry, Bran","['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']"
