1;00:01:31,370;00:01:38,200;@ sync & correction by <font color=#00ff00>JP</font> @
1;00:01:40,020;00:01:44,310;Follow me on Instagram <font color=#00ff00>jayparmar271</font>
2;00:02:13,537;00:02:14,853;Welcome, Lord Stark.
3;00:02:14,973;00:02:18,273;Grand Maester Pycelle has called
3;00:02:14,973;00:02:18,273;a meeting of the small council.
4;00:02:18,308;00:02:20,408;The honor of your
4;00:02:18,308;00:02:20,408;presence is requested.
5;00:02:21,910;00:02:25,013;Get the girls settled in.
5;00:02:21,910;00:02:25,013;I'll be back in time for supper.
6;00:02:25,047;00:02:27,682;And, Jory, you go with them.
6;00:02:25,047;00:02:27,682;Yes, My Lord.
7;00:02:27,717;00:02:31,453;If you'd like to change into
7;00:02:27,717;00:02:31,453;something more appropriate...
9;00:03:07,624;00:03:09,959;Thank the gods
9;00:03:07,624;00:03:09,959;you're here, Stark.
10;00:03:10,927;00:03:14,452;About time we had some stern
10;00:03:10,927;00:03:14,452;northern leadership.
11;00:03:15,365;00:03:17,066;About glad to see you're
11;00:03:15,365;00:03:17,066;protecting the throne.
12;00:03:17,100;00:03:19,134;Sturdy old thing.
13;00:03:19,169;00:03:21,637;How many kings' asses
13;00:03:19,169;00:03:21,637;have polished it, I wonder?
14;00:03:21,672;00:03:23,672;Um, what's the line?
15;00:03:23,707;00:03:26,810;The King shits
15;00:03:23,707;00:03:26,810;and the Hand wipes.
16;00:03:26,844;00:03:30,314;Very handsome armor.
17;00:03:30,348;00:03:32,750;Not a scratch on it.
17;00:03:30,348;00:03:32,750;I know.
18;00:03:32,784;00:03:36,321;People have been swinging at me for
18;00:03:32,784;00:03:36,321;years, but they always seem to miss.
19;00:03:36,355;00:03:39,224;You've chosen your
19;00:03:36,355;00:03:39,224;opponents wisely then.
20;00:03:40,460;00:03:42,495;I have a knack for it.
21;00:03:45,632;00:03:48,767;It must be strange for you
21;00:03:45,632;00:03:48,767;coming into this room.
22;00:03:51,037;00:03:54,006;I was standing right here
22;00:03:51,037;00:03:54,006;when it happened.
23;00:03:55,008;00:03:57,075;He was very brave,
23;00:03:55,008;00:03:57,075;your brother.
24;00:03:57,110;00:03:58,911;Your father too.
25;00:03:58,945;00:04:01,079;They didn't deserve
25;00:03:58,945;00:04:01,079;to die like that.
26;00:04:01,114;00:04:03,982;Nobody deserves
26;00:04:01,114;00:04:03,982;to die like that.
27;00:04:04,017;00:04:05,884;But you just stood there
