1;00:01:17,638;00:01:21,638;<font color=#00FF00>♪ Game of Thrones 1x05 ♪</font>
﻿1;00:01:17,638;00:01:21,638;<font color=#00FFFF>The Wolf and the Lion</font>
﻿1;00:01:17,638;00:01:21,638;Original Air Date on May 15, 2011
2;00:01:38,663;00:01:45,963;=> Uploaded by : <font color=#00ff00>JP</font> <=
3;00:02:20,893;00:02:22,970;Does Ser Hugh have
3;00:02:20,893;00:02:22,970;any family in the capital?
4;00:02:22,995;00:02:24,195;No.
5;00:02:26,282;00:02:29,150;I stood vigil for him myself
5;00:02:26,282;00:02:29,150;last night.
6;00:02:29,843;00:02:32,177;He had no one else.
7;00:02:33,041;00:02:35,242;He'd never worn
7;00:02:33,041;00:02:35,242;this armor before.
8;00:02:35,276;00:02:37,511;Bad luck for him--
9;00:02:37,545;00:02:39,713;going against
9;00:02:37,545;00:02:39,713;the Mountain.
10;00:02:39,747;00:02:42,114;Who determines
10;00:02:39,747;00:02:42,114;the draw?
11;00:02:42,149;00:02:44,750;All the knights
11;00:02:42,149;00:02:44,750;draw straws, Lord Stark.
12;00:02:44,785;00:02:46,418;Aye.
13;00:02:46,453;00:02:49,655;But who holds
13;00:02:46,453;00:02:49,655;the straws?
14;00:02:49,690;00:02:52,225;You've done
14;00:02:49,690;00:02:52,225;good work, sisters.
15;00:02:57,832;00:03:00,868;Life is strange.
15;00:02:57,832;00:03:00,868;Not so many years ago
16;00:03:00,903;00:03:02,871;we fought as enemies
16;00:03:00,903;00:03:02,871;at the trident.
17;00:03:02,905;00:03:05,707;I'm glad we never met
17;00:03:02,905;00:03:05,707;on the field, Ser Barristan.
18;00:03:05,741;00:03:07,642;As is my wife.
19;00:03:07,677;00:03:09,678;I don't think the widow's life
19;00:03:07,677;00:03:09,678;would suit her.
20;00:03:09,713;00:03:12,047;You're too modest.
21;00:03:12,081;00:03:14,450;I've seen you cut down
21;00:03:12,081;00:03:14,450;a dozen great knights.
22;00:03:14,484;00:03:16,118;My father once told me
23;00:03:16,152;00:03:18,353;you were the best
23;00:03:16,152;00:03:18,353;he'd ever seen.
24;00:03:18,387;00:03:21,223;I never knew the man to be
24;00:03:18,387;00:03:21,223;wrong about matters of combat.
25;00:03:21,257;00:03:23,559;He was a fine man,
25;00:03:21,257;00:03:23,559;your father.
26;00:03:24,861;00:03:26,962;What the Mad King did to him
26;00:03:24,861;00:03:26,962;was a terrible crime.
27;00:03:26,997;00:03:28,564;And that lad--
28;00:03:28,598;00:03:30,633;he was a squire
28;00:03:28,598;00:03:30,633;until a few months ago.
29;00:03:30,668;00:03:33,269;How could he afford
29;00:03:30,668;00:03:33,269;a new suit of armor?
30;00:03:33,303;00:03:35,771;Perhaps Lord Arryn
30;00:03:33,303;00:03:35,771;left him some money?
31;00:03:37,841;00:03:39,942;I hear the King wants
31;00:03:37,841;00:03:39,942;to joust today.
32;00:03:39,976;00:03:41,643;Yes, that will
32;00:03:39,976;00:03:41,643;never happen.
33;00:03:41,678;00:03:44,479;Robert tends to do
33;00:03:41,678;00:03:44,479;what he wants.
34;00:03:44,514;00:03:47,149;If the King got what
34;00:03:44,514;00:03:47,149;he wanted all the time,
35;00:03:47,183;00:03:49,785;he'd still be fighting
35;00:03:47,183;00:03:49,785;a damned rebellion.
36;00:03:54,524;00:03:57,259;It's made too small,
36;00:03:54,524;00:03:57,259;Your Grace. It won't go.
37;00:03:57,294;00:03:59,595;Your mother was
37;00:03:57,294;00:03:59,595;a dumb whore
38;00:03:59,630;00:04:02,031;with a fat ass.
38;00:03:59,630;00:04:02,031;Did you know that?
39;00:04:04,701;00:04:08,170;Look at this idiot!
39;00:04:04,701;00:04:08,170;One ball and no brains.
40;00:04:08,205;00:04:10,940;He can't even put a man's
40;00:04:08,205;00:04:10,940;armor on him properly.
41;00:04:10,974;00:04:13,242;You're too fat
41;00:04:10,974;00:04:13,242;for your armor.
42;00:04:13,276;00:04:16,245;Fat?
42;00:04:13,276;00:04:16,245;Fat, is it?
43;00:04:16,280;00:04:19,482;Is that how you speak
43;00:04:16,280;00:04:19,482;to your King?
44;00:04:26,590;00:04:28,524;That was funny, is it?
45;00:04:30,627;00:04:32,261;No, Your Grace.
46;00:04:32,296;00:04:35,431;No?
46;00:04:32,296;00:04:35,431;You don't like the Hand's joke?
47;00:04:36,400;00:04:38,267;You're torturing
47;00:04:36,400;00:04:38,267;the poor boy.
48;00:04:38,301;00:04:41,103;You heard the Hand.
48;00:04:38,301;00:04:41,103;The King's too fat for his armor.
49;00:04:41,138;00:04:44,240;Go find the breastplate
49;00:04:41,138;00:04:44,240;stretcher-- now!
50;00:04:45,609;00:04:49,312;The breastplate stretcher?
51;00:04:49,346;00:04:51,680;How long before
51;00:04:49,346;00:04:51,680;he figures it out?
52;00:04:51,715;00:04:53,409;Maybe you should
52;00:04:51,715;00:04:53,409;have one invented.
53;00:04:53,434;00:04:54,734;All right, all right.
54;00:04:54,751;00:04:57,519;But you watch me out there--
54;00:04:54,751;00:04:57,519;I still know how to point a Lance.
55;00:04:57,554;00:05:00,657;You have no business jousting.
55;00:04:57,554;00:05:00,657;Leave that for the young men.
56;00:05:00,691;00:05:04,027;Why, because I'm king?
56;00:05:00,691;00:05:04,027;Piss on that. I want to hit somebody!
57;00:05:04,061;00:05:06,429;And who's going to hit you back?
57;00:05:04,061;00:05:06,429;Anybody who can.
58;00:05:06,463;00:05:09,532;And the last man in his saddle--
58;00:05:06,463;00:05:09,532;Will be you.
59;00:05:09,566;00:05:11,701;There's not a man
59;00:05:09,566;00:05:11,701;in the Seven Kingdoms
60;00:05:11,735;00:05:13,669;would risk hurting you.
61;00:05:13,704;00:05:16,605;Are you telling me those
61;00:05:13,704;00:05:16,605;cowards would let me win?
62;00:05:16,640;00:05:19,208;Aye.
63;00:05:23,580;00:05:26,081;Drink.
63;00:05:23,580;00:05:26,081;I'm not thirsty.
64;00:05:26,115;00:05:28,683;Drink.
64;00:05:26,115;00:05:28,683;Your King commands it.
65;00:05:32,454;00:05:34,356;Gods,
66;00:05:34,390;00:05:36,891;too fat for my armor.
67;00:05:37,860;00:05:40,461;Your squire...
67;00:05:37,860;00:05:40,461;A Lannister boy?
68;00:05:40,495;00:05:42,930;Mm. A bloody idiot,
69;00:05:42,964;00:05:45,065;but Cersei insisted.
70;00:05:45,099;00:05:48,535;I have Jon Arryn
70;00:05:45,099;00:05:48,535;to thank for her.
71;00:05:48,569;00:05:51,705;Cersei Lannister will make
71;00:05:48,569;00:05:51,705;a good match, she told me.
72;00:05:51,740;00:05:54,609;You'll need her father
72;00:05:51,740;00:05:54,609;on your side.
73;00:05:56,312;00:05:59,882;I thought being King meant I
73;00:05:56,312;00:05:59,882;could do whatever I wanted.
74;00:06:03,387;00:06:05,455;Enough of this.
74;00:06:03,387;00:06:05,455;Let's go watch 'em ride.
75;00:06:05,489;00:06:08,224;At least I can smell
75;00:06:05,489;00:06:08,224;someone else's blood.
76;00:06:08,258;00:06:10,126;Robert?
76;00:06:08,258;00:06:10,126;What?
77;00:06:11,028;00:06:13,929;Oh.
78;00:06:13,964;00:06:16,966;An inspiring sight
78;00:06:13,964;00:06:16,966;for the people, eh?
79;00:06:17,000;00:06:19,902;Come, bow before your King!
79;00:06:17,000;00:06:19,902;Bow, you shits!
80;00:06:33,484;00:06:36,986;Where's Arya?
80;00:06:33,484;00:06:36,986;At her dancing lessons.
81;00:06:39,223;00:06:41,424;The knight of the flowers.
82;00:06:48,198;00:06:50,533;Thank you, Ser Loras.
83;00:07:21,331;00:07:23,666;Don't let Ser Gregor
83;00:07:21,331;00:07:23,666;hurt him.
84;00:07:23,700;00:07:27,103;Hey.
84;00:07:23,700;00:07:27,103;I can't watch.
85;00:07:29,539;00:07:32,040;100 gold dragons
85;00:07:29,539;00:07:32,040;on the Mountain.
86;00:07:32,071;00:07:33,121;I'll take that bet.
87;00:07:33,146;00:07:35,011;Now what will I buy
87;00:07:33,146;00:07:35,011;with 100 gold dragons?
88;00:07:35,544;00:07:38,012;A dozen barrels
88;00:07:35,544;00:07:38,012;of Dornish wine?
89;00:07:38,046;00:07:41,081;Or a girl from
89;00:07:38,046;00:07:41,081;the pleasure houses of Lys?
90;00:07:41,115;00:07:42,370;Or you could even
90;00:07:41,115;00:07:42,370;buy a friend.
91;00:07:42,723;00:07:44,646;He's going to die.
92;00:07:44,685;00:07:47,287;Ser Loras rides well.
93;00:08:17,352;00:08:19,219;Such a shame,
93;00:08:17,352;00:08:19,219;Littlefinger.
94;00:08:19,253;00:08:21,554;It would have been so nice
94;00:08:19,253;00:08:21,554;for you to have a friend.
95;00:08:23,023;00:08:24,824;And tell me, Lord Renly,
96;00:08:24,858;00:08:27,360;when will you be having
96;00:08:24,858;00:08:27,360;your friend?
97;00:08:37,839;00:08:39,674;Loras knew his mare
97;00:08:37,839;00:08:39,674;was in heat.
98;00:08:39,708;00:08:41,442;Quite crafty, really.
99;00:08:41,477;00:08:43,778;Ser Loras would
99;00:08:41,477;00:08:43,778;never do that.
100;00:08:43,813;00:08:45,141;There's no honor in tricks.
101;00:08:45,166;00:08:46,951;No honor and quite
101;00:08:45,166;00:08:46,951;a bit of gold.
102;00:08:48,918;00:08:51,587;Sword!
103;00:09:16,814;00:09:18,915;Leave him be!
104;00:09:40,872;00:09:44,141;Stop this madness
104;00:09:40,872;00:09:44,141;in the name of your King!
105;00:09:49,813;00:09:52,081;Let him go!
106;00:10:00,524;00:10:02,993;I owe you my life, Ser.
107;00:10:03,027;00:10:05,295;I'm no Ser.
108;00:10:28,784;00:10:30,151;Remove his hood.
109;00:10:30,185;00:10:33,121;♪ on that Eve,
109;00:10:30,185;00:10:33,121;the captive Imp ♪
110;00:10:33,155;00:10:36,124;♪ downwards
110;00:10:33,155;00:10:36,124;from his horse did limp ♪
111;00:10:36,158;00:10:39,761;♪ no more would he
111;00:10:36,158;00:10:39,761;preen and primp ♪
112;00:10:39,796;00:10:42,132;♪ in garb of red and gold. ♪
113;00:10:42,157;00:10:43,232;This isn't the Kingsroad.
114;00:10:43,233;00:10:45,100;You said we were
114;00:10:43,233;00:10:45,100;riding for Winterfell.
115;00:10:45,135;00:10:47,470;I did...
115;00:10:45,135;00:10:47,470;Often and loudly.
116;00:10:47,504;00:10:49,806;Very wise.
117;00:10:49,841;00:10:51,642;They'll be out
117;00:10:49,841;00:10:51,642;in droves,
118;00:10:51,676;00:10:53,676;looking for me
118;00:10:51,676;00:10:53,676;in the wrong place.
119;00:10:53,711;00:10:56,380;Word's probably gotten
119;00:10:53,711;00:10:56,380;to my father by now.
120;00:10:56,414;00:10:59,216;He'll be offering
120;00:10:56,414;00:10:59,216;a handsome reward.
121;00:10:59,250;00:11:02,620;Everyone knows a Lannister
121;00:10:59,250;00:11:02,620;always pays his debts.
122;00:11:02,654;00:11:05,156;Would you be so good
122;00:11:02,654;00:11:05,156;as to untie me?
123;00:11:05,191;00:11:08,326;And why would I do that?
123;00:11:05,191;00:11:08,326;Why not?
124;00:11:08,360;00:11:09,994;Am I going to run?
125;00:11:10,028;00:11:11,929;The hill tribes would
125;00:11:10,028;00:11:11,929;kill me for my boots.
126;00:11:11,964;00:11:13,731;Unless a Shadowcat
126;00:11:11,964;00:11:13,731;ate me first.
127;00:11:13,765;00:11:16,934;Shadowcats and hill tribes are
127;00:11:13,765;00:11:16,934;the least of your concerns.
128;00:11:18,102;00:11:21,104;Ah, the eastern road.
129;00:11:21,138;00:11:23,340;We're going to the Vale.
130;00:11:23,374;00:11:25,375;You're taking me
130;00:11:23,374;00:11:25,375;to your sister's
131;00:11:25,409;00:11:27,310;to answer for my
131;00:11:25,409;00:11:27,310;imagined crimes.
132;00:11:27,345;00:11:30,747;Tell me, Lady Stark, when was
132;00:11:27,345;00:11:30,747;the last time you saw your sister?
133;00:11:30,781;00:11:32,849;Five years ago.
134;00:11:32,884;00:11:35,285;She's changed.
135;00:11:35,320;00:11:37,287;She was always
135;00:11:35,320;00:11:37,287;a bit touched, but now--
