1;00:00:06,014;00:00:08,548;( Theme music playing )
2;00:00:08,573;00:00:12,573;<font color=#00FF00>♪ Game of Thrones 2x03 ♪</font>
2;00:00:08,573;00:00:12,573;<font color=#00FFFF>What Is Dead May Never Die</font>
2;00:00:08,573;00:00:12,573;Original Air Date on April 15, 2012
3;00:00:12,598;00:00:16,598;== sync, corrected by <font color=#00ff00>elderman</font> ==
4;00:00:16,623;00:01:46,342;♪
5;00:01:57,028;00:02:00,597;Out, all of you.
6;00:02:01,766;00:02:05,436;Bastard's been meddling
6;00:02:01,766;00:02:05,436;where he shouldn't!
7;00:02:05,437;00:02:08,038;I want you and your men
8;00:02:09,248;00:02:11,849;gone.
9;00:02:11,883;00:02:15,252;And you will make
9;00:02:11,883;00:02:15,252;this right.
10;00:02:17,689;00:02:18,880;Wait outside.
11;00:02:18,882;00:02:20,850;Lord Commander.
11;00:02:18,882;00:02:20,850;Now!
12;00:02:41,711;00:02:44,579;Lord Commander.
12;00:02:41,711;00:02:44,579;Leave us.
13;00:02:45,428;00:02:47,730;What did you do?
14;00:02:47,764;00:02:49,731;I followed him.
15;00:02:49,766;00:02:52,201;He took the baby
15;00:02:49,766;00:02:52,201;into the woods, the newborn.
16;00:02:52,235;00:02:54,169;What business is that
16;00:02:52,235;00:02:54,169;of yours?
17;00:02:54,204;00:02:55,771;No, you don't understand.
18;00:02:55,806;00:02:58,207;He's killing them,
18;00:02:55,806;00:02:58,207;all the boys.
19;00:03:03,415;00:03:05,250;You know.
20;00:03:08,321;00:03:13,091;The wildlings serve
20;00:03:08,321;00:03:13,091;crueler Gods than you or I.
21;00:03:14,661;00:03:18,230;Those boys
21;00:03:14,661;00:03:18,230;are Craster's offerings.
22;00:03:18,264;00:03:19,765;Offerings?
23;00:03:19,799;00:03:22,535;He's murdering his own children.
23;00:03:19,799;00:03:22,535;He's a monster.
24;00:03:22,569;00:03:24,604;Aye, many a time that monster
24;00:03:22,569;00:03:24,604;has been the difference
25;00:03:24,638;00:03:27,173;between life and death
