1;00:02:36,240;00:02:37,532;I've taken your castle.
2;00:02:39,409;00:02:41,577;Theon?
2;00:02:39,409;00:02:41,577;It's Prince Theon now.
3;00:02:42,079;00:02:43,996;Get up. You have to get dressed.
4;00:02:45,457;00:02:47,208;I've taken Winterfell.
5;00:02:47,501;00:02:49,585;I took it. I'm occupying it.
6;00:02:49,878;00:02:52,755;I sent men over the walls
6;00:02:49,878;00:02:52,755;with grappling claws and ropes.
7;00:02:52,840;00:02:55,675;Why?
7;00:02:52,840;00:02:55,675;To take the castle.
8;00:02:56,260;00:02:59,345;You went with Robb.
8;00:02:56,260;00:02:59,345;And he sent me back to Pyke.
9;00:03:00,681;00:03:04,225;I'm a Greyjoy.
9;00:03:00,681;00:03:04,225;I can't fight for Robb and my father both.
10;00:03:06,019;00:03:08,020;Where's Hodor?
10;00:03:06,019;00:03:08,020;I don't know.
11;00:03:08,605;00:03:10,231;Find the halfwit.
12;00:03:10,983;00:03:14,360;My men are bringing your people
12;00:03:10,983;00:03:14,360;together in the courtyard.
13;00:03:14,444;00:03:16,904;Why?
13;00:03:14,444;00:03:16,904;So you and I can go down and tell them
14;00:03:16,989;00:03:19,615;how you've yielded Winterfell to me.
14;00:03:16,989;00:03:19,615;I won't.
15;00:03:20,826;00:03:22,535;Yes, you will.
16;00:03:22,619;00:03:25,079;I won't. I'll never yield.
17;00:03:25,455;00:03:27,415;We'll fight you and throw you out.
18;00:03:33,297;00:03:35,047;The castle is mine.
19;00:03:35,132;00:03:37,258;But these people are still yours.
20;00:03:37,342;00:03:39,510;You'll yield to keep them safe,
21;00:03:39,595;00:03:41,304;to keep them alive.
22;00:03:42,306;00:03:44,223;That's what a good lord would do.
23;00:03:47,811;00:03:50,438;Think carefully about what you want to say.
24;00:03:53,609;00:03:54,775;Theon.
25;00:03:55,694;00:03:57,028;Did you hate us the whole time?
26;00:04:05,495;00:04:07,622;I've yielded Winterfell to Theon.
27;00:04:07,706;00:04:08,831;Louder.
28;00:04:09,374;00:04:11,000;Say Prince Theon.
29;00:04:11,418;00:04:14,086;I've yielded Winterfell to Prince Theon.
30;00:04:14,755;00:04:15,838;You all know me.
31;00:04:15,923;00:04:18,591;Aye, we know you for a steaming sack of shit.
32;00:04:18,675;00:04:20,343;Farlen, you be silent.
33;00:04:20,802;00:04:23,137;Listen to your little lord, Farlen.
34;00:04:23,513;00:04:25,306;He has more sense than you do.
35;00:04:25,557;00:04:27,475;All of you should do as he commands.
36;00:04:27,559;00:04:31,020;My father has donned
36;00:04:27,559;00:04:31,020;the ancient crown of Salt and Rock
37;00:04:31,438;00:04:34,440;and declared himself King of the Iron Islands.
38;00:04:34,900;00:04:38,027;He claims the North as well
38;00:04:34,900;00:04:38,027;by right of conquest.
39;00:04:38,487;00:04:40,613;You are all his subjects.
39;00:04:38,487;00:04:40,613;Bugger that.
40;00:04:40,697;00:04:42,531;I serve the Starks.
41;00:04:42,616;00:04:45,952;If you think you can hold the North with it...
41;00:04:42,616;00:04:45,952;Shut up!
42;00:04:46,036;00:04:49,497;If you serve me as loyally
42;00:04:46,036;00:04:49,497;as you served Ned Stark,
43;00:04:49,581;00:04:52,083;I will be as good to you as he ever was.
43;00:04:49,581;00:04:52,083;Steady.
44;00:04:52,167;00:04:54,293;Betray me, and you will wish you hadn't.
45;00:04:56,505;00:04:59,465;Maester Luwin, send a raven to Pyke
46;00:04:59,549;00:05:02,051;informing my father of my victory here.
47;00:05:02,678;00:05:04,720;And one to Deepwood Motte to my sister.
48;00:05:05,639;00:05:09,058;Inform her that she's to bring
48;00:05:05,639;00:05:09,058;500 men to Winterfell.
49;00:05:12,813;00:05:15,147;You are a maester of the Citadel,
50;00:05:15,232;00:05:18,192;sworn to serve the Lord of Winterfell,
50;00:05:15,232;00:05:18,192;are you not?
51;00:05:18,819;00:05:19,819;I am.
52;00:05:20,070;00:05:23,280;I am the Lord of Winterfell
52;00:05:20,070;00:05:23,280;as Bran just informed you.
53;00:05:25,450;00:05:26,742;Send the ravens.
54;00:05:29,287;00:05:30,663;My lord.
55;00:05:33,000;00:05:34,583;My Lord Greyjoy.
56;00:05:36,253;00:05:39,630;I see you've finally learned
56;00:05:36,253;00:05:39,630;how to address your betters.
57;00:05:40,632;00:05:41,674;What do you want?
58;00:05:41,758;00:05:43,843;I was brought here a captive.
59;00:05:44,094;00:05:46,262;You were here the day I was taken.
60;00:05:46,346;00:05:48,931;I'm the one who took you. What of it?
61;00:05:50,684;00:05:52,309;Let me serve you.
62;00:05:53,270;00:05:54,645;Serve me how?
63;00:05:55,355;00:05:57,273;I need fighters, not kitchen sluts.
64;00:05:57,357;00:06:00,109;It was Robb Stark who put me in the kitchens.
65;00:06:01,278;00:06:03,320;Put a spear in my hand again.
66;00:06:03,780;00:06:07,324;So you can bury it in my neck?
66;00:06:03,780;00:06:07,324;Do you take me for a fool?
67;00:06:07,868;00:06:09,035;Get up.
68;00:06:09,578;00:06:10,995;Step aside.
69;00:06:12,789;00:06:13,873;Why?
70;00:06:15,500;00:06:17,251;It's your dream, little lord.
71;00:06:18,086;00:06:20,671;The ocean has come to swallow this place.
72;00:06:21,131;00:06:22,214;I ain't letting it drown me.
73;00:06:22,299;00:06:23,716;You'll all go about
73;00:06:22,299;00:06:23,716;your tasks as usual.
74;00:06:23,800;00:06:26,302;And in a few days' time...
74;00:06:23,800;00:06:26,302;Greyjoy!
75;00:06:34,019;00:06:37,229;We caught this one on his way back
75;00:06:34,019;00:06:37,229;from Torrhen's Square.
