1;00:02:24,311;00:02:25,394;Pod.
2;00:02:27,481;00:02:28,648;Pod!
3;00:02:31,401;00:02:33,194;Find Bronn or Varys.
4;00:02:34,071;00:02:36,739;Tell them I am here with Maester Pycelle.
5;00:02:37,324;00:02:39,909;Tell them I am very much alive.
6;00:02:40,369;00:02:41,494;Yes, my lord.
7;00:02:43,914;00:02:46,582;Would you like something for the pain?
8;00:02:48,585;00:02:50,002;What happened?
9;00:02:50,087;00:02:53,089;The murderer and traitor Stannis Baratheon
10;00:02:53,173;00:02:56,884;suffered a stunning defeat
10;00:02:53,173;00:02:56,884;at the hands of your father.
11;00:02:59,680;00:03:00,888;Where am I?
12;00:03:01,849;00:03:03,933;These are your new chambers.
13;00:03:04,852;00:03:08,771;A little cramped, perhaps,
13;00:03:04,852;00:03:08,771;but you don't need much room, do you?
14;00:03:10,482;00:03:12,984;You are no longer Hand of the King.
15;00:03:22,077;00:03:23,703;For your trouble.
16;00:03:47,978;00:03:51,105;I, Joffrey of the House Baratheon,
16;00:03:47,978;00:03:51,105;first of my name,
17;00:03:51,773;00:03:54,984;the rightful King of the Andals
17;00:03:51,773;00:03:54,984;and the First Men,
18;00:03:55,819;00:03:59,322;Lord of the Seven Kingdoms
18;00:03:55,819;00:03:59,322;and Protector of the Realm,
19;00:03:59,406;00:04:01,699;do hereby proclaim my grandfather,
20;00:04:01,783;00:04:06,746;Tywin Lannister, the savior of the city
20;00:04:01,783;00:04:06,746;and the Hand of the King.
21;00:04:20,177;00:04:21,510;Thank you, Your Grace.
22;00:04:32,064;00:04:34,482;Lord Petyr Baelish, step forward.
23;00:04:36,026;00:04:39,111;For your good service and ingenuity
24;00:04:39,196;00:04:41,822;in uniting the Houses of Lannister and Tyrell,
25;00:04:42,074;00:04:45,159;I declare that you shall be granted
25;00:04:42,074;00:04:45,159;the castle of Harrenhal
26;00:04:45,243;00:04:47,286;with all its attendant lands and incomes
27;00:04:47,913;00:04:52,333;to be held by your sons and grandsons
27;00:04:47,913;00:04:52,333;from this day until the end of time.
28;00:04:52,542;00:04:55,169;You honor me beyond words, Your Grace.
29;00:04:57,047;00:05:00,132;I shall have to acquire
29;00:04:57,047;00:05:00,132;some sons and grandsons.
30;00:05:04,680;00:05:06,305;Ser Loras Tyrell.
31;00:05:11,770;00:05:14,146;Your house has come to our aid.
32;00:05:14,564;00:05:17,525;The whole realm is in your debt,
32;00:05:14,564;00:05:17,525;none more so than I.
33;00:05:17,609;00:05:20,695;If your family would ask anything of me,
33;00:05:17,609;00:05:20,695;ask it,
34;00:05:21,154;00:05:23,030;and it shall be yours.
35;00:05:23,240;00:05:24,573;Your Grace,
36;00:05:25,826;00:05:28,995;my sister Margaery,
36;00:05:25,826;00:05:28,995;her husband was taken from us before...
37;00:05:31,456;00:05:32,623;She remains innocent.
38;00:05:33,750;00:05:36,419;I would ask you to find it in your heart
38;00:05:33,750;00:05:36,419;to do us the great honor
39;00:05:37,004;00:05:38,879;ofjoining our houses.
40;00:05:40,090;00:05:42,758;Is this what you want, Lady Margaery?
41;00:05:45,762;00:05:47,972;With all my heart, Your Grace.
42;00:05:48,974;00:05:51,392;I have come to love you from afar.
43;00:05:52,060;00:05:56,022;Tales of your courage and wisdom
43;00:05:52,060;00:05:56,022;have never been far from my ears.
44;00:05:56,940;00:06:00,901;And those tales have taken root
44;00:05:56,940;00:06:00,901;deep inside of me.
45;00:06:04,448;00:06:08,576;I, too, have heard tales
45;00:06:04,448;00:06:08,576;of your beauty and grace,
46;00:06:08,660;00:06:13,080;but the tales do not do you justice, my lady.
47;00:06:14,624;00:06:17,376;It would be an honor to return your love,
48;00:06:18,128;00:06:20,254;but I am promised to another.
49;00:06:22,132;00:06:23,716;A king must keep his word.
50;00:06:23,800;00:06:25,176;Your Grace,
51;00:06:25,385;00:06:29,889;in the judgment of your Small Council,
51;00:06:25,385;00:06:29,889;it would be neither proper nor wise
52;00:06:29,973;00:06:33,559;for you to wed the daughter
52;00:06:29,973;00:06:33,559;of a man beheaded for treason,
53;00:06:33,643;00:06:38,147;a girl whose brother is in open rebellion
53;00:06:33,643;00:06:38,147;against the throne as we speak.
54;00:06:38,982;00:06:42,568;For the good of the realm,
54;00:06:38,982;00:06:42,568;your councilors beg you
55;00:06:45,655;00:06:48,157;to set Sansa Stark aside.
56;00:06:50,619;00:06:52,328;Margaery!
56;00:06:50,619;00:06:52,328;We want Margaery!
57;00:06:56,833;00:07:00,753;I would like to heed your wishes
57;00:06:56,833;00:07:00,753;and the wishes of my people,
58;00:07:00,837;00:07:03,380;but I took a holy vow.
59;00:07:04,174;00:07:05,382;Your Grace,
60;00:07:06,051;00:07:09,178;the gods do indeed hold betrothal solemn,
61;00:07:09,513;00:07:13,808;but your father, blessed be his memory,
62;00:07:14,601;00:07:20,022;made this pact before the Starks
62;00:07:14,601;00:07:20,022;revealed their falseness.
63;00:07:21,358;00:07:23,943;I have consulted with the High Septon
64;00:07:24,319;00:07:28,030;and he assures me
64;00:07:24,319;00:07:28,030;that their crimes against the realm
65;00:07:28,698;00:07:31,909;free you from any promise
65;00:07:28,698;00:07:31,909;you have made to them
66;00:07:32,619;00:07:35,454;in the sight of the gods.
67;00:07:37,332;00:07:38,999;The gods are good.
68;00:07:39,292;00:07:41,335;I am free to heed my heart.
69;00:07:42,170;00:07:45,214;Ser Loras, I will gladly wed your sweet sister.
70;00:07:46,550;00:07:47,716;You will be my queen
71;00:07:49,219;00:07:53,389;and I will love you from this day
71;00:07:49,219;00:07:53,389;until my last day.
72;00:08:16,246;00:08:17,496;My lady.
73;00:08:19,124;00:08:21,125;My sincerest condolences.
74;00:08:22,377;00:08:24,170;They're right. I'm not good enough for him.
75;00:08:24,337;00:08:26,088;You shouldn't say that.
76;00:08:26,256;00:08:28,757;You'll be good enough for many things.
77;00:08:28,842;00:08:30,593;He'll still enjoy beating you.
78;00:08:31,344;00:08:33,429;And now that you're a woman,
