1;00:00:11,005;00:00:13,774;Fall back!
2;00:01:00,557;00:01:02,358;Brother?
3;00:02:24,608;00:02:27,276;Did you send the ravens?
4;00:02:29,546;00:02:33,683;Tarly, look at me.
5;00:02:35,786;00:02:38,354;Did you send the ravens?
6;00:02:41,758;00:02:43,893;That was your job.
7;00:02:43,927;00:02:46,696;Your only job.
8;00:02:54,204;00:02:57,874;We need to get
8;00:02:54,204;00:02:57,874;back to the Wall.
9;00:02:57,908;00:03:00,543;It's a long march.
10;00:03:00,577;00:03:03,312;We know what's out there,
11;00:03:03,380;00:03:07,116;but we have to make it,
11;00:03:03,380;00:03:07,116;have to warn them
12;00:03:07,150;00:03:09,986;or before winter's done,
13;00:03:10,020;00:03:12,188;everyone you've ever known
14;00:03:12,223;00:03:14,023;will be dead.
15;00:03:20,522;00:03:24,522;<font color=#00FF00>♪ Game of Thrones 3x01 ♪</font>
15;00:03:20,522;00:03:24,522;<font color=#00FFFF>Valar Dohaeris</font>
15;00:03:20,522;00:03:24,522;Original Air Date on March 13, 2013
16;00:03:24,547;00:03:29,547;== sync, corrected by <font color=#00ff00>elderman</font> ==
17;00:03:29,572;00:04:58,388;♪
18;00:06:06,964;00:06:09,566;First time you've seen
18;00:06:06,964;00:06:09,566;a giant, Jon Snow?
19;00:06:12,537;00:06:15,206;Well, don't stare too long.
19;00:06:12,537;00:06:15,206;They're shy.
20;00:06:17,376;00:06:20,845;When they stop being shy,
20;00:06:17,376;00:06:20,845;they get angry.
21;00:06:20,879;00:06:23,014;And when they're angry,
22;00:06:23,048;00:06:26,151;I've seen them pound a man
22;00:06:23,048;00:06:26,151;straight into the ground
23;00:06:26,185;00:06:28,186;like a hammer on a nail.
24;00:06:38,898;00:06:40,498;- Crow!
24;00:06:38,898;00:06:40,498;- Crow!
25;00:06:40,533;00:06:43,635;- Look over there!
25;00:06:40,533;00:06:43,635;- Crow!
26;00:06:43,669;00:06:46,503;Crow! Look over here!
26;00:06:43,669;00:06:46,503;Look!
27;00:06:46,538;00:06:49,673;Ah, look, crow coming!
28;00:06:49,708;00:06:51,409;Crow!
29;00:06:52,978;00:06:55,813;You're wearing
29;00:06:52,978;00:06:55,813;the wrong color.
30;00:06:55,847;00:06:58,349;Mance was a ranger.
31;00:07:00,352;00:07:03,488;In your hearts, all you
31;00:07:00,352;00:07:03,488;crows want to fly free.
32;00:07:03,522;00:07:05,423;When I'm free,
32;00:07:03,522;00:07:05,423;will I be free to go?
33;00:07:05,458;00:07:06,458;Crow!
33;00:07:05,458;00:07:06,458;Crow!
34;00:07:06,492;00:07:07,793;Sure, you will.
35;00:07:07,827;00:07:11,028;Oh!
36;00:07:11,063;00:07:13,932;And I'll be free
36;00:07:11,063;00:07:13,932;to kill you.
37;00:07:15,301;00:07:17,568;Got no respect, this lot.
38;00:07:17,603;00:07:20,772;Got no fathers to slap 'em
38;00:07:17,603;00:07:20,772;when they're foul.
39;00:07:20,806;00:07:23,141;What happened
39;00:07:20,806;00:07:23,141;to their fathers?
40;00:07:24,677;00:07:27,412;Some of them were killed
40;00:07:24,677;00:07:27,412;by crows like you.
41;00:07:28,814;00:07:31,883;Don't look so grim,
41;00:07:28,814;00:07:31,883;Jon Snow.
42;00:07:31,917;00:07:34,953;If Mance Rayder likes you,
42;00:07:31,917;00:07:34,953;you'll live another day.
43;00:07:34,987;00:07:37,856;And if he don't...
44;00:08:00,446;00:08:02,080;I smell a crow.
45;00:08:02,147;00:08:04,315;We killed his friends.
46;00:08:04,350;00:08:06,151;Thought you'd want
46;00:08:04,350;00:08:06,151;to question this one.
47;00:08:07,387;00:08:09,288;What do we want
47;00:08:07,387;00:08:09,288;with a baby crow?
48;00:08:09,322;00:08:12,258;This baby killed
48;00:08:09,322;00:08:12,258;Qhorin Halfhand.
49;00:08:12,292;00:08:15,494;He wants to be
49;00:08:12,292;00:08:15,494;one of us.
50;00:08:21,001;00:08:24,203;That half-handed cunt
50;00:08:21,001;00:08:24,203;killed friends of mine.
51;00:08:24,237;00:08:26,639;Friends twice your size.
52;00:08:28,542;00:08:32,211;My father told me big men fall
52;00:08:28,542;00:08:32,211;just as quick as little ones
53;00:08:32,246;00:08:35,715;if you put a sword
53;00:08:32,246;00:08:35,715;through their hearts.
54;00:08:35,749;00:08:38,584;Plenty of little men
55;00:08:38,618;00:08:41,554;tried to put their swords
55;00:08:38,618;00:08:41,554;through my heart.
56;00:08:41,588;00:08:44,356;And there's plenty
56;00:08:41,588;00:08:44,356;of little skeletons
57;00:08:44,391;00:08:46,058;buried in the woods.
58;00:08:47,828;00:08:51,130;What's your name, boy?
58;00:08:47,828;00:08:51,130;Jon Snow.
59;00:08:57,071;00:08:59,339;Your Grace.
60;00:09:01,642;00:09:04,077;Your Grace?
61;00:09:04,111;00:09:05,779;Did you hear that?
62;00:09:05,813;00:09:08,882;From now on, you'd better
62;00:09:05,813;00:09:08,882;kneel every time I fart.
63;00:09:08,916;00:09:12,318;Stand, boy.
64;00:09:14,455;00:09:17,457;We don't kneel for anyone
64;00:09:14,455;00:09:17,457;beyond the Wall.
65;00:09:20,194;00:09:25,332;So, you're
65;00:09:20,194;00:09:25,332;Ned Stark's bastard.
66;00:09:25,366;00:09:27,500;Thank you for the gift,
66;00:09:25,366;00:09:27,500;Lord of Bones.
67;00:09:27,535;00:09:30,204;You can leave us.
68;00:09:38,713;00:09:40,514;The girl likes you.
69;00:09:40,548;00:09:42,716;You like her back, Snow?
70;00:09:42,751;00:09:45,119;That why you want
70;00:09:42,751;00:09:45,119;to join us?
71;00:09:45,153;00:09:46,921;Don't panic, boy.
72;00:09:46,956;00:09:49,157;This isn't the damned
72;00:09:46,956;00:09:49,157;Night's Watch
73;00:09:49,192;00:09:51,393;where we make you
73;00:09:49,192;00:09:51,393;swear off girls.
74;00:09:51,427;00:09:55,096;This chicken eater you thought
74;00:09:51,427;00:09:55,096;was king is Tormund Giantsbane.
75;00:09:55,131;00:09:57,566;Can't believe this pup
76;00:09:57,600;00:09:59,901;killed the Halfhand.
77;00:09:59,935;00:10:02,136;He was our enemy
78;00:10:02,171;00:10:05,039;and I'm glad he's dead.
79;00:10:14,815;00:10:17,517;He was my brother once.
80;00:10:17,552;00:10:20,220;Back when he had
80;00:10:17,552;00:10:20,220;a whole hand.
81;00:10:21,789;00:10:23,757;What were you
81;00:10:21,789;00:10:23,757;doing with him?
82;00:10:23,791;00:10:27,094;The Lord Commander sent me
82;00:10:23,791;00:10:27,094;to the Halfhand for seasoning.
83;00:10:27,128;00:10:28,962;Why?
84;00:10:28,996;00:10:30,764;He wants me to lead
84;00:10:28,996;00:10:30,764;one day.
85;00:10:30,798;00:10:34,268;But here you are,
85;00:10:30,798;00:10:34,268;a traitor
86;00:10:34,302;00:10:36,770;kneeling before
86;00:10:34,302;00:10:36,770;the King-beyond-the-Wall.
87;00:10:36,838;00:10:40,374;If I'm a traitor,
87;00:10:36,838;00:10:40,374;then you are, too.
88;00:10:47,649;00:10:50,985;Why do you want
88;00:10:47,649;00:10:50,985;to join us, Jon Snow?
89;00:10:56,958;00:10:58,926;I want to be free.
90;00:10:58,960;00:11:02,096;No, I don't think so.
91;00:11:03,365;00:11:05,299;I think what you want
91;00:11:03,365;00:11:05,299;most of all
92;00:11:05,333;00:11:07,534;is to be a hero.
93;00:11:07,569;00:11:11,472;I'll ask you
93;00:11:07,569;00:11:11,472;one last time--
94;00:11:11,539;00:11:14,541;why do you want
94;00:11:11,539;00:11:14,541;to join us?
95;00:11:18,980;00:11:22,582;We stopped at Craster's
95;00:11:18,980;00:11:22,582;Keep on the way north.
96;00:11:24,052;00:11:26,486;I saw...
97;00:11:26,520;00:11:28,087;You saw what?
98;00:11:30,391;00:11:32,458;I saw Craster take
98;00:11:30,391;00:11:32,458;his own baby boy
99;00:11:32,492;00:11:35,227;and leave it
99;00:11:32,492;00:11:35,227;in the woods.
100;00:11:35,261;00:11:37,529;I saw what took it.
101;00:11:41,068;00:11:45,171;You're telling me
101;00:11:41,068;00:11:45,171;you saw one of them?
102;00:11:48,009;00:11:50,511;And why would that make you
102;00:11:48,009;00:11:50,511;desert your brothers?
103;00:11:50,545;00:11:53,614;Because when I told
103;00:11:50,545;00:11:53,614;the Lord Commander,
104;00:11:53,648;00:11:55,649;he already knew.
105;00:11:57,618;00:12:00,254;Thousands of years ago,
105;00:11:57,618;00:12:00,254;the First Men
106;00:12:00,288;00:12:03,624;battled the White Walkers
106;00:12:00,288;00:12:03,624;and defeated them.
107;00:12:03,658;00:12:07,628;I want to fight for the side
107;00:12:03,658;00:12:07,628;that fights for the living.
108;00:12:10,698;00:12:12,900;Did I come
108;00:12:10,698;00:12:12,900;to the right place?
109;00:12:17,672;00:12:20,440;We'll need to find you
109;00:12:17,672;00:12:20,440;a new cloak.
110;00:12:41,563;00:12:43,764;What if you took off
110;00:12:41,563;00:12:43,764;that bit there?
111;00:12:45,901;00:12:49,503;Don't you want to leave
111;00:12:45,901;00:12:49,503;something to the imagination?
112;00:12:49,537;00:12:53,439;Trouble is, I've never
112;00:12:49,537;00:12:53,439;had much imagination.
113;00:12:56,009;00:12:58,611;I want you to take it off.
114;00:13:04,917;00:13:06,785;Mouth.
115;00:13:12,391;00:13:15,559;Ser Bronn.
115;00:13:12,391;00:13:15,559;Ser Bronn.
116;00:13:17,462;00:13:19,430;I didn't hear that.
117;00:13:19,464;00:13:21,465;Apologies, ser.
117;00:13:19,464;00:13:21,465;- Back away.
118;00:13:21,499;00:13:24,435;Keep backing away till you're
118;00:13:21,499;00:13:24,435;outside this establishment.
119;00:13:24,469;00:13:28,105;Then back away some more.
119;00:13:24,469;00:13:28,105;Lord Tyrion sent me.
120;00:13:28,139;00:13:31,108;I will murder you, boy.
121;00:13:31,142;00:13:33,610;He said it was a matter
121;00:13:31,142;00:13:33,610;of life and death.
122;00:13:50,459;00:13:53,628;Pod?
122;00:13:50,459;00:13:53,628;- It's your sister.
123;00:13:54,898;00:13:57,233;The queen.
124;00:14:10,014;00:14:11,282;What are they doing here?
