1;00:00:00,659;00:00:02,126;The Tyrells are a problem.
2;00:00:02,160;00:00:04,795;The Tyrells helped us
2;00:00:02,160;00:00:04,795;defeat Stannis Baratheon.
3;00:00:04,830;00:00:06,263;You must see Highgarden.
4;00:00:06,297;00:00:08,699;I don't think the queen
4;00:00:06,297;00:00:08,699;would let me leave King's Landing.
5;00:00:08,733;00:00:10,634;Once I marry Joffrey,
5;00:00:08,733;00:00:10,634;I'll be queen.
6;00:00:10,669;00:00:14,307;And if you were
6;00:00:10,669;00:00:14,307;to marry Loras...
7;00:00:14,341;00:00:16,944;You must give yourself
7;00:00:14,341;00:00:16,944;to the Lord of Light.
8;00:00:16,979;00:00:19,482;I have a wife.
8;00:00:16,979;00:00:19,482;She's shut away in a tower.
9;00:00:19,517;00:00:22,685;And she's given you no sons,
9;00:00:19,517;00:00:22,685;only stillborns.
10;00:00:22,720;00:00:26,557;I lost one son to the Kingslayer,
10;00:00:22,720;00:00:26,557;strangled with a chain.
11;00:00:26,591;00:00:28,159;I grieve for
11;00:00:26,591;00:00:28,159;your sons, my lord.
12;00:00:28,193;00:00:30,461;I don't want your grief.
12;00:00:28,193;00:00:30,461;I want my vengeance.
13;00:00:34,132;00:00:37,234;Do that again
13;00:00:34,132;00:00:37,234;and I'll take your other hand.
14;00:00:37,269;00:00:39,505;What value was the mill?
14;00:00:37,269;00:00:39,505;I seized an opportunity.
15;00:00:39,539;00:00:42,708;We took hostages--
15;00:00:39,539;00:00:42,708;Willem Lannister, Martyn Lannister.
16;00:00:42,742;00:00:45,338;Willem and Martyn Lannister
16;00:00:42,742;00:00:45,338;are 14 years old.
17;00:00:45,372;00:00:47,369;I'm not your enemy.
18;00:00:47,404;00:00:48,545;This woman is evil!
19;00:00:48,570;00:00:50,527;Take him to the dungeon
19;00:00:48,570;00:00:50,527;and lock him in a cell.
20;00:00:50,804;00:00:52,138;You want to
20;00:00:50,804;00:00:52,138;assassinate a girl?
21;00:00:52,172;00:00:55,107;Based on whose information?
21;00:00:52,172;00:00:55,107;- Ser Jorah Mormont.
22;00:00:55,141;00:00:57,409;He is serving as advisor
22;00:00:55,141;00:00:57,409;to the Targaryens.
23;00:00:57,444;00:00:59,745;You bring us the whispers
23;00:00:57,444;00:00:59,745;of a traitor.
24;00:00:59,780;00:01:02,048;Beric Dondarrion?
24;00:00:59,780;00:01:02,048;If you mean to murder me,
25;00:01:02,083;00:01:03,851;then bloody well
25;00:01:02,083;00:01:03,851;get on with it.
26;00:01:03,885;00:01:06,253;You'll die soon enough,
26;00:01:03,885;00:01:06,253;but it won't be murder.
