1;00:00:09,075;00:00:11,910;( Gate rumbling, chains rattling )
2;00:00:40,976;00:00:43,278;( Horse snorts )
3;00:00:55,392;00:00:58,127;( Rumbling, chain rattling )
4;00:01:14,345;00:01:16,780;( Horse whickers )
5;00:01:42,574;00:01:45,042;( Wind whispering )
6;00:01:54,955;00:01:57,957;( Nickers )
6;00:01:54,955;00:01:57,957;Easy, boy.
7;00:02:54,584;00:02:56,418;( Gasps )
8;00:02:59,422;00:03:01,589;( Whinnies )
9;00:03:10,699;00:03:12,868;Man: What do you expect?
9;00:03:10,699;00:03:12,868;They're savages.
10;00:03:12,902;00:03:15,237;One lot steals a goat
10;00:03:12,902;00:03:15,237;from another lot,
11;00:03:15,271;00:03:18,274;before you know it they're
11;00:03:15,271;00:03:18,274;ripping each other to pieces.
12;00:03:18,308;00:03:20,476;I've never seen wildlings
12;00:03:18,308;00:03:20,476;do a thing like this.
13;00:03:20,511;00:03:22,812;I never seen a thing like
13;00:03:20,511;00:03:22,812;this, not ever in my life.
14;00:03:22,847;00:03:25,716;( Horse snorts )
14;00:03:22,847;00:03:25,716;How close did you get?
15;00:03:25,750;00:03:28,685;Close as any man would.
15;00:03:25,750;00:03:28,685;We should head back to the wall.
16;00:03:31,222;00:03:32,856;Do the dead frighten you?
17;00:03:32,890;00:03:35,325;Our orders were
17;00:03:32,890;00:03:35,325;to track the wildlings.
18;00:03:35,359;00:03:38,194;We tracked them.
18;00:03:35,359;00:03:38,194;They won't trouble us no more.
19;00:03:38,228;00:03:40,897;You don't think
19;00:03:38,228;00:03:40,897;he'll ask us how they died?
20;00:03:42,833;00:03:44,834;Get back on your horse.
21;00:03:44,868;00:03:46,935;( Huffs )
22;00:03:46,970;00:03:48,637;( Mutters )
23;00:03:49,806;00:03:51,707;Whatever did it to them
23;00:03:49,806;00:03:51,707;could do it to us.
24;00:03:51,742;00:03:53,709;They even killed the children.
25;00:03:53,744;00:03:56,813;It's a good thing
25;00:03:53,744;00:03:56,813;we're not children.
26;00:03:58,315;00:04:00,917;You want to run away south,
26;00:03:58,315;00:04:00,917;run away.
27;00:04:00,952;00:04:03,854;Of course they will
27;00:04:00,952;00:04:03,854;behead you as a deserter,
28;00:04:03,888;00:04:06,257;if I don't catch you first.
29;00:04:08,527;00:04:10,795;Get back on your horse.
30;00:04:10,829;00:04:12,797;I won't say it again.
31;00:04:30,950;00:04:33,251;( Echoing animal call )
32;00:04:44,362;00:04:46,897;Your dead men seem
32;00:04:44,362;00:04:46,897;to have moved camp.
33;00:04:46,932;00:04:49,466;They were here.
34;00:04:52,738;00:04:55,106;See where they went.
35;00:05:10,223;00:05:12,556;( Echoing calls )
36;00:05:40,587;00:05:42,755;What is it?
37;00:05:42,790;00:05:45,258;It's...
38;00:05:46,260;00:05:48,195;( Crackles )
39;00:05:50,398;00:05:52,632;( Distant scream )
40;00:05:52,667;00:05:54,934;( Horses neighing )
41;00:05:54,969;00:05:56,802;( Hoofbeats )
42;00:06:25,330;00:06:28,264;( Crackling, snarling )
43;00:06:28,299;00:06:30,667;( Chittering noises )
44;00:06:38,809;00:06:40,910;( Coughing )
45;00:06:44,615;00:06:46,683;( Panting )
46;00:06:46,717;00:06:48,585;( Wheezing )
47;00:06:49,587;00:06:51,554;( Hissing breath )
48;00:06:53,924;00:06:56,492;( Gasps )
49;00:06:59,296;00:07:02,031;( Crackling )
50;00:07:07,372;00:07:10,407;( Crackling )
51;00:07:10,441;00:07:12,776;( Chittering )
52;00:07:15,279;00:07:25,481;<font color=#ec14bd>Sync by honeybunny</font>
52;00:07:15,279;00:07:25,481;<font color=#ec14bd>www.addic7ed.com</font>
53;00:08:59,684;00:09:01,751;( Hoofbeats )
54;00:09:42,093;00:09:43,626;( Stomps )
55;00:09:47,698;00:09:50,767;Go on, father's watching.
56;00:09:52,804;00:09:54,705;And your mother.
57;00:10:00,713;00:10:04,083;Fine work as always.
57;00:10:00,713;00:10:04,083;Well done.
58;00:10:04,117;00:10:05,952;Thank you.
59;00:10:05,986;00:10:09,955;I love the detail that you've
59;00:10:05,986;00:10:09,955;managed to get in these corners.
60;00:10:09,990;00:10:11,924;Quite beautiful.
61;00:10:11,959;00:10:13,992;The stitching...
62;00:10:16,329;00:10:18,697;( Arrows thunk, laughter )
63;00:10:32,781;00:10:34,982;( Sighs )
63;00:10:32,781;00:10:34,982;( Laughing )
64;00:10:35,016;00:10:37,819;And which one of you
64;00:10:35,016;00:10:37,819;was a marksman at 10?
65;00:10:38,788;00:10:40,355;Keep practicing, Bran.
66;00:10:42,425;00:10:44,459;Go on.
67;00:10:44,494;00:10:47,362;Don't think too much, Bran.
68;00:10:48,831;00:10:50,898;Relax your bow arm.
69;00:11:00,842;00:11:02,676;( Men laugh )
70;00:11:02,710;00:11:05,511;Quick, Bran!
70;00:11:02,710;00:11:05,511;Faster.
71;00:11:07,014;00:11:09,082;Lord Stark!
72;00:11:10,117;00:11:12,118;My lady.
73;00:11:13,287;00:11:15,321;A guardsman just
73;00:11:13,287;00:11:15,321;rode in from the hills.
74;00:11:15,356;00:11:18,357;They've captured a deserter
74;00:11:15,356;00:11:18,357;from the Night's Watch.
75;00:11:21,661;00:11:24,030;Get the lads to saddle
75;00:11:21,661;00:11:24,030;their horses.
76;00:11:24,064;00:11:26,098;Do you have to?
77;00:11:26,132;00:11:28,466;He swore an oath, Cat.
78;00:11:28,501;00:11:30,468;The law is law, my lady.
79;00:11:31,637;00:11:33,471;Tell Bran he's coming too.
80;00:11:35,273;00:11:36,940;Ned.
81;00:11:36,975;00:11:39,309;10 is too young
81;00:11:36,975;00:11:39,309;to see such things.
82;00:11:39,343;00:11:41,110;He won't be a boy forever.
83;00:11:43,013;00:11:45,347;And winter is coming.
84;00:12:03,736;00:12:07,338;Lad, go run back
84;00:12:03,736;00:12:07,338;and get the rest.
85;00:12:11,911;00:12:13,778;( Muttering )
85;00:12:11,911;00:12:13,778;White walkers.
86;00:12:13,812;00:12:16,547;I saw the white walkers.
87;00:12:16,582;00:12:18,516;White walkers.
88;00:12:18,550;00:12:21,618;The white walkers, I saw them.
89;00:12:21,652;00:12:24,921;( Pants )
90;00:12:30,461;00:12:32,296;I know I broke my oath.
91;00:12:33,565;00:12:35,399;And I know I'm a deserter.
92;00:12:35,433;00:12:39,136;I should have gone back to the
92;00:12:35,433;00:12:39,136;wall and warned them, but...
93;00:12:39,170;00:12:41,338;I saw what I saw.
94;00:12:41,373;00:12:43,373;I saw the white walkers.
95;00:12:45,176;00:12:47,111;People need to know.
96;00:12:49,247;00:12:51,115;If you can get word
96;00:12:49,247;00:12:51,115;to my family...
97;00:12:51,149;00:12:53,551;Tell them I'm no coward.
98;00:12:53,585;00:12:55,720;Tell them I'm sorry.
99;00:13:12,537;00:13:14,305;( Whispers )
99;00:13:12,537;00:13:14,305;Forgive me, lord.
100;00:13:18,209;00:13:21,011;In the name of Robert
100;00:13:18,209;00:13:21,011;of the House Baratheon,
101;00:13:21,045;00:13:22,946;the first of his name...
101;00:13:21,045;00:13:22,946;Don't look away.
102;00:13:22,980;00:13:25,849;...King of the Andals and the First Men...
102;00:13:22,980;00:13:25,849;Father will know if you do.
103;00:13:25,884;00:13:29,419;...Lord of the Seven Kingdoms
103;00:13:25,884;00:13:29,419;and protector of the realm,
104;00:13:29,454;00:13:32,189;I, Eddard of the House Stark,
105;00:13:32,224;00:13:35,093;Lord of Winterfell
105;00:13:32,224;00:13:35,093;and warden of the north,
106;00:13:35,127;00:13:37,662;sentence you to die.
107;00:13:52,111;00:13:54,578;You did well.
108;00:14:21,773;00:14:23,707;You understand why I did it?
109;00:14:23,741;00:14:25,709;Jon said he was a deserter.
110;00:14:25,743;00:14:28,411;But do you understand
110;00:14:25,743;00:14:28,411;why I had to kill him?
111;00:14:28,446;00:14:30,213;Our way is the old way?
112;00:14:31,815;00:14:33,783;The man who passes the sentence
113;00:14:33,817;00:14:35,551;should swing the sword.
114;00:14:36,620;00:14:38,955;Is it true he saw
114;00:14:36,620;00:14:38,955;the white walkers?
115;00:14:40,757;00:14:43,827;The white walkers have been
115;00:14:40,757;00:14:43,827;gone for thousands of years.
116;00:14:43,861;00:14:46,664;So he was lying?
117;00:14:50,603;00:14:53,405;A madman sees what he sees.
118;00:15:19,165;00:15:21,333;What is it?
119;00:15:23,102;00:15:25,771;Mountain lion?
120;00:15:27,073;00:15:29,075;There are no mountain lions
120;00:15:27,073;00:15:29,075;in these woods.
121;00:15:56,272;00:15:58,606;( Pup whines )
122;00:15:59,809;00:16:02,443;( Yips )
123;00:16:15,059;00:16:17,060;It's a freak!
124;00:16:17,962;00:16:20,697;It's a direwolf.
125;00:16:28,540;00:16:31,274;Tough old beast.
126;00:16:32,710;00:16:35,478;There are no direwolves
126;00:16:32,710;00:16:35,478;south of the wall.
127;00:16:35,512;00:16:37,646;Now there are five.
128;00:16:37,681;00:16:40,349;You want to hold it?
129;00:16:42,351;00:16:44,519;( Pup whimpers )
130;00:16:44,554;00:16:47,055;Bran: Where will they go?
131;00:16:47,090;00:16:48,891;Their mother's dead.
132;00:16:48,925;00:16:50,560;They don't belong down here.
133;00:16:50,594;00:16:52,528;Better a quick death.
134;00:16:52,562;00:16:54,430;They won't last
134;00:16:52,562;00:16:54,430;without their mother.
135;00:16:54,464;00:16:56,632;Right. Give it here.
135;00:16:54,464;00:16:56,632;No!
136;00:16:56,667;00:16:58,400;( Whimpers )
136;00:16:56,667;00:16:58,400;Put away your blade.
137;00:16:58,434;00:17:00,569;I take orders from
137;00:16:58,434;00:17:00,569;your father, not you.
138;00:17:00,604;00:17:03,405;Please, father!
138;00:17:00,604;00:17:03,405;I'm sorry, Bran.
139;00:17:03,440;00:17:05,308;Lord Stark?
140;00:17:05,342;00:17:07,810;There are five pups...
141;00:17:09,279;00:17:11,146;One for each
141;00:17:09,279;00:17:11,146;of the Stark children.
142;00:17:11,181;00:17:13,983;( Pup cries )
142;00:17:11,181;00:17:13,983;The direwolf is the sigil of your house.
143;00:17:15,351;00:17:17,553;They were meant to have them.
144;00:17:22,492;00:17:24,927;You will train them yourselves.
145;00:17:24,961;00:17:26,929;You will feed them yourselves.
146;00:17:26,963;00:17:29,999;And if they die, you will
146;00:17:26,963;00:17:29,999;bury them yourselves.
147;00:17:38,207;00:17:40,342;What about you?
148;00:17:41,244;00:17:42,845;I'm not a Stark.
149;00:17:42,879;00:17:45,080;Get on.
150;00:17:51,989;00:17:54,123;( Whimpers )
151;00:17:54,157;00:17:56,559;What is it?
152;00:18:00,363;00:18:04,333;The runt of the litter...
152;00:18:00,363;00:18:04,333;That one's yours, Snow.
153;00:18:13,143;00:18:16,012;( Bells tolling )
154;00:19:04,191;00:19:07,627;As your brother, I feel
154;00:19:04,191;00:19:07,627;it's my duty to warn you:
155;00:19:08,896;00:19:10,930;you worry too much.
156;00:19:10,965;00:19:14,300;It's starting to show.
156;00:19:10,965;00:19:14,300;And you never worry about anything.
157;00:19:16,003;00:19:19,573;When we were seven and you jumped
157;00:19:16,003;00:19:19,573;off the cliffs at Casterly Rock,
158;00:19:19,607;00:19:21,942;100-foot drop into the water,
159;00:19:21,976;00:19:24,044;and you were never afraid.
160;00:19:24,079;00:19:26,780;There was nothing to be afraid
