1;00:00:04,652;00:00:06,681;There was a raven
﻿1;00:00:04,652;00:00:06,681;from King's Landing.
2;00:00:06,956;00:00:09,758;Jon Arryn is dead.
3;00:00:09,793;00:00:11,727;The King rides
3;00:00:09,793;00:00:11,727;for Winterfell
4;00:00:11,761;00:00:14,229;with the Queen
4;00:00:11,761;00:00:14,229;and all the rest of them.
5;00:00:14,264;00:00:16,331;The Queen
5;00:00:14,264;00:00:16,331;has two brothers?
6;00:00:16,366;00:00:19,701;There's the pretty one,
6;00:00:16,366;00:00:19,701;and there's the clever one.
7;00:00:19,736;00:00:21,870;I would name you
7;00:00:19,736;00:00:21,870;the Hand of the King.
8;00:00:21,905;00:00:23,639;We were meant
8;00:00:21,905;00:00:23,639;to rule together.
9;00:00:23,673;00:00:28,143;I have a son, you have a daughter.
9;00:00:23,673;00:00:28,143;We'll join our houses.
10;00:00:28,178;00:00:30,879;The boy I beheaded--
10;00:00:28,178;00:00:30,879;he was talking madness.
11;00:00:30,914;00:00:32,948;Said the others
11;00:00:30,914;00:00:32,948;slaughtered his friends.
12;00:00:32,982;00:00:35,551;Ned: A Wildling ambush.
12;00:00:32,982;00:00:35,551;Maybe.
13;00:00:35,585;00:00:36,961;You're Tyrion Lannister.
14;00:00:36,986;00:00:39,279;You-- you're Ned Stark's
14;00:00:36,986;00:00:39,279;bastard, aren't you?
15;00:00:39,522;00:00:41,590;Let me give you
15;00:00:39,522;00:00:41,590;some advice, bastard.
16;00:00:41,624;00:00:44,793;Never forget what you are and it
16;00:00:41,624;00:00:44,793;can never be used to hurt you.
17;00:00:44,828;00:00:46,389;It's a direwolf.
18;00:00:46,414;00:00:48,136;There are no direwolves
18;00:00:46,414;00:00:48,136;south of the wall.
19;00:00:48,298;00:00:51,066;Now there are five, one for
19;00:00:48,298;00:00:51,066;each of the Stark children.
20;00:00:51,101;00:00:53,168;What about you?
20;00:00:51,101;00:00:53,168;I'm not a Stark.
21;00:00:53,203;00:00:56,004;That one's yours, Snow.
22;00:00:56,039;00:00:59,641;May I present Viserys
22;00:00:56,039;00:00:59,641;of House Targaryen,
23;00:00:59,676;00:01:01,376;the rightful King
23;00:00:59,676;00:01:01,376;of the Andals,
24;00:01:01,411;00:01:03,645;and his sister Daenerys?
25;00:01:03,680;00:01:06,582;I don't want to be his queen.
25;00:01:03,680;00:01:06,582;I want to go home.
26;00:01:06,616;00:01:11,687;We go home with an army--
26;00:01:06,616;00:01:11,687;with Khal Drogo's army.
27;00:01:11,721;00:01:13,075;From your sister.
28;00:01:13,100;00:01:16,092;She says Jon Arryn was
28;00:01:13,100;00:01:16,092;murdered by the Lannisters.
29;00:01:16,192;00:01:18,427;She says the King
29;00:01:16,192;00:01:18,427;is in danger.
30;00:01:18,461;00:01:20,295;What if Jon Arryn
30;00:01:18,461;00:01:20,295;told someone?
31;00:01:20,330;00:01:23,398;Whatever Jon Arryn knew
31;00:01:20,330;00:01:23,398;died with him.
