1;00:00:00,727;00:00:02,930;Still not far
﻿1;00:00:00,727;00:00:02,930;from Pentos, Your Grace.
2;00:00:02,968;00:00:04,320;You'd be more
2;00:00:02,968;00:00:04,320;comfortable there.
3;00:00:04,440;00:00:06,807;I have no interest
3;00:00:04,440;00:00:06,807;in hospitality or comfort.
4;00:00:06,842;00:00:08,642;I'll stay with Drogo
4;00:00:06,842;00:00:08,642;until he fulfills
5;00:00:08,676;00:00:11,276;his end of the bargain
5;00:00:08,676;00:00:11,276;and I have my crown.
6;00:00:11,311;00:00:13,046;I have something for you.
7;00:00:13,080;00:00:15,981;First lesson: Stick them
7;00:00:13,080;00:00:15,981;with the pointy end.
8;00:00:16,016;00:00:20,252;17 years ago you rode off
8;00:00:16,016;00:00:20,252;with Robert Baratheon.
9;00:00:20,286;00:00:23,988;And now you're leaving again.
9;00:00:20,286;00:00:23,988;I have no choice.
10;00:00:24,022;00:00:26,389;There's great honor serving
10;00:00:24,022;00:00:26,389;in the Night's Watch.
11;00:00:26,424;00:00:28,958;The Starks have manned the
11;00:00:26,424;00:00:28,958;Wall for thousands of years.
12;00:00:28,992;00:00:30,626;And you are a Stark.
13;00:00:30,661;00:00:33,931;Daenerys Targaryen has wed
13;00:00:30,661;00:00:33,931;some Dothraki horselord.
14;00:00:33,966;00:00:36,500;What of it?
14;00:00:33,966;00:00:36,500;Tell me we're not speaking of this.
15;00:00:36,535;00:00:39,937;I'll kill every Targaryen
15;00:00:36,535;00:00:39,937;I get my hands on.
16;00:00:39,972;00:00:43,641;Rapers. Not impressed
16;00:00:39,972;00:00:43,641;by your new brothers?
17;00:00:43,675;00:00:45,543;Lovely thing about the watch--
18;00:00:45,577;00:00:49,112;You discard your old family
18;00:00:45,577;00:00:49,112;and get a whole new one.
19;00:00:49,147;00:00:50,947;Welcome.
20;00:00:50,982;00:00:53,517;I don't think Bran
20;00:00:50,982;00:00:53,517;fell from that tower.
21;00:00:53,551;00:00:55,852;I think he was thrown.
21;00:00:53,551;00:00:55,852;No!
22;00:00:55,886;00:00:58,721;Someone tried
22;00:00:55,886;00:00:58,721;to kill him twice.
23;00:00:58,755;00:01:01,189;I would stake my life
23;00:00:58,755;00:01:01,189;the Lannisters are involved.
24;00:01:01,224;00:01:05,293;Lord Stark must be told of this.
24;00:01:01,224;00:01:05,293;I will go myself.
25;00:01:05,327;00:01:07,227;What is the meaning of this?
26;00:01:07,262;00:01:09,230;Joff told us what happened.
27;00:01:09,264;00:01:12,700;You and that boy beat him with clubs while
27;00:01:09,264;00:01:12,700;you set your wolf on him.
28;00:01:12,734;00:01:14,535;That's not what happened!
29;00:01:14,570;00:01:15,703;Ahh!
30;00:01:15,738;00:01:18,173;We found no trace of the
30;00:01:15,738;00:01:18,173;direwolf, Your Grace.
31;00:01:18,207;00:01:21,244;We have another wolf.
31;00:01:18,207;00:01:21,244;As you will.
32;00:01:21,278;00:01:23,112;He doesn't mean Lady, does he?
33;00:01:23,147;00:01:25,749;Lady didn't bite anyone!
33;00:01:23,147;00:01:25,749;She's good!
34;00:01:35,926;00:01:46,000;<font color=#ec14bd>Sync by honeybunny</font>
34;00:01:35,926;00:01:46,000;<font color=#ec14bd>www.addic7ed.com</font>
35;00:03:43,248;00:03:45,115;Welcome, Lord Stark.
36;00:03:45,150;00:03:47,984;Grand Maester Pycelle has called
36;00:03:45,150;00:03:47,984;a meeting of the small council.
37;00:03:48,019;00:03:50,119;The honor of your
37;00:03:48,019;00:03:50,119;presence is requested.
38;00:03:51,621;00:03:54,724;Get the girls settled in.
38;00:03:51,621;00:03:54,724;I'll be back in time for supper.
39;00:03:54,758;00:03:57,393;And, Jory, you go with them.
39;00:03:54,758;00:03:57,393;Yes, My Lord.
40;00:03:57,428;00:04:01,164;If you'd like to change into
40;00:03:57,428;00:04:01,164;something more appropriate...
41;00:04:37,335;00:04:39,670;Thank the gods
41;00:04:37,335;00:04:39,670;you're here, Stark.
42;00:04:40,638;00:04:44,163;About time we had some stern
42;00:04:40,638;00:04:44,163;northern leadership.
43;00:04:45,076;00:04:46,777;About glad to see you're
43;00:04:45,076;00:04:46,777;protecting the throne.
44;00:04:46,811;00:04:48,845;Sturdy old thing.
45;00:04:48,880;00:04:51,348;How many kings' asses
45;00:04:48,880;00:04:51,348;have polished it, I wonder?
46;00:04:51,383;00:04:53,383;Um, what's the line?
47;00:04:53,418;00:04:56,521;The King shits
47;00:04:53,418;00:04:56,521;and the Hand wipes.
48;00:04:56,555;00:05:00,025;Very handsome armor.
49;00:05:00,059;00:05:02,461;Not a scratch on it.
49;00:05:00,059;00:05:02,461;I know.
50;00:05:02,495;00:05:06,032;People have been swinging at me for
50;00:05:02,495;00:05:06,032;years, but they always seem to miss.
51;00:05:06,066;00:05:08,935;You've chosen your
51;00:05:06,066;00:05:08,935;opponents wisely then.
52;00:05:10,171;00:05:12,206;I have a knack for it.
53;00:05:15,343;00:05:18,478;It must be strange for you
53;00:05:15,343;00:05:18,478;coming into this room.
54;00:05:20,748;00:05:23,717;I was standing right here
