1;00:03:05,000;00:03:17,000;www.addic7ed.com
2;00:03:32,872;00:03:35,953;Summoned to court to answer for
2;00:03:32,872;00:03:35,953;the crime of your bannerman,
3;00:03:35,954;00:03:37,834;Gregor Clegane, The Mountain.
4;00:03:39,184;00:03:43,287;Arrive within a fortnight
4;00:03:39,184;00:03:43,287;or be branded an enemy of the crown.
5;00:03:45,261;00:03:49,250;Poor Ned Stark. Brave man,
5;00:03:45,261;00:03:49,250;terrible judgment.
6;00:03:53,829;00:03:56,025;Attacking him was stupid.
7;00:04:04,451;00:04:05,914;Lannister...
8;00:04:06,950;00:04:08,912;don't act like fools.
9;00:04:14,639;00:04:17,177;You're gonna say
9;00:04:14,639;00:04:17,177;something clever?
10;00:04:18,265;00:04:20,326;Go on, say something clever.
11;00:04:23,764;00:04:25,876;Catelyn Stark took my brother.
12;00:04:29,828;00:04:31,440;Why is he still alive?
13;00:04:31,579;00:04:32,664;Tyrion?
14;00:04:32,830;00:04:34,226;Ned Stark.
15;00:04:35,455;00:04:37,366;One of our men interfered...
16;00:04:37,467;00:04:40,777;speared him through the leg,
16;00:04:37,467;00:04:40,777;before I could finish him.
17;00:04:41,452;00:04:43,337;Why is he still alive?
18;00:04:44,516;00:04:46,630;It wouldn't have been clean.
19;00:04:46,789;00:04:47,953;Clean?
20;00:04:49,642;00:04:53,429;You spent too much time
20;00:04:49,642;00:04:53,429;worrying about what other people think of you.
21;00:04:53,480;00:04:55,828;I could care less what
21;00:04:53,480;00:04:55,828;what anyone thinks of me.
22;00:04:55,866;00:04:58,601;That's what you want people
22;00:04:55,866;00:04:58,601;to think of you.
23;00:04:58,641;00:05:00,054;It's the truth.
24;00:05:01,456;00:05:06,129;And you hear them whispering Kingslayer
24;00:05:01,456;00:05:06,129;behind your back, doesn't it bother you?
25;00:05:08,267;00:05:10,477;Of course it bothers me.
26;00:05:10,830;00:05:14,667;A lion doesn't concern himself
26;00:05:10,830;00:05:14,667;with the opinion of a sheep.
27;00:05:17,604;00:05:19,955;I suppose I should be grateful
27;00:05:17,604;00:05:19,955;that your vanity,
28;00:05:19,956;00:05:22,606;got in a way of your recklessness.
29;00:05:24,579;00:05:28,480;I'm giving you half of our forces.
29;00:05:24,579;00:05:28,480;30.000 men.
30;00:05:29,328;00:05:32,422;And we'll bring that to
30;00:05:29,328;00:05:32,422;Catelyn Stark girlhood home...
31;00:05:32,639;00:05:36,542;and remind her that Lannisters
31;00:05:32,639;00:05:36,542;pay their debts
32;00:05:38,078;00:05:41,656;I didn't realize you place such
32;00:05:38,078;00:05:41,656;a high value on my brother's life.
33;00:05:41,705;00:05:43,227;He's a Lannister.
34;00:05:43,956;00:05:47,278;Maybe the lowest of the Lannister,
