1;00:01:33,750;00:01:37,751;<font color=#00FF00>♪ Game of Thrones 01x10 ♪</font>
﻿1;00:01:33,750;00:01:37,751;<font color=#00FFFF>Fire and Blood</font>
﻿1;00:01:33,750;00:01:37,751;Original Air Date on June 19, 2011
2;00:01:37,776;00:01:41,776;== sync, corrected by <font color=#00fF00>elderman</font> ==
3;00:02:07,668;00:02:09,937;Look at me.
3;00:02:07,668;00:02:09,937;Look at me!
4;00:02:09,971;00:02:13,140;Do you remember
4;00:02:09,971;00:02:13,140;me now, boy, eh?
5;00:02:13,174;00:02:15,909;Remember me?
5;00:02:13,174;00:02:15,909;There's a bright boy.
6;00:02:17,011;00:02:19,579;You'll be coming
6;00:02:17,011;00:02:19,579;with me, boy,
7;00:02:19,614;00:02:22,615;and you'll be keeping
7;00:02:19,614;00:02:22,615;your mouth shut.
8;00:02:39,131;00:02:42,067;Keep your mouth shut, boy.
8;00:02:39,131;00:02:42,067;I'm not a boy!
9;00:02:42,101;00:02:45,237;You're not a smart boy,
9;00:02:42,101;00:02:45,237;is that what you're trying to say?
10;00:02:45,271;00:02:48,007;Do you want
10;00:02:45,271;00:02:48,007;to live, boy?!
11;00:02:50,411;00:02:53,013;North, boy,
11;00:02:50,411;00:02:53,013;we're going north.
12;00:03:25,647;00:03:28,382;It had three eyes.
13;00:03:28,417;00:03:31,118;It told me to come
13;00:03:28,417;00:03:31,118;with him, so I did.
14;00:03:31,152;00:03:34,887;We went down into the crypts
14;00:03:31,152;00:03:34,887;and my father was there.
15;00:03:34,922;00:03:37,757;Your father's not
15;00:03:34,922;00:03:37,757;down there, little lord.
16;00:03:37,791;00:03:40,059;Not for many years yet.
17;00:03:41,761;00:03:44,429;You're afraid--
17;00:03:41,761;00:03:44,429;just like Hodor.
18;00:03:44,464;00:03:46,598;I'm not afraid of some hole
18;00:03:44,464;00:03:46,598;in the ground.
19;00:03:46,633;00:03:49,869;You've lived beyond the Wall.
19;00:03:46,633;00:03:49,869;What are you scared of?
20;00:03:49,903;00:03:53,039;I'm a crippled boy
20;00:03:49,903;00:03:53,039;and I'm willing to go.
21;00:03:58,411;00:04:01,179;That's my grandfather
21;00:03:58,411;00:04:01,179;Lord Rickard.
22;00:04:01,214;00:04:04,516;He was burned alive
22;00:04:01,214;00:04:04,516;by the Mad King Aerys.
23;00:04:06,120;00:04:07,954;That's Lyanna,
23;00:04:06,120;00:04:07,954;my father's sister.
24;00:04:07,988;00:04:10,890;King Robert was
24;00:04:07,988;00:04:10,890;supposed to marry her,
25;00:04:10,925;00:04:13,994;but Rhaegar Targaryen
25;00:04:10,925;00:04:13,994;kidnapped her.
26;00:04:14,028;00:04:16,496;Robert started a war
26;00:04:14,028;00:04:16,496;to win her back.
27;00:04:16,531;00:04:19,700;He killed Rhaegar,
27;00:04:16,531;00:04:19,700;but she died anyway.
28;00:04:21,102;00:04:23,270;That's where
28;00:04:21,102;00:04:23,270;I saw father.
29;00:04:24,738;00:04:28,140;You see?
29;00:04:24,738;00:04:28,140;He's not here.
30;00:04:36,116;00:04:38,784;-Here, Shaggydog.
30;00:04:36,116;00:04:38,784;-Rickon!
31;00:04:38,819;00:04:40,719;That beast
32;00:04:40,754;00:04:43,155;is supposed to be
32;00:04:40,754;00:04:43,155;chained in the kennels!
33;00:04:43,190;00:04:46,392;He doesn't like chains.
33;00:04:43,190;00:04:46,392;What are you doing down here?
34;00:04:46,426;00:04:49,762;Come back up with us.
34;00:04:46,426;00:04:49,762;No, I came to see father.
35;00:04:49,796;00:04:52,431;How many times have I told you?
35;00:04:49,796;00:04:52,431;He's in King's Landing
36;00:04:52,466;00:04:54,634;with Sansa and Arya.
37;00:04:54,668;00:04:57,070;He was down here.
37;00:04:54,668;00:04:57,070;I saw him.
38;00:04:57,104;00:04:58,838;Saw him when?
39;00:04:58,872;00:05:00,673;Last night,
40;00:05:00,707;00:05:03,342;when I was sleeping.
41;00:05:03,377;00:05:05,877;Here, Shaggydog.
42;00:05:10,649;00:05:12,750;You both miss him.
43;00:05:12,784;00:05:15,786;It's only natural
43;00:05:12,784;00:05:15,786;he should be in your thoughts
44;00:05:15,821;00:05:19,623;and dreams,
44;00:05:15,821;00:05:19,623;but that doesn't mean that--
45;00:05:19,658;00:05:22,427;Bran...
46;00:05:39,814;00:05:41,915;My Lady.
46;00:05:39,814;00:05:41,915;My Lady.
47;00:05:41,949;00:05:43,750;My Lady.
47;00:05:41,949;00:05:43,750;My Lady.
48;00:05:43,784;00:05:46,252;My Lady.
48;00:05:43,784;00:05:46,252;My Lady.
49;00:05:47,654;00:05:49,388;My Lady.
50;00:06:37,004;00:06:38,671;Robb.
51;00:06:40,641;00:06:41,941;Robb.
52;00:06:45,679;00:06:47,880;Robb!
53;00:06:51,618;00:06:54,253;You've ruined your sword.
54;00:07:04,331;00:07:06,165;Shh shh.
55;00:07:06,199;00:07:08,934;Shh.
55;00:07:06,199;00:07:08,934;I'll kill them all--
56;00:07:08,969;00:07:12,471;--Every one of them.
57;00:07:12,506;00:07:15,741;I will kill them all.
58;00:07:17,711;00:07:20,146;My boy.
59;00:07:21,815;00:07:24,716;They have your sisters.
60;00:07:24,751;00:07:28,053;We have to get
60;00:07:24,751;00:07:28,053;the girls back.
61;00:07:30,023;00:07:32,825;And then we will
61;00:07:30,023;00:07:32,825;kill them all.
62;00:07:38,565;00:07:43,102;♪ the boar's great tusks,
62;00:07:38,565;00:07:43,102;they boded ill ♪
63;00:07:43,137;00:07:46,273;♪ for good
63;00:07:43,137;00:07:46,273;King Robert's health ♪
64;00:07:46,307;00:07:50,510;♪ and the beast was
64;00:07:46,307;00:07:50,510;every bit as fat ♪
65;00:07:50,544;00:07:53,914;♪ as Robert was himself ♪
66;00:07:53,948;00:07:58,185;♪ but our brave King cried,
66;00:07:53,948;00:07:58,185;Do your worst!
67;00:07:58,220;00:08:01,556;♪ I'll have
67;00:07:58,220;00:08:01,556;your ugly head! ♪
68;00:08:01,590;00:08:05,493;♪ you're nowhere near
