1;00:00:01,289;00:00:02,990;I would name you
﻿1;00:00:01,289;00:00:02,990;the Hand of the King.
2;00:00:03,024;00:00:06,460;I have a son, you have a daughter,
2;00:00:03,024;00:00:06,460;we'll join our houses.
3;00:00:07,662;00:00:10,365;May I present Viserys
3;00:00:07,662;00:00:10,365;of House Targaryen
4;00:00:10,399;00:00:12,600;and his sister
4;00:00:10,399;00:00:12,600;Daenerys?
5;00:00:12,635;00:00:15,637;I give him a queen
5;00:00:12,635;00:00:15,637;and he gives me an army.
6;00:00:17,472;00:00:20,108;Maester says the boy may live.
7;00:00:20,142;00:00:23,079;My dear brother, there are times you
7;00:00:20,142;00:00:23,079;make me wonder whose side you're on.
8;00:00:23,146;00:00:24,846;You know how much
8;00:00:23,146;00:00:24,846;I love my family.
9;00:00:24,881;00:00:26,882;There's great honor serving
9;00:00:24,881;00:00:26,882;in the Night's Watch.
10;00:00:26,916;00:00:28,284;The Starks have
10;00:00:26,916;00:00:28,284;manned the wall
11;00:00:28,318;00:00:30,653;for thousands of years.
11;00:00:28,318;00:00:30,653;And you are a Stark.
12;00:00:30,687;00:00:34,290;King Robert's bastards--
12;00:00:30,687;00:00:34,290;Jon Arryn tracked them all down. Why?
13;00:00:34,324;00:00:36,626;The King has
13;00:00:34,324;00:00:36,626;no trueborn sons.
14;00:00:36,660;00:00:38,428;Do you love your children?
14;00:00:36,660;00:00:38,428;With all my heart.
15;00:00:38,462;00:00:40,730;No more than I love mine.
15;00:00:38,462;00:00:40,730;And they're all Jaime's.
16;00:00:40,764;00:00:43,667;When the King returns from
16;00:00:40,764;00:00:43,667;his hunt, I'll tell him the truth.
17;00:00:43,701;00:00:46,803;I want what I came for. I want
17;00:00:43,701;00:00:46,803;the crown he promised me.
18;00:00:46,837;00:00:49,139;No! No!
18;00:00:46,837;00:00:49,139;A crown for a king.
19;00:00:49,174;00:00:51,408;He was no dragon.
20;00:00:51,443;00:00:54,245;Fire cannot kill the dragon.
21;00:00:54,279;00:00:56,380;Jon Snow,
21;00:00:54,279;00:00:56,380;Lord Commander Mormont
22;00:00:56,414;00:00:59,015;has requested you
22;00:00:56,414;00:00:59,015;for his personal steward.
23;00:00:59,050;00:01:01,284;He wants to groom you
23;00:00:59,050;00:01:01,284;for command.
24;00:01:01,318;00:01:02,885;Ned! We were hunting.
25;00:01:02,920;00:01:06,055;By the time Robert dies, it will be
