1;00:00:02,395;00:00:04,262;Your father has named
1;00:00:02,395;00:00:04,262;Lord Tyrion
2;00:00:04,297;00:00:06,264;to serve as Hand
2;00:00:04,297;00:00:06,264;in his stead.
3;00:00:06,299;00:00:08,867;You brought this on yourself.
3;00:00:06,299;00:00:08,867;I've done nothing.
4;00:00:08,900;00:00:11,035;Do you understand
4;00:00:08,900;00:00:11,035;we're losing the war?
5;00:00:11,070;00:00:12,337;Does it ever end?
6;00:00:12,371;00:00:14,505;Everything ends,
6;00:00:12,371;00:00:14,505;even the Red Waste.
7;00:00:15,000;00:00:18,074;Subtitles downloaded from www.OpenSubtitles.org
8;00:00:22,380;00:00:24,481;All the other wildlings
8;00:00:22,380;00:00:24,481;for 100 leagues
9;00:00:24,515;00:00:26,684;have disappeared.
9;00:00:24,515;00:00:26,684;Craster's still here.
10;00:00:26,718;00:00:30,954;Any man lays a hand on one
10;00:00:26,718;00:00:30,954;of my wives, he loses the hand.
11;00:00:30,989;00:00:32,522;He marries his daughters
12;00:00:32,557;00:00:34,424;and they give him
12;00:00:32,557;00:00:34,424;more daughters.
13;00:00:34,458;00:00:36,959;What happens to the boys?
13;00:00:34,458;00:00:36,959;What does he do with his sons?
14;00:00:36,994;00:00:38,861;My brother Robert
14;00:00:36,994;00:00:38,861;left no trueborn heirs,
15;00:00:38,895;00:00:40,896;the boy Joffrey
15;00:00:38,895;00:00:40,896;being born of incest
16;00:00:40,930;00:00:43,365;between Cersei Lannister
16;00:00:40,930;00:00:43,365;and her brother Jaime Lannister.
17;00:00:43,399;00:00:44,866;By right of birth
17;00:00:43,399;00:00:44,866;and blood,
18;00:00:44,900;00:00:47,368;I do this day lay claim to the
18;00:00:44,900;00:00:47,368;Iron Throne of Westeros.
19;00:00:47,402;00:00:49,636;Send copies of that letter
19;00:00:47,402;00:00:49,636;to every corner of the realm.
20;00:00:49,671;00:00:51,672;I'm sending one of
20;00:00:49,671;00:00:51,672;your cousins down to King's
21;00:00:51,697;00:00:52,897;Landing with my peace terms.
22;00:00:53,307;00:00:55,274;You think my father's going
22;00:00:53,307;00:00:55,274;to negotiate with you?
23;00:00:55,309;00:00:56,775;You don't know him
23;00:00:55,309;00:00:56,775;very well.
24;00:00:56,810;00:00:59,044;We won't beat them until
24;00:00:56,810;00:00:59,044;you take King's Landing.
25;00:00:59,078;00:01:01,280;And we can't take
25;00:00:59,078;00:01:01,280;King's Landing without ships.
26;00:01:01,314;00:01:03,815;My father has ships
26;00:01:01,314;00:01:03,815;and men who know how to sail.
27;00:01:03,850;00:01:05,617;Men who fought
27;00:01:03,850;00:01:05,617;my father.
28;00:01:05,652;00:01:08,187;I'm his only living son.
28;00:01:05,652;00:01:08,187;He'll listen to me.
29;00:01:08,221;00:01:10,856;You don't want
29;00:01:08,221;00:01:10,856;Balon Greyjoy for an ally.
30;00:01:10,891;00:01:13,559;I need his ships.
30;00:01:10,891;00:01:13,559;He is not trustworthy.
31;00:01:13,594;00:01:16,362;I heard a disgusting lie
31;00:01:13,594;00:01:16,362;about Uncle Jaime and you.
32;00:01:16,396;00:01:18,797;Father had other children.
32;00:01:16,396;00:01:18,797;What are you asking?
33;00:01:18,832;00:01:21,466;How many bastards does
33;00:01:18,832;00:01:21,466;he have running around?
34;00:01:24,203;00:01:25,470;Where is the bastard?
35;00:01:25,504;00:01:28,839;The Night's Watch!
35;00:01:25,504;00:01:28,839;Heading north!
36;00:01:39,207;00:01:43,207;<font color=#00FF00>♪ Game of Thrones 2x02 ♪</font>
36;00:01:39,207;00:01:43,207;<font color=#00FFFF>The Night Lands</font>
36;00:01:39,207;00:01:43,207;Original Air Date on April 8, 2012
37;00:01:43,208;00:01:47,208;== sync, corrected by <font color=#00ff00>elderman</font> ==
38;00:01:47,233;00:03:17,053;♪
39;00:03:39,996;00:03:42,698;Gotta be ready
39;00:03:39,996;00:03:42,698;before nightfall.
40;00:03:43,700;00:03:46,101;Okay, keep moving.
41;00:03:50,173;00:03:52,208;Put a watch
41;00:03:50,173;00:03:52,208;on the Ridge
42;00:03:52,242;00:03:54,410;and the tree lines.
43;00:03:56,147;00:03:58,148;Boy.
44;00:03:58,183;00:04:00,585;Lovely boy.
45;00:04:00,619;00:04:02,387;What do you want?
46;00:04:02,421;00:04:03,955;A man has a thirst.
47;00:04:03,989;00:04:07,125;A man does not drink
47;00:04:03,989;00:04:07,125;for a day and a night.
48;00:04:07,159;00:04:09,226;A boy could
48;00:04:07,159;00:04:09,226;make a friend.
49;00:04:09,261;00:04:11,628;I have friends.
50;00:04:11,662;00:04:13,864;Give us beer
50;00:04:11,662;00:04:13,864;before I skin you.
51;00:04:14,966;00:04:16,967;A man does not choose
51;00:04:14,966;00:04:16,967;his companions.
52;00:04:17,001;00:04:18,902;These two, they have
52;00:04:17,001;00:04:18,902;no courtesy.
53;00:04:18,936;00:04:21,271;A man must ask
53;00:04:18,936;00:04:21,271;forgiveness.
54;00:04:23,708;00:04:26,142;You're called Arry?
55;00:04:28,279;00:04:31,515;This man has the honor
55;00:04:28,279;00:04:31,515;to be Jaqen H'ghar,
56;00:04:31,549;00:04:33,050;once of the free city of--
57;00:04:33,084;00:04:34,719;Beer, you little shit.
58;00:04:34,753;00:04:37,288;Get us beer!
59;00:04:37,322;00:04:39,090;You should have
59;00:04:37,322;00:04:39,090;asked nicely.
60;00:04:39,157;00:04:40,258;Aah!
61;00:04:44,897;00:04:47,500;Come closer
