1;00:02:10,422;00:02:12,924;Gotta be ready before nightfall.
2;00:02:14,676;00:02:15,802;Now keep it moving.
3;00:02:20,974;00:02:24,393;Put a watch on the ridge
3;00:02:20,974;00:02:24,393;and the tree lines.
4;00:02:26,563;00:02:27,772;Boy.
5;00:02:28,941;00:02:30,358;Lovely boy.
6;00:02:30,943;00:02:32,652;What do you want?
7;00:02:32,736;00:02:34,320;A man has a thirst.
8;00:02:34,404;00:02:37,406;A man does not drink for a day and a night.
9;00:02:37,533;00:02:39,408;A boy could make a friend.
10;00:02:39,493;00:02:41,035;I have friends.
11;00:02:42,037;00:02:44,038;Give us beer before I skin you.
12;00:02:45,082;00:02:47,250;A man does not choose his companions.
13;00:02:47,334;00:02:49,293;These two, they have no courtesy.
14;00:02:49,378;00:02:51,420;A man must ask forgiveness.
15;00:02:54,550;00:02:56,342;You're called Arry?
16;00:02:59,054;00:03:01,597;This man has the honor to be Jaqen H'ghar,
17;00:03:01,765;00:03:03,349;once of the Free City of Lorath...
18;00:03:03,433;00:03:06,644;Beer, you little shit. Get us beer!
19;00:03:07,938;00:03:09,522;You should have asked nicely.
20;00:03:09,606;00:03:10,606;Aah!
21;00:03:14,778;00:03:15,945;Come closer...
22;00:03:16,446;00:03:18,656;and I'll shove that stick up your bunghole
23;00:03:18,740;00:03:20,575;and fuck you bloody.
24;00:03:20,659;00:03:23,119;That boy has more courage than sense.
25;00:03:23,203;00:03:24,287;Come here!
26;00:03:24,538;00:03:25,955;Yoren said none of us were
26;00:03:24,538;00:03:25,955;to go near those three.
27;00:03:26,039;00:03:27,206;Come here!
28;00:03:27,291;00:03:28,499;They don't scare me.
29;00:03:28,750;00:03:30,626;Hmm? Then you're stupid.
30;00:03:30,711;00:03:32,545;They scare me.
31;00:03:36,967;00:03:39,760;What are gold cloaks
31;00:03:36,967;00:03:39,760;doing so far from King's Landing?
32;00:03:44,808;00:03:46,058;What are you doing?
33;00:03:46,143;00:03:47,476;They're looking for me.
34;00:03:48,312;00:03:49,687;You in command here?
