1;00:03:39,167;00:03:41,878;[indistinct voices]
2;00:03:55,433;00:03:56,726;Boy.
3;00:03:57,810;00:03:59,229;Lovely boy.
4;00:03:59,938;00:04:01,147;What do you want?
5;00:04:01,689;00:04:03,316;A man has a thirst.
6;00:04:03,441;00:04:05,860;The man does not drink
6;00:04:03,441;00:04:05,860;for a day and a night.
7;00:04:06,069;00:04:08,279;A boy could make a friend.
8;00:04:08,571;00:04:09,864;I have friends.
9;00:04:09,989;00:04:13,535;Give us a beer. Before I skin you.
10;00:04:14,077;00:04:16,079;A man does not choose his companions.
11;00:04:16,204;00:04:18,122;These two, they have no courtesy.
12;00:04:18,456;00:04:20,166;A man must ask forgiveness.
13;00:04:23,086;00:04:25,338;You're called Arry.
14;00:04:28,049;00:04:30,885;This man has the honor to be Jaqen H'ghar.
15;00:04:31,094;00:04:32,554;Once of the Free City of Lorath.
16;00:04:32,679;00:04:34,556;Hey, you little shit.
17;00:04:34,681;00:04:36,599;Get us beer!
18;00:04:36,724;00:04:38,351;You should have asked nicely.
19;00:04:43,648;00:04:45,441;Come closer.
20;00:04:45,567;00:04:49,612;And I'll shove that stick up your
20;00:04:45,567;00:04:49,612;bunghole and fuck you bloody.
21;00:04:49,737;00:04:51,948;The boy has more courage than sense.
22;00:04:52,073;00:04:53,366;Come here!
23;00:04:53,491;00:04:55,994;Yoren said none of us were
23;00:04:53,491;00:04:55,994;should go near of those three.
24;00:04:56,286;00:04:57,620;They don't scare me.
25;00:04:58,162;00:04:59,497;Then you're stupid.
26;00:04:59,622;00:05:01,416;They scare me.
27;00:05:05,837;00:05:08,590;Would a gold collector look
27;00:05:05,837;00:05:08,590;this far from King's Landing?
28;00:05:13,887;00:05:15,013;What are you doing?
29;00:05:15,054;00:05:16,139;They're looking for me.
30;00:05:17,015;00:05:18,516;You're in command here?
31;00:05:20,018;00:05:21,853;You're a long way from home.
32;00:05:22,478;00:05:23,813;I asked you a question.
33;00:05:24,439;00:05:25,648;Aye, you did.
34;00:05:27,233;00:05:29,027;You asked without manners.
35;00:05:29,611;00:05:31,404;And I chose not to answer.
36;00:05:32,113;00:05:33,990;I have a royal warrant.
37;00:05:35,241;00:05:37,952;For one of these gutter
37;00:05:35,241;00:05:37,952;rats you're transporting.
38;00:05:41,122;00:05:43,208;Well the thing is,
39;00:05:43,958;00:05:47,253;these gutter rats belong
39;00:05:43,958;00:05:47,253;to the Night's Watch now.
40;00:05:47,670;00:05:50,548;That puts them beyond the
40;00:05:47,670;00:05:50,548;reach of kings and queens.
41;00:05:53,134;00:05:54,677;It's a funny thing.
