1;00:00:01,196;00:00:02,395;Does it ever end?
2;00:00:02,535;00:00:04,861;This is further east
2;00:00:02,535;00:00:04,861;than I've ever been.
3;00:00:04,862;00:00:06,497;( Dany speaking Dothraki )
4;00:00:10,299;00:00:13,367;May I present my wife
4;00:00:10,299;00:00:13,367;Margaery of House Tyrell?
5;00:00:13,402;00:00:15,303;You are very welcome
5;00:00:13,402;00:00:15,303;here, Lady Stark.
6;00:00:15,337;00:00:18,072;If Robb Stark wants a pact with us,
6;00:00:15,337;00:00:18,072;he should come himself.
7;00:00:18,106;00:00:20,741;My son is fighting a war,
8;00:00:20,775;00:00:22,509;not playing at one.
9;00:00:22,544;00:00:25,078;I cannot defeat
9;00:00:22,544;00:00:25,078;my brother in the field.
10;00:00:25,112;00:00:27,714;You must give yourself
10;00:00:25,112;00:00:27,714;to the Lord of Light.
11;00:00:27,748;00:00:30,049;I've said the words,
11;00:00:27,748;00:00:30,049;damn you.
12;00:00:30,083;00:00:32,819;( Whispers )
12;00:00:30,083;00:00:32,819;I will give you a son.
13;00:00:32,865;00:00:35,067;We've come to
13;00:00:32,865;00:00:35,067;a dangerous place.
14;00:00:35,101;00:00:38,604;NY sister wants to hurt me.
14;00:00:35,101;00:00:38,604;She can't know about you.
15;00:00:38,639;00:00:39,689;Who are you?
16;00:00:39,714;00:00:41,741;I'm Shae, My Lady.
16;00:00:39,714;00:00:41,741;Your new handmaiden.
17;00:00:41,776;00:00:43,811;I didn't know I needed
17;00:00:41,776;00:00:43,811;a new handmaiden.
18;00:00:43,845;00:00:46,915;Catelyn: You fought bravely today,
18;00:00:43,845;00:00:46,915;Lady Brienne.
19;00:00:46,949;00:00:49,818;I fought for my king. Soon I'll
19;00:00:46,949;00:00:49,818;fight for him on the battlefield.
20;00:00:49,852;00:00:51,686;Die for him
20;00:00:49,852;00:00:51,686;if I must.
21;00:00:55,992;00:00:57,926;( Flies buzz )
22;00:00:59,262;00:01:00,962;You told the Queen
22;00:00:59,262;00:01:00,962;about my plans
23;00:01:00,996;00:01:03,031;to send Myrcella to Dorne.
23;00:01:00,996;00:01:03,031;Never!
24;00:01:03,065;00:01:04,899;Throw him in one
24;00:01:03,065;00:01:04,899;of the black cells.
25;00:01:04,933;00:01:06,601;Cersei: Myrcella is
25;00:01:04,933;00:01:06,601;my only daughter.
26;00:01:06,635;00:01:09,069;Do you really think I'll let you
26;00:01:06,635;00:01:09,069;sell her like a common whore?
27;00:01:09,104;00:01:11,005;It's done, Cersei.
27;00:01:09,104;00:01:11,005;No.
28;00:01:11,039;00:01:13,875;You cannot stop it.
28;00:01:11,039;00:01:13,875;No!
29;00:01:13,910;00:01:15,056;Not tonight.
30;00:01:15,081;00:01:17,111;There's another Tyrell
30;00:01:15,081;00:01:17,111;who requires your attention.
31;00:01:18,682;00:01:19,578;I'm sorry.
32;00:01:19,603;00:01:21,178;Do you want my brother
32;00:01:19,603;00:01:21,178;to come in and help?
33;00:01:21,185;00:01:22,769;I don't know what
33;00:01:21,185;00:01:22,769;you're talking about.
34;00:01:22,794;00:01:23,453;There's no need
35;00:01:23,454;00:01:26,123;for us to play games.
35;00:01:23,454;00:01:26,123;Save your lies for court.
36;00:01:26,158;00:01:27,558;You're going to need
36;00:01:26,158;00:01:27,558;a lot of them.
37;00:01:27,592;00:01:29,961;My brother Jaime rots
37;00:01:27,592;00:01:29,961;in a northern stockade.
38;00:01:29,995;00:01:32,565;Robb Stark will never
38;00:01:29,995;00:01:32,565;release the Kingslayer.
39;00:01:32,599;00:01:33,776;But his mother might.
40;00:01:33,801;00:01:35,990;How would you like to see
40;00:01:33,801;00:01:35,990;your beloved Cat again?
41;00:01:36,337;00:01:39,173;Man: Outside!
41;00:01:36,337;00:01:39,173;Jaqen: Come here, boy!
42;00:01:39,207;00:01:42,510;Sweet boy, help us.
42;00:01:39,207;00:01:42,510;Give it to me.
43;00:01:44,614;00:01:46,948;( Blades ring )
43;00:01:44,614;00:01:46,948;( Groans )
44;00:01:46,982;00:01:48,883;( Hilt thuds,
44;00:01:46,982;00:01:48,883;Arya grunts )
45;00:01:48,918;00:01:50,652;Amory:
45;00:01:48,918;00:01:50,652;Round up any survivors.
46;00:01:50,686;00:01:52,855;We'll take them back
46;00:01:50,686;00:01:52,855;to Harrenhal.
47;00:01:52,889;00:01:54,824;We're looking for
47;00:01:52,889;00:01:54,824;a bastard named Gendry.
48;00:01:54,858;00:01:57,394;You want Gendry?
48;00:01:54,858;00:01:57,394;You already got him.
49;00:02:05,537;00:02:08,071;( Theme music playing )
50;00:02:08,096;00:02:12,096;<font color=#00FF00>♪ Game of Thrones 2x04 ♪</font>
50;00:02:08,096;00:02:12,096;<font color=#00FFFF>Garden of Bones</font>
50;00:02:08,096;00:02:12,096;Original Air Date on April 22, 2012
51;00:02:12,121;00:02:16,121;== sync, corrected by <font color=#00ff00>elderman</font> ==
