1;00:02:09,755;00:02:12,089;You swear it?
1;00:02:09,755;00:02:12,089;By the mother.
2;00:02:13,383;00:02:16,552;My son has no interest in the Iron Throne.
3;00:02:22,434;00:02:25,228;Then I see no reason for hostility between us.
4;00:02:26,063;00:02:28,731;Your son can go on
4;00:02:26,063;00:02:28,731;calling himself King in the North.
5;00:02:28,816;00:02:32,235;The Starks will have dominion
5;00:02:28,816;00:02:32,235;over all lands north of Moat Cailin,
6;00:02:32,319;00:02:34,195;provided he swears me an oath of fealty.
7;00:02:34,279;00:02:35,363;And the wording of this oath?
8;00:02:35,447;00:02:38,074;The same Ned Stark swore
8;00:02:35,447;00:02:38,074;to Robert 18 years ago.
9;00:02:40,410;00:02:43,871;Cat, their friendship held
9;00:02:40,410;00:02:43,871;the kingdoms together.
10;00:02:48,794;00:02:51,254;And in return for my son's loyalty?
11;00:02:51,630;00:02:54,757;In the morning, I'll destroy my brother's army.
12;00:02:55,050;00:02:56,092;When that's done,
13;00:02:56,844;00:03:00,555;Baratheon and Stark will fight
13;00:02:56,844;00:03:00,555;their common enemy together,
14;00:03:00,639;00:03:02,306;as they have done many times before.
15;00:03:08,814;00:03:11,649;Our two houses have always been close,
16;00:03:12,109;00:03:16,028;which is why I am begging you
16;00:03:12,109;00:03:16,028;to reconsider this battle.
17;00:03:16,113;00:03:17,530;Negotiate a peace with your brother.
18;00:03:17,614;00:03:19,782;Negotiate with Stannis?
19;00:03:20,367;00:03:22,076;You heard him out there.
20;00:03:22,160;00:03:25,037;I'd have better luck debating the wind.
21;00:03:26,957;00:03:28,958;Please bring my terms to your son.
22;00:03:29,918;00:03:31,919;I believe we are natural allies.
23;00:03:32,004;00:03:33,337;I hope he feels the same.
24;00:03:33,797;00:03:36,382;Together we could end this war in a fortnight.
25;00:03:51,231;00:03:52,231;No!
26;00:03:56,403;00:03:57,486;No.
27;00:03:57,571;00:03:58,863;Follow me!
28;00:04:01,992;00:04:05,244;You'll die for this.
28;00:04:01,992;00:04:05,244;No, wait, it wasn't her!
29;00:04:49,206;00:04:50,206;We've got to leave.
30;00:04:52,626;00:04:54,669;They'll hang you for this.
31;00:04:56,463;00:04:57,463;Now.
32;00:04:58,256;00:05:00,675;I won't leave him.
33;00:05:02,052;00:05:04,929;You can't avenge him if you're dead.
34;00:05:06,056;00:05:08,349;Over there, go!
35;00:05:08,433;00:05:10,142;Not that way.
36;00:05:44,678;00:05:46,762;We need to go home.
37;00:05:47,597;00:05:49,849;Loras.
37;00:05:47,597;00:05:49,849;My lord, my lady.
38;00:05:49,933;00:05:51,434;Get out.
39;00:05:51,518;00:05:53,602;Stannis will be here in an hour.
40;00:05:53,687;00:05:56,105;When he arrives,
40;00:05:53,687;00:05:56,105;Renly's bannermen will flock to him.
41;00:05:56,815;00:05:58,691;Your former companions
41;00:05:56,815;00:05:58,691;will fight for the privilege
42;00:05:58,775;00:06:01,193;of selling you to their new king.
43;00:06:01,278;00:06:02,945;And you want that privilege for yourself.
44;00:06:03,030;00:06:05,656;You will note that I am standing here
44;00:06:03,030;00:06:05,656;talking to you,
45;00:06:06,408;00:06:07,533;not Stannis.
46;00:06:07,617;00:06:08,868;There's no time for this.
47;00:06:08,952;00:06:10,536;Ride back to Highgarden, sister.
48;00:06:10,620;00:06:12,246;I'm not running from Stannis.
49;00:06:12,330;00:06:13,789;Brienne of Tarth murdered Renly.
50;00:06:13,874;00:06:14,915;I don't believe that.
51;00:06:15,709;00:06:17,626;You don't believe that.
52;00:06:18,962;00:06:21,297;Who gained the most from our king's death?
53;00:06:21,381;00:06:23,049;Stannis.
54;00:06:23,133;00:06:25,051;I will put a sword through his righteous face.
55;00:06:25,135;00:06:26,886;You can't stay here.
56;00:06:27,679;00:06:29,972;He would have been a true king,
57;00:06:30,849;00:06:32,725;a good king.
58;00:06:32,851;00:06:34,143;Tell me, Ser Loras,
59;00:06:35,145;00:06:36,771;what do you desire most in this world?
60;00:06:37,689;00:06:38,939;Revenge.
61;00:06:39,316;00:06:41,484;I have always found that
61;00:06:39,316;00:06:41,484;to be the purest of motivations,
62;00:06:42,360;00:06:44,904;but you won't have a chance
62;00:06:42,360;00:06:44,904;to put your sword through Stannis,
63;00:06:44,988;00:06:46,739;not today.
64;00:06:46,823;00:06:48,824;You'll be cut to pieces
64;00:06:46,823;00:06:48,824;before he sets foot on solid ground.
65;00:06:48,909;00:06:52,536;If it is justice that you want, be smart about it.
66;00:06:52,704;00:06:55,164;You can't avenge him from the grave.
67;00:06:57,000;00:06:58,918;Bring the horses.
68;00:07:01,379;00:07:02,880;Please.
69;00:07:32,077;00:07:34,036;He was very handsome.
70;00:07:34,412;00:07:35,746;He was, Your Grace.
71;00:07:36,456;00:07:37,915;Your Grace.
72;00:07:40,043;00:07:42,169;Calling yourself king doesn't make you one.
73;00:07:42,254;00:07:45,297;And if Renly wasn't a king, I wasn't a queen.
74;00:07:46,967;00:07:48,634;Do you want to be a queen?
75;00:07:48,718;00:07:49,927;No.
76;00:07:52,472;00:07:54,557;I want to be the queen.
77;00:08:06,403;00:08:08,654;Killed? By whom?
78;00:08:08,738;00:08:10,156;Accounts differ.
79;00:08:10,240;00:08:12,992;Most seem to implicate Catelyn Stark
79;00:08:10,240;00:08:12,992;in some way.
80;00:08:13,076;00:08:14,743;Really? Who'd have thought?
81;00:08:14,828;00:08:17,163;Some say it was one of his own Kingsguard,
82;00:08:17,247;00:08:19,832;while still others say
82;00:08:17,247;00:08:19,832;it was Stannis himself who did it
83;00:08:19,916;00:08:22,084;after negotiations went sour.
84;00:08:22,169;00:08:24,003;Whomever did it, I say well done.
85;00:08:24,087;00:08:25,421;It's not what Varys says.
86;00:08:25,589;00:08:28,132;He says Renly's army
86;00:08:25,589;00:08:28,132;is flocking to support Stannis,
87;00:08:28,633;00:08:31,844;which would give Stannis superiority
87;00:08:28,633;00:08:31,844;over us on both land and sea.
88;00:08:31,970;00:08:34,263;Littlefinger says we can
88;00:08:31,970;00:08:34,263;outspend him three to one.
89;00:08:34,347;00:08:37,391;And I say Father raised you
89;00:08:34,347;00:08:37,391;to have too much respect for money.
90;00:08:37,684;00:08:41,145;Stannis Baratheon is coming for us,
90;00:08:37,684;00:08:41,145;sooner rather than later.
91;00:08:41,229;00:08:42,438;Aren't there other things
91;00:08:41,229;00:08:42,438;you should be doing,
92;00:08:42,522;00:08:44,940;like sealing my daughter in a crate
