1;00:00:00,635;00:00:02,635;The wolf pup has gone south.
2;00:00:02,636;00:00:04,764;The North is ripe for
2;00:00:02,636;00:00:04,764;the taking.
3;00:00:04,789;00:00:08,202;You'll take a ship to raid the
3;00:00:04,789;00:00:08,202;fishing villages on the Stony Shore
4;00:00:08,203;00:00:10,856;I'm to fight fishermen?
4;00:00:08,203;00:00:10,856;Be careful of their nets.
5;00:00:11,326;00:00:13,361;Lovely boy.
5;00:00:11,326;00:00:13,361;What do you want?
6;00:00:13,395;00:00:14,863;You're called Arry?
7;00:00:14,897;00:00:16,798;A boy could make a friend.
8;00:00:16,832;00:00:19,200;This man has the honor
8;00:00:16,832;00:00:19,200;to be Jaqen H'ghar.
9;00:00:19,234;00:00:20,968;Every night it's the same.
10;00:00:21,003;00:00:23,938;I'm running through
10;00:00:21,003;00:00:23,938;the Godswood howling.
11;00:00:23,973;00:00:25,740;These are dreams,
11;00:00:23,973;00:00:25,740;nothing more.
12;00:00:25,774;00:00:27,943;My dreams are different.
12;00:00:25,774;00:00:27,943;Mine are true.
13;00:00:27,977;00:00:31,379;I saw something take that child.
14;00:00:31,414;00:00:34,949;Wildlings serve crueler
14;00:00:31,414;00:00:34,949;Gods than you or I.
15;00:00:34,984;00:00:37,552;Ready my horse.
15;00:00:34,984;00:00:37,552;We leave at dawn.
16;00:00:37,586;00:00:40,176;Did Cersei have you
16;00:00:37,586;00:00:40,176;knighted before or after
17;00:00:40,201;00:00:41,589;she took you into her bed?
18;00:00:41,590;00:00:44,024;Nothing to say?
18;00:00:41,590;00:00:44,024;Mercy! Mercy, My Lord!
19;00:00:44,059;00:00:47,461;I want to know what Cersei is
19;00:00:44,059;00:00:47,461;doing and you will tell me.
20;00:00:47,495;00:00:48,929;Yes, My Lord, I will.
21;00:00:48,963;00:00:50,898;Sweet boy!
21;00:00:48,963;00:00:50,898;Help us!
22;00:00:52,200;00:00:54,001;Round up any survivors.
23;00:00:54,036;00:00:56,037;We'll take them
23;00:00:54,036;00:00:56,037;back to Harrenhal.
24;00:00:56,071;00:00:58,740;This one's a girl
24;00:00:56,071;00:00:58,740;dressed as a boy.
25;00:00:58,774;00:01:01,242;Get these prisoners to work.
25;00:00:58,774;00:01:01,242;Bring the girl.
26;00:01:01,277;00:01:03,077;I need a new cupbearer.
27;00:01:03,112;00:01:05,480;I will give you this
27;00:01:03,112;00:01:05,480;one night to reconsider.
28;00:01:05,514;00:01:06,581;Otherwise I shall
28;00:01:05,514;00:01:06,581;destroy you.
29;00:01:06,616;00:01:08,583;Look to your sins,
29;00:01:06,616;00:01:08,583;Lord Renly.
30;00:01:08,617;00:01:10,952;The night is dark
30;00:01:08,617;00:01:10,952;and full of terrors.
31;00:01:10,986;00:01:14,422;I will vouch for her,
31;00:01:10,986;00:01:14,422;her people and her dragons.
32;00:01:16,091;00:01:17,926;Be it on your head.
33;00:01:17,960;00:01:20,862;Welcome to Qarth, My Lady.
