1;00:00:02,715;00:00:05,216;Do you really think I'll let you
1;00:00:02,715;00:00:05,216;sell her like a common whore?
2;00:00:05,250;00:00:07,185;Dorne is the safest
2;00:00:05,250;00:00:07,185;place for her.
3;00:00:07,219;00:00:10,020;You cannot stop it.
3;00:00:07,219;00:00:10,020;No!
4;00:00:15,460;00:00:17,928;No, wait.
4;00:00:15,460;00:00:17,928;It wasn't her.
5;00:00:20,030;00:00:23,899;You can't avenge him if you're dead.
6;00:00:23,934;00:00:27,369;On behalf of the warlocks
6;00:00:23,934;00:00:27,369;of Qarth, I welcome you.
7;00:00:29,172;00:00:32,040;It would be an honor to host you
7;00:00:29,172;00:00:32,040;at the House of the Undying,
8;00:00:32,075;00:00:34,209;Mother of Dragons.
9;00:00:34,244;00:00:36,379;Stannis will be here
9;00:00:34,244;00:00:36,379;in an hour.
10;00:00:36,413;00:00:38,181;Renly's bannermen
10;00:00:36,413;00:00:38,181;will flock to him.
11;00:00:38,215;00:00:40,083;Calling yourself king
11;00:00:38,215;00:00:40,083;doesn't make you one.
12;00:00:40,117;00:00:42,819;And if Renly wasn't a king,
12;00:00:40,117;00:00:42,819;I wasn't a queen.
13;00:00:42,853;00:00:46,122;Do you want to be a queen?
13;00:00:42,853;00:00:46,122;I want to be the queen.
14;00:00:46,157;00:00:47,791;There on that mountain.
15;00:00:47,826;00:00:50,394;We need to get rid
15;00:00:47,826;00:00:50,394;of those lookouts.
16;00:00:50,428;00:00:52,629;I need to move fast
16;00:00:50,428;00:00:52,629;and silent.
17;00:00:52,664;00:00:54,965;Lord Commander,
17;00:00:52,664;00:00:54,965;I'd like to join Lord Qhorin.
18;00:00:54,999;00:00:56,233;Aye.
19;00:00:56,267;00:00:57,735;Are you going
19;00:00:56,267;00:00:57,735;to kill Joffrey?
20;00:00:57,769;00:00:59,837;If the Gods give me strength.
20;00:00:57,769;00:00:59,837;And then what?
21;00:00:59,871;00:01:01,705;First we have to
21;00:00:59,871;00:01:01,705;win the war.
22;00:01:01,739;00:01:03,541;You never told me
22;00:01:01,739;00:01:03,541;where you're from.
23;00:01:03,575;00:01:05,109;Volantis.
24;00:01:05,143;00:01:07,311;You're one of them now.
24;00:01:05,143;00:01:07,311;I should have let you burn.
25;00:01:07,346;00:01:09,346;You saved me
25;00:01:07,346;00:01:09,346;and the two I was with.
26;00:01:09,381;00:01:11,215;You stole three deaths
26;00:01:09,381;00:01:11,215;from the Red God.
27;00:01:11,249;00:01:13,417;Speak three names.
27;00:01:11,249;00:01:13,417;I can name anyone?
28;00:01:13,451;00:01:15,686;And you'll kill him?
28;00:01:13,451;00:01:15,686;A man has said.
29;00:01:15,720;00:01:18,221;The one who tortures everyone.
29;00:01:15,720;00:01:18,221;They call him the Tickler.
30;00:01:20,024;00:01:22,291;The Stony Shore's not far
30;00:01:20,024;00:01:22,291;from Torrhen's Square.
31;00:01:22,326;00:01:24,827;More impressive prize than
31;00:01:22,326;00:01:24,827;a few fisherman's daughters.
32;00:01:24,861;00:01:27,229;Soon as Winterfell got word that
32;00:01:24,861;00:01:27,229;we'd taken Torrhen's Square,
33;00:01:27,263;00:01:29,598;the Starks would send
33;00:01:27,263;00:01:29,598;their men to take it back.
34;00:01:29,632;00:01:31,600;Take me to my ship.
35;00:01:31,635;00:01:34,303;Lord Stark, Torrhen's Square
35;00:01:31,635;00:01:34,303;is under siege.
36;00:01:34,337;00:01:36,639;Torrhen's Square is barely
36;00:01:34,337;00:01:36,639;40 leagues from here.
37;00:01:36,674;00:01:38,474;Go, Ser Rodrik.
37;00:01:36,674;00:01:38,474;Take the men you need.
38;00:01:38,509;00:01:40,009;What did you see
38;00:01:38,509;00:01:40,009;in your dream?
39;00:01:40,044;00:01:41,478;That the sea came
