2;00:00:11,005;00:00:13,774;Fall back!
3;00:01:00,557;00:01:02,358;Brother?
4;00:02:24,608;00:02:27,276;Did you send the ravens?
5;00:02:29,546;00:02:33,683;Tarly, look at me.
6;00:02:35,786;00:02:38,354;Did you send the ravens?
7;00:02:41,758;00:02:43,893;That was your job.
8;00:02:43,927;00:02:46,696;Your only job.
9;00:02:54,204;00:02:57,874;We need to get
9;00:02:54,204;00:02:57,874;back to the Wall.
10;00:02:57,908;00:03:00,543;It's a long march.
11;00:03:00,577;00:03:03,312;We know what's out there,
12;00:03:03,380;00:03:07,116;but we have to make it,
12;00:03:03,380;00:03:07,116;have to warn them
13;00:03:07,150;00:03:09,986;or before winter's done,
14;00:03:10,020;00:03:12,188;everyone you've ever known
15;00:03:12,223;00:03:14,023;will be dead.
16;00:03:20,522;00:03:24,522;<font color=#00FF00>♪ Game of Thrones 3x01 ♪</font>
16;00:03:20,522;00:03:24,522;<font color=#00FFFF>Valar Dohaeris</font>
16;00:03:20,522;00:03:24,522;Original Air Date on March 13, 2013
18;00:03:29,572;00:04:58,388;♪
19;00:06:06,964;00:06:09,566;First time you've seen
19;00:06:06,964;00:06:09,566;a giant, Jon Snow?
20;00:06:12,537;00:06:15,206;Well, don't stare too long.
20;00:06:12,537;00:06:15,206;They're shy.
21;00:06:17,376;00:06:20,845;When they stop being shy,
21;00:06:17,376;00:06:20,845;they get angry.
22;00:06:20,879;00:06:23,014;And when they're angry,
23;00:06:23,048;00:06:26,151;I've seen them pound a man
23;00:06:23,048;00:06:26,151;straight into the ground
24;00:06:26,185;00:06:28,186;like a hammer on a nail.
25;00:06:38,898;00:06:40,498;- Crow!
25;00:06:38,898;00:06:40,498;- Crow!
26;00:06:40,533;00:06:43,635;- Look over there!
26;00:06:40,533;00:06:43,635;- Crow!
27;00:06:43,669;00:06:46,503;Crow! Look over here!
27;00:06:43,669;00:06:46,503;Look!
28;00:06:46,538;00:06:49,673;Ah, look, crow coming!
29;00:06:49,708;00:06:51,409;Crow!
30;00:06:52,978;00:06:55,813;You're wearing
30;00:06:52,978;00:06:55,813;the wrong color.
31;00:06:55,847;00:06:58,349;Mance was a ranger.
32;00:07:00,352;00:07:03,488;In your hearts, all you
32;00:07:00,352;00:07:03,488;crows want to fly free.
33;00:07:03,522;00:07:05,423;When I'm free,
33;00:07:03,522;00:07:05,423;will I be free to go?
34;00:07:05,458;00:07:06,458;Crow!
34;00:07:05,458;00:07:06,458;Crow!
35;00:07:06,492;00:07:07,793;Sure, you will.
36;00:07:07,827;00:07:11,028;Oh!
37;00:07:11,063;00:07:13,932;And I'll be free
37;00:07:11,063;00:07:13,932;to kill you.
38;00:07:15,301;00:07:17,568;Got no respect, this lot.
39;00:07:17,603;00:07:20,772;Got no fathers to slap 'em
39;00:07:17,603;00:07:20,772;when they're foul.
40;00:07:20,806;00:07:23,141;What happened
40;00:07:20,806;00:07:23,141;to their fathers?
41;00:07:24,677;00:07:27,412;Some of them were killed
41;00:07:24,677;00:07:27,412;by crows like you.
42;00:07:28,814;00:07:31,883;Don't look so grim,
42;00:07:28,814;00:07:31,883;Jon Snow.
43;00:07:31,917;00:07:34,953;If Mance Rayder likes you,
43;00:07:31,917;00:07:34,953;you'll live another day.
44;00:07:34,987;00:07:37,856;And if he don't...
45;00:08:00,446;00:08:02,080;I smell a crow.
46;00:08:02,147;00:08:04,315;We killed his friends.
47;00:08:04,350;00:08:06,151;Thought you'd want
47;00:08:04,350;00:08:06,151;to question this one.
48;00:08:07,387;00:08:09,288;What do we want
48;00:08:07,387;00:08:09,288;with a baby crow?
49;00:08:09,322;00:08:12,258;This baby killed
49;00:08:09,322;00:08:12,258;Qhorin Halfhand.
50;00:08:12,292;00:08:15,494;He wants to be
50;00:08:12,292;00:08:15,494;one of us.
51;00:08:21,001;00:08:24,203;That half-handed cunt
