1;00:03:49,210;00:03:51,945;You've got too much
1;00:03:49,210;00:03:51,945;wood in there.
2;00:03:51,980;00:03:55,615;But the more wood,
2;00:03:51,980;00:03:55,615;the bigger the fire.
3;00:03:55,649;00:03:57,751;It needs to breathe.
4;00:03:57,785;00:03:59,720;Take off that big log.
5;00:04:09,098;00:04:12,601;Huh.
5;00:04:09,098;00:04:12,601;You know your fires.
6;00:04:20,410;00:04:24,113;Someone built your fires
6;00:04:20,410;00:04:24,113;for you growing up?
7;00:04:24,147;00:04:27,016;It doesn't get so cold
7;00:04:24,147;00:04:27,016;down in the Reach.
8;00:04:28,218;00:04:30,886;And there were
8;00:04:28,218;00:04:30,886;servants, of course.
9;00:04:30,921;00:04:33,189;I knew you were highborn.
10;00:04:36,726;00:04:40,596;Oh, I found something
10;00:04:36,726;00:04:40,596;at the Fist of the First Men.
11;00:04:43,299;00:04:45,133;Buried treasure.
12;00:04:45,168;00:04:47,670;Thousands of years old.
13;00:04:47,704;00:04:49,304;I think.
14;00:04:50,473;00:04:52,408;What does it do?
15;00:04:53,643;00:04:56,144;I'm not sure
15;00:04:53,643;00:04:56,144;that it does anything.
16;00:04:56,179;00:04:58,380;It's beautiful, though,
16;00:04:56,179;00:04:58,380;isn't it?
17;00:05:06,456;00:05:09,658;How much longer?
17;00:05:06,456;00:05:09,658;Not so far.
18;00:05:09,692;00:05:11,860;A few more days.
19;00:05:11,894;00:05:15,231;Is the Wall
19;00:05:11,894;00:05:15,231;as big as they say?
20;00:05:15,265;00:05:17,133;Bigger.
21;00:05:18,402;00:05:21,371;So big you can't even see
21;00:05:18,402;00:05:21,371;the top sometimes.
22;00:05:21,405;00:05:23,407;It's hidden in clouds.
23;00:05:25,276;00:05:26,777;You're playing with me.
24;00:05:26,811;00:05:30,982;I'm not.
24;00:05:26,811;00:05:30,982;It's 700 feet high,
25;00:05:31,016;00:05:33,318;all made of ice.
26;00:05:33,386;00:05:36,021;On a warm day
26;00:05:33,386;00:05:36,021;you can see it weeping.
27;00:05:40,627;00:05:43,929;Castle Black
27;00:05:40,627;00:05:43,929;is nice enough.
28;00:05:43,963;00:05:47,299;They keep a fire burning
28;00:05:43,963;00:05:47,299;in the long hall
29;00:05:47,333;00:05:49,068;day and night.
30;00:05:49,102;00:05:53,239;And Hobb makes
30;00:05:49,102;00:05:53,239;venison stew
31;00:05:53,273;00:05:55,040;with onions.
32;00:05:55,075;00:05:56,475;Very tasty.
33;00:05:56,510;00:06:00,813;Sometimes, one of
33;00:05:56,510;00:06:00,813;the brothers will sing.
34;00:06:00,847;00:06:03,382;Dareon sings best.
35;00:06:03,416;00:06:05,517;Do you sing?
35;00:06:03,416;00:06:05,517;No.
36;00:06:05,551;00:06:08,353;No, no, no.
36;00:06:05,551;00:06:08,353;Not very well.
37;00:06:10,590;00:06:12,925;Sing me a song.
38;00:06:12,959;00:06:16,562;Oh, all right.
39;00:06:16,597;00:06:18,498;Let's see.
40;00:06:20,334;00:06:23,268;Oh... ahem.
41;00:06:26,372;00:06:29,474;♪ The father's face
41;00:06:26,372;00:06:29,474;is stern and strong ♪
42;00:06:29,509;00:06:32,611;♪ He sits and judges
42;00:06:29,509;00:06:32,611;right from wrong ♪
43;00:06:32,645;00:06:35,914;♪ He weighs our lives,
43;00:06:32,645;00:06:35,914;the short and long ♪
44;00:06:35,948;00:06:39,184;♪ And loves
44;00:06:35,948;00:06:39,184;the little children ♪
45;00:06:39,218;00:06:43,121;♪ The mother gives
45;00:06:39,218;00:06:43,121;the gift of life ♪
46;00:06:43,155;00:06:46,924;♪ And watches over
46;00:06:43,155;00:06:46,924;every wife ♪
47;00:06:46,959;00:06:51,296;♪ Her gentle smile
47;00:06:46,959;00:06:51,296;ends all strife ♪
48;00:06:51,330;00:06:55,066;♪ And she loves
48;00:06:51,330;00:06:55,066;her little children. ♪
49;00:07:01,641;00:07:03,208;That's not how
49;00:07:01,641;00:07:03,208;you skin a rabbit.
50;00:07:03,242;00:07:04,710;I know how
50;00:07:03,242;00:07:04,710;to skin a rabbit.
51;00:07:04,744;00:07:07,079;Not by the looks of it.
52;00:07:22,695;00:07:25,196;You grow up
52;00:07:22,695;00:07:25,196;north of the Wall,
53;00:07:25,231;00:07:27,065;you learn the proper
53;00:07:25,231;00:07:27,065;way to handle game.
54;00:07:27,099;00:07:29,534;I didn't see any game
54;00:07:27,099;00:07:29,534;before I got here.
55;00:07:31,003;00:07:33,138;If I had a bow, I could have shot
55;00:07:31,003;00:07:33,138;a dozen rabbits.
56;00:07:33,172;00:07:34,706;Well, I made
56;00:07:33,172;00:07:34,706;this bow myself.
57;00:07:34,740;00:07:36,841;Guess you don't learn
57;00:07:34,740;00:07:36,841;how to do that north of the Wall.
58;00:07:36,875;00:07:39,009;You learn how to use
58;00:07:36,875;00:07:39,009;your fists, though.
59;00:07:39,044;00:07:41,078;Oh, you're gonna punch
59;00:07:39,044;00:07:41,078;the rabbits to death?
60;00:07:41,113;00:07:42,580;I had someone else in mind.
61;00:07:42,614;00:07:44,081;Well, someone else
61;00:07:42,614;00:07:44,081;is sitting right here.
62;00:07:44,116;00:07:46,584;You're both very good
62;00:07:44,116;00:07:46,584;at skinning rabbits.
63;00:07:46,618;00:07:49,453;Some of us are just
63;00:07:46,618;00:07:49,453;a little better.
64;00:07:49,487;00:07:51,455;Well, some of us would say
64;00:07:49,487;00:07:51,455;thank you when someone else
65;00:07:51,489;00:07:53,557;hunts down their
65;00:07:51,489;00:07:53,557;breakfast for them.
66;00:07:53,591;00:07:55,526;Or don't they teach you to say
66;00:07:53,591;00:07:55,526;thank you north of the Wall?
67;00:07:55,560;00:07:59,196;You've got a big mouth, girl,
67;00:07:55,560;00:07:59,196;and too many teeth.
68;00:07:59,230;00:08:01,398;Stop it!
68;00:07:59,230;00:08:01,398;Hodor.
69;00:08:01,432;00:08:03,934;You've been fighting since you met.
69;00:08:01,432;00:08:03,934;Just stop it.
70;00:08:03,968;00:08:06,770;Lady Reed here's got
70;00:08:03,968;00:08:06,770;a stick so far up her ass,
71;00:08:06,804;00:08:08,271;it's a wonder her feet
71;00:08:06,804;00:08:08,271;touch the ground.
72;00:08:08,306;00:08:10,641;You've been nasty
72;00:08:08,306;00:08:10,641;to her every day.
73;00:08:10,675;00:08:12,075;Of course she's nasty back.
74;00:08:12,110;00:08:13,710;Me? It's my fault?
75;00:08:13,744;00:08:15,912;First time I met her,
75;00:08:13,744;00:08:15,912;she put a knife to my throat.
76;00:08:15,946;00:08:18,281;First time I met you,
76;00:08:15,946;00:08:18,281;you held a knife at me.
77;00:08:20,418;00:08:22,152;We can't fight each other.
78;00:08:22,186;00:08:24,455;We'll never make it
78;00:08:22,186;00:08:24,455;to the Wall.
79;00:08:25,490;00:08:27,224;I want you both
79;00:08:25,490;00:08:27,224;to make peace.
