1;00:02:16,835;00:02:19,069;
2;00:01:53,338;00:01:56,105;We're going to braavos!
2;00:01:53,338;00:01:56,105;
3;00:02:01,612;00:02:05,614;In the old times,
3;00:02:01,612;00:02:05,614;whenever braavos
3;00:02:01,612;00:02:05,614;stood in danger,
4;00:02:05,666;00:02:09,201;The titan would step
4;00:02:05,666;00:02:09,201;with fire in his eyes.
5;00:02:09,253;00:02:12,955;He'd wade into the sea
5;00:02:09,253;00:02:12,955;and smash the enemies.
6;00:02:13,991;00:02:15,541;He's just a statue.
7;00:02:20,715;00:02:22,431;Don't be afraid.
8;00:02:22,467;00:02:24,633;He's announcing
8;00:02:22,467;00:02:24,633;our arrival.
9;00:02:26,337;00:02:28,387;I'm not afraid.
10;00:03:36,707;00:03:38,591;The house
10;00:03:36,707;00:03:38,591;of black and white.
11;00:03:38,626;00:03:42,294;This is where you'll find
11;00:03:38,626;00:03:42,294;the man you seek.
12;00:03:47,518;00:03:49,852;Here i leave you.
13;00:03:57,111;00:03:59,061;Thank you
13;00:03:57,111;00:03:59,061;for bringing me.
14;00:03:59,113;00:04:01,647;Any man of braavos
14;00:03:59,113;00:04:01,647;would have done the same.
15;00:04:03,784;00:04:04,900;Valar morghulis.
16;00:04:04,952;00:04:07,069;Valar dohaeris.
17;00:04:42,406;00:04:44,356;Hello.
18;00:04:47,311;00:04:49,195;Valar morghulis.
19;00:04:54,535;00:04:56,118;Um...
20;00:04:59,990;00:05:02,291;Jaqen h'ghar gave me this.
21;00:05:05,663;00:05:07,880;No one here
21;00:05:05,663;00:05:07,880;by that name.
22;00:05:07,932;00:05:10,332;Please.
23;00:05:10,351;00:05:13,852;I crossed the narrow sea.
23;00:05:10,351;00:05:13,852;I have nowhere else to go.
24;00:05:13,888;00:05:15,804;You have everywhere
24;00:05:13,888;00:05:15,804;else to go.
25;00:05:15,839;00:05:17,806;But wait--
26;00:05:17,841;00:05:19,808;
27;00:05:37,578;00:05:39,878;Cersei.
28;00:05:39,914;00:05:42,631;Walder frey.
29;00:05:42,667;00:05:45,084;The mountain.
30;00:05:45,136;00:05:46,752;Meryn trant.
31;00:05:48,222;00:05:50,306;Cersei.
32;00:05:51,642;00:05:54,260;Walder frey.
33;00:05:54,312;00:05:55,894;The mountain.
34;00:05:57,431;00:05:59,231;Meryn trant.
35;00:05:59,267;00:06:02,184;
35;00:05:59,267;00:06:02,184;cersei. Walder frey.
36;00:06:02,219;00:06:04,687;The mountain.
37;00:06:04,722;00:06:06,322;Meryn trant.
38;00:06:07,692;00:06:09,441;Cersei.
39;00:06:09,493;00:06:11,160;Walder frey.
40;00:06:11,195;00:06:12,745;The mountain.
41;00:06:12,780;00:06:15,164;Meryn trant.
42;00:06:15,199;00:06:17,583;Cersei.
43;00:06:17,618;00:06:20,536;Walder frey.
44;00:06:20,571;00:06:22,371;The mountain.
45;00:06:23,874;00:06:25,624;Meryn trant.
46;00:06:51,369;00:06:53,902;
47;00:06:56,457;00:06:58,874;Must be good food
