1;00:00:02,555;00:00:04,268;Did you kill Joffrey?
2;00:00:04,798;00:00:07,352;It was something my new friends
2;00:00:04,798;00:00:07,352;wanted very badly.
3;00:00:07,632;00:00:10,374;You didn't think I'd let you marry
3;00:00:07,632;00:00:10,374;that beast, did you?
4;00:00:10,494;00:00:13,645;We engaged in intimate relations.
5;00:00:13,765;00:00:16,186;Queen Margaery walked in on us.
6;00:00:16,466;00:00:19,075;There is enough evidence
6;00:00:16,466;00:00:19,075;to bring a formal trial
7;00:00:19,195;00:00:21,716;for Ser Loras and Queen Margaery.
7;00:00:19,195;00:00:21,716;Take her.
8;00:00:21,991;00:00:25,010;Lancel Lannister.
8;00:00:21,991;00:00:25,010;Brother Lannister.
9;00:00:25,130;00:00:27,954;We abandon our family names.
9;00:00:25,130;00:00:27,954;Quite a family to abandon.
10;00:00:28,811;00:00:31,552;To forge a lasting bond with the people,
11;00:00:31,672;00:00:33,639;I will marry the leader
11;00:00:31,672;00:00:33,639;of an ancient family
12;00:00:33,759;00:00:35,337;and reopen the fighting pits.
13;00:00:36,374;00:00:37,620;It's a slave ship.
14;00:00:38,467;00:00:41,377;Take me to Slaver's Bay,
14;00:00:38,467;00:00:41,377;put a sword in my hand,
15;00:00:41,497;00:00:43,134;I will prove my worth.
16;00:00:43,254;00:00:45,010;I want you to be my wife.
17;00:00:45,130;00:00:47,190;We have to go, Myrcella. Now.
18;00:00:51,511;00:00:52,682;Drop your weapons.
19;00:00:56,134;00:00:57,567;We're going to have a baby.
20;00:00:57,687;00:01:00,196;From the way she's carrying,
20;00:00:57,687;00:01:00,196;it looks like a boy.
21;00:01:00,865;00:01:02,797;Maybe Lady Sansa is better off here.
22;00:01:02,917;00:01:05,252;Sansa is in danger,
22;00:01:02,917;00:01:05,252;even if she doesn't realize it.
23;00:01:05,372;00:01:06,685;If you're ever in trouble,
24;00:01:06,805;00:01:10,311;light a candle in the highest window
24;00:01:06,805;00:01:10,311;of the Broken Tower.
25;00:01:12,186;00:01:13,420;Will you take this man?
26;00:01:14,242;00:01:15,302;I take this man.
27;00:01:15,601;00:01:17,719;You've known Sansa since she was a girl.
28;00:01:17,839;00:01:19,351;Now watch her become a woman.
29;00:01:21,414;00:01:24,579;I shall take back the North
29;00:01:21,414;00:01:24,579;from the thieves who stole it.
30;00:01:24,699;00:01:27,308;I shall mount Roose Bolton's head
30;00:01:24,699;00:01:27,308;on a spike.
31;00:01:27,428;00:01:29,750;The Queen and the Princess?
31;00:01:27,428;00:01:29,750;They're coming with us.
32;00:01:29,870;00:01:31,545;We march at sunrise.
33;00:01:31,665;00:01:33,181;And if you go north of the Wall,
34;00:01:33,301;00:01:36,733;gather the remaining free folk
34;00:01:33,301;00:01:36,733;wherever they are and bring them here.
35;00:01:36,853;00:01:38,726;I'll open the gates and let them through.
36;00:01:38,846;00:01:41,057;Make peace to save your people.
37;00:01:41,177;00:01:42,537;You're coming with me.
38;00:03:24,173;00:03:34,510;<font color=#ec14bd>Sync & corrections by honeybunny</font>
38;00:03:24,173;00:03:34,510;<font color=#ec14bd>www.addic7ed.com</font>
39;00:04:43,771;00:04:45,905;First Ranger, you have
39;00:04:43,771;00:04:45,905;command of Castle Black.
40;00:04:46,273;00:04:48,522;Lord Commander,
40;00:04:46,273;00:04:48,522;it is my duty to tell you
41;00:04:48,642;00:04:51,745;I believe this mission
41;00:04:48,642;00:04:51,745;to be reckless, foolhardy,
42;00:04:52,046;00:04:53,747;and an insult
42;00:04:52,046;00:04:53,747;to all the brothers
43;00:04:54,048;00:04:56,750;who have died
43;00:04:54,048;00:04:56,750;fighting the wildlings.
44;00:04:57,051;00:04:59,818;As always, thank you
44;00:04:57,051;00:04:59,818;for your honesty.
45;00:05:06,693;00:05:08,060;Safe travels, Lord Commander.
46;00:05:08,295;00:05:10,529;Thank you, Sam.
47;00:05:10,697;00:05:12,365;Oh, um...
48;00:05:18,037;00:05:19,437;It's dragonglass.
49;00:05:19,806;00:05:21,573;It's what I used
49;00:05:19,806;00:05:21,573;to kill the white walker.
50;00:05:27,080;00:05:28,981;I hope you don't need them.
51;00:05:29,182;00:05:31,215;Me, too.
52;00:05:46,432;00:05:47,598;Yah.
53;00:06:04,549;00:06:06,249;There he is.
54;00:06:10,355;00:06:12,489;That laugh.
55;00:06:12,691;00:06:14,792;Egg.
56;00:06:15,059;00:06:17,227;Egg laughed like that.
57;00:06:17,562;00:06:20,596;One of the first things
57;00:06:17,562;00:06:20,596;I remember.
