1;00:01:34,001;00:01:42,001;<font color=#ec14bd>Sync & corrections by honeybunny
1;00:01:34,001;00:01:42,001;www.addic7ed.com</font>
2;00:01:49,805;00:01:51,788;My son.
3;00:01:53,198;00:01:55,179;My firstborn son.
4;00:01:58,413;00:02:01,836;My child king, hush.
5;00:02:04,014;00:02:06,699;Listen to the gods,
5;00:02:04,014;00:02:06,699;for you they sing.
6;00:02:10,573;00:02:12,171;Fight no more, sweet child.
7;00:02:12,269;00:02:14,220;Your wars are won.
8;00:02:15,790;00:02:18,060;The wolves are buried
9;00:02:18,158;00:02:20,363;and the false stag done.
10;00:02:24,557;00:02:26,667;Shut your blue eyes, my love.
11;00:02:26,765;00:02:28,235;Let the crown fall.
12;00:02:28,333;00:02:30,827;The Father above
12;00:02:28,333;00:02:30,827;beckons you to his hall.
13;00:02:32,589;00:02:35,563;In Seventh Heaven
13;00:02:32,589;00:02:35,563;I'll see you once more.
14;00:02:39,149;00:02:43,595;But now I seek vengeance
14;00:02:39,149;00:02:43,595;on Sansa the whore
15;00:02:43,693;00:02:46,315;and my brother the Imp
16;00:02:46,413;00:02:49,099;who killed his own king.
17;00:02:49,197;00:02:51,756;Born amongst lions,
17;00:02:49,197;00:02:51,756;our curse from within.
18;00:02:51,853;00:02:54,028;I will slay him, I swear.
19;00:02:54,125;00:02:56,587;With noose or with knife,
20;00:02:56,685;00:02:59,180;though it take me a fortnight,
21;00:02:59,277;00:03:02,668;a moon or my life.
22;00:03:26,222;00:03:28,523;What is that
22;00:03:26,222;00:03:28,523;I hear and smell?
23;00:03:28,621;00:03:31,787;Someone I'll soon send to hell.
24;00:03:31,885;00:03:34,411;It's time to see if truth they told
25;00:03:34,510;00:03:37,228;who said Tywin Lannister shits gold.
26;00:03:37,325;00:03:38,987;Get the wig!
27;00:03:39,085;00:03:42,603;You beast, you beast.
27;00:03:39,085;00:03:42,603;You killed my wife.
28;00:03:42,701;00:03:45,739;And now you've taken
28;00:03:42,701;00:03:45,739;your father's life.
29;00:03:45,837;00:03:48,843;No worse child
29;00:03:45,837;00:03:48,843;ever stained this land.
30;00:03:48,941;00:03:52,043;I curse the day I named you.
31;00:03:54,318;00:03:57,099;My greatest crime!
32;00:04:27,533;00:04:29,163;You're good at that.
33;00:04:29,261;00:04:31,627;Where did you learn?
34;00:04:31,725;00:04:33,291;I'm a jealous woman.
35;00:04:33,389;00:04:35,596;I've always liked bad men
36;00:04:35,693;00:04:37,707;and they've always liked me.
37;00:04:39,469;00:04:42,091;They'd come home wherever
37;00:04:39,469;00:04:42,091;home was that night
38;00:04:42,189;00:04:46,219;stinking of some whore's perfume.
39;00:04:46,317;00:04:49,036;So we'd fight and I'd
39;00:04:46,317;00:04:49,036;put a hole in them.
40;00:04:49,133;00:04:51,755;And then I'd feel terrible,
41;00:04:51,853;00:04:53,739;so I'd patch them up.
42;00:04:53,838;00:04:55,179;I got good at patching them up.
43;00:04:55,277;00:04:56,843;And good at putting holes in them.
44;00:04:56,941;00:04:59,084;And that.
45;00:05:01,805;00:05:03,947;What happened to the actress?
46;00:05:04,045;00:05:07,020;The one who wanted you dead.
47;00:05:07,117;00:05:08,684;Bianca.
48;00:05:08,781;00:05:11,212;She'll have a hard time
48;00:05:08,781;00:05:11,212;finding work as an actress
49;00:05:11,309;00:05:13,259;after what I did to her face.
50;00:05:18,285;00:05:19,435;Mmm.
51;00:05:19,533;00:05:21,515;I never did learn to cook.
52;00:05:21,613;00:05:24,075;But eat.
52;00:05:21,613;00:05:24,075;Eat. You need it.
53;00:05:26,093;00:05:28,843;The company is moving
53;00:05:26,093;00:05:28,843;on to Pentos soon.
54;00:05:28,941;00:05:30,412;You should come with us.
55;00:05:30,509;00:05:32,459;I can't.
55;00:05:30,509;00:05:32,459;Why not?
56;00:05:32,557;00:05:34,891;Got a feeling you'd be
56;00:05:32,557;00:05:34,891;good at this sort of work.
57;00:05:34,989;00:05:36,971;And besides, we need a new actress.
58;00:05:37,069;00:05:40,651;I don't think I could
58;00:05:37,069;00:05:40,651;remember all of the lines.
59;00:05:40,749;00:05:43,051;Come with us.
60;00:05:43,149;00:05:45,035;What's left for you here?
61;00:05:46,157;00:05:48,811;You wouldn't be safe.
62;00:05:48,909;00:05:51,595;Not while she's looking for me.
63;00:05:51,693;00:05:53,739;Who?
64;00:05:53,837;00:05:55,339;She doesn't have a name.
65;00:06:00,781;00:06:02,283;Where will you go?
66;00:06:05,005;00:06:08,395;Essos is east and Westeros is west.
67;00:06:08,493;00:06:10,380;But what's west of Westeros?
68;00:06:11,725;00:06:12,747;I don't know.
69;00:06:12,845;00:06:14,347;Nobody does.
70;00:06:14,445;00:06:16,459;That's where all the maps stop.
71;00:06:16,557;00:06:18,411;The edge of the world, maybe.
72;00:06:18,509;00:06:19,755;I'd like to see that.
73;00:06:30,221;00:06:32,299;What's that?
73;00:06:30,221;00:06:32,299;Milk of the poppy.
74;00:06:32,397;00:06:33,899;I don't want any.
75;00:06:35,981;00:06:38,987;Sleep is the only way you'll heal.
76;00:06:39,085;00:06:42,763;Trust me, if my soup didn't
76;00:06:39,085;00:06:42,763;kill you, nothing will.
77;00:07:23,373;00:07:26,603;Thing about Gatins, right,
77;00:07:23,373;00:07:26,603;is he used to be pretty.
78;00:07:26,701;00:07:27,979;I was a famous kisser.
79;00:07:28,077;00:07:30,539;You lads know how to kiss proper?
80;00:07:32,493;00:07:33,579;Course we do.
81;00:07:33,677;00:07:36,107;This is for masters, this technique.
82;00:07:36,205;00:07:37,963;You're not ready.
82;00:07:36,205;00:07:37,963;I'm ready.
83;00:07:38,061;00:07:40,363;He says he's ready.
84;00:07:40,461;00:07:43,339;All right.
84;00:07:40,461;00:07:43,339;Now, pay attention.
85;00:07:45,709;00:07:49,195;You put your left hand on the
85;00:07:45,709;00:07:49,195;back of the lady's head.
86;00:07:49,293;00:07:52,459;Your right hand holds the small
86;00:07:49,293;00:07:52,459;of the lady's back like so.
87;00:07:53,581;00:07:54,859;Very romantic.
88;00:07:54,957;00:07:57,835;Take your middle finger, yeah,
89;00:07:57,933;00:07:59,947;and you jam it right up her bunghole.
90;00:08:02,829;00:08:04,171;So fucking close!
91;00:08:04,269;00:08:06,795;Ah, it smells like pussy to me.
92;00:08:06,893;00:08:08,427;Look at him.
92;00:08:06,893;00:08:08,427;You get hard, boy?
93;00:08:08,525;00:08:11,467;Fuck you!
93;00:08:08,525;00:08:11,467;Disgusting old twats.
94;00:08:15,053;00:08:17,675;Got off on that,
94;00:08:15,053;00:08:17,675;did you, you old fuck?
95;00:08:38,701;00:08:40,171;Where's the other one?
96;00:08:40,269;00:08:42,699;The one with the yellow cloak.
96;00:08:40,269;00:08:42,699;Fuck you!
97;00:08:42,797;00:08:45,003;Those are your last words, fuck you?
98;00:08:45,100;00:08:46,891;Come on, you can do better.
99;00:08:46,989;00:08:48,299;Cunt!
100;00:08:48,397;00:08:50,763;You're shit at dying, you know that?
101;00:09:05,421;00:09:09,067;_
102;00:09:09,302;00:09:12,718;_
103;00:09:14,132;00:09:18,402;_
104;00:09:18,847;00:09:21,887;_
105;00:09:23,756;00:09:25,515;I'd call that a successful gambit.
106;00:09:25,613;00:09:27,339;Would you?
106;00:09:25,613;00:09:27,339;Look around.
107;00:09:27,437;00:09:29,451;The city has come back to life.
108;00:09:29,549;00:09:33,067;You made a pact with fanatics.
108;00:09:29,549;00:09:33,067;I did and it worked.
109;00:09:33,165;00:09:36,779;If you shaved your beard with a straight
109;00:09:33,165;00:09:36,779;razor, you'd say the razor worked.
110;00:09:36,877;00:09:38,955;That doesn't mean
110;00:09:36,877;00:09:38,955;it won't cut your throat.
111;00:09:39,053;00:09:42,155;Spoken like a man who has
111;00:09:39,053;00:09:42,155;never had to shave.
112;00:09:46,701;00:09:48,363;I'm going to miss you.
113;00:09:48,460;00:09:49,995;I know.
114;00:09:50,093;00:09:52,971;I hope you're right about
114;00:09:50,093;00:09:52,971;this expedition of yours.
115;00:09:53,069;00:09:56,203;If I don't return,
115;00:09:53,069;00:09:56,203;you'll know I was wrong.
116;00:09:59,821;00:10:01,483;We need friends in Westeros.
117;00:10:01,581;00:10:03,083;And we need ships.
118;00:10:03,181;00:10:04,651;Most of all, we need our queen.
119;00:10:04,749;00:10:08,075;She'll come back.
119;00:10:04,749;00:10:08,075;She has to.
120;00:10:08,173;00:10:10,763;My heart's been broken
120;00:10:08,173;00:10:10,763;too many times already.
121;00:10:12,749;00:10:15,115;I'll walk the rest of the way myself.
122;00:10:15,213;00:10:16,747;I can't go off on a secret mission
123;00:10:16,845;00:10:19,339;in the company of the most
123;00:10:16,845;00:10:19,339;famous dwarf in the city.
124;00:10:22,797;00:10:24,971;Varys.
125;00:10:25,069;00:10:27,947;The most famous dwarf in the world.
126;00:10:54,956;00:10:57,291;Your Grace, several members
126;00:10:54,956;00:10:57,291;of the Faith Militant
127;00:10:57,389;00:10:59,947;have been permitted
127;00:10:57,389;00:10:59,947;entry to the Red Keep.
128;00:11:00,045;00:11:02,187;Have been permitted?
129;00:11:02,284;00:11:04,331;That's rather a tortured
129;00:11:02,284;00:11:04,331;way of putting it.
130;00:11:04,429;00:11:06,859;They demand to see you, Your Grace.
131;00:11:06,957;00:11:08,907;Who permitted them
131;00:11:06,957;00:11:08,907;inside the Red Keep?
132;00:11:12,269;00:11:14,219;The king is aware of their presence?
133;00:11:14,317;00:11:15,691;He is, Your Grace.
134;00:11:15,789;00:11:18,379;He's currently in his
134;00:11:15,789;00:11:18,379;chambers at prayer.
135;00:11:33,260;00:11:35,370;Your Grace, His Holiness
135;00:11:33,260;00:11:35,370;the High Septon
136;00:11:35,469;00:11:38,059;wishes to speak with you at
136;00:11:35,469;00:11:38,059;the Great Sept of Baelor.
137;00:11:38,156;00:11:39,722;His Holiness the High Septon
138;00:11:39,820;00:11:42,571;is welcome to see me
138;00:11:39,820;00:11:42,571;here in the Red Keep.
139;00:11:42,669;00:11:45,035;Your Grace, this is not a request.
140;00:11:45,132;00:11:47,242;It is a request, Cousin Lancel.
141;00:11:47,341;00:11:49,835;You are asking me for
141;00:11:47,341;00:11:49,835;something, I'm refusing.
142;00:11:51,565;00:11:54,570;The High Septon commands you.
143;00:11:54,669;00:11:56,683;Are you sure you want to refuse him?
144;00:11:58,924;00:12:01,867;He promised me I could stay in
144;00:11:58,924;00:12:01,867;the Red Keep until my trial.
145;00:12:01,965;00:12:03,818;He made no such promises.
146;00:12:03,917;00:12:05,857;If you refuse to come of your
146;00:12:03,917;00:12:05,857;own free will...
147;00:12:05,972;00:12:07,047;Get out.
148;00:12:16,460;00:12:17,995;Move aside, ser.
149;00:12:21,133;00:12:23,947;Order your man to step aside
149;00:12:21,133;00:12:23,947;or there will be violence.
150;00:12:31,245;00:12:32,843;I choose violence.
151;00:13:12,365;00:13:15,755;Please tell His High Holiness
151;00:13:12,365;00:13:15,755;he's always welcome to visit.
152;00:13:26,861;00:13:29,035;Looks like a siege, my lady.
153;00:13:29,133;00:13:32,363;You have a keen military mind, Pod.
154;00:13:41,165;00:13:43,723;My lady.
154;00:13:41,165;00:13:43,723;My lady.
155;00:13:46,956;00:13:49,195;Who goes there?!
156;00:13:49,293;00:13:50,475;State your business!
157;00:13:50,573;00:13:52,523;My name is Brienne of Tarth.
158;00:13:52,620;00:13:56,298;Please inform Ser Jaime Lannister
158;00:13:52,620;00:13:56,298;I've come to speak with him.
159;00:13:58,157;00:14:01,003;Tell him I have his sword.
160;00:14:11,725;00:14:13,899;Getting a bit old
160;00:14:11,725;00:14:13,899;to be a squire, aren't we?
161;00:14:19,117;00:14:20,331;Podrick fucking Payne.
162;00:14:20,429;00:14:22,922;I thought you'd be dead by now.
163;00:14:23,020;00:14:24,363;Not yet.
164;00:14:25,997;00:14:27,978;Are they in there?
164;00:14:25,997;00:14:27,978;Uh-huh.
165;00:14:31,693;00:14:33,707;You think they're fucking?
166;00:14:33,805;00:14:35,275;What?
167;00:14:35,373;00:14:36,907;No.
168;00:14:37,005;00:14:39,754;Why not?
168;00:14:37,005;00:14:39,754;I'd fuck her.
169;00:14:39,852;00:14:41,418;You'd fuck her, wouldn't you?
170;00:14:41,516;00:14:43,723;I'm her squire.
170;00:14:41,516;00:14:43,723;Oh.
171;00:14:43,821;00:14:46,891;Well, he'd
171;00:14:43,821;00:14:46,891;fuck her, that's for sure.
172;00:14:46,988;00:14:48,875;And she'd fuck him, don't you think?
173;00:14:48,973;00:14:50,731;The way she looks at him.
174;00:14:50,828;00:14:53,227;The way all women look at
174;00:14:50,828;00:14:53,227;him is frankly irritating.
175;00:14:53,325;00:14:56,299;I preferred working with the
175;00:14:53,325;00:14:56,299;little brother on that account.
176;00:14:56,397;00:14:59,979;Come on, you're the one
176;00:14:56,397;00:14:59,979;with the magic cock.
177;00:15:01,324;00:15:03,338;You must have shown it to her by now.
178;00:15:05,293;00:15:07,882;She's training me to fight.
178;00:15:05,293;00:15:07,882;Is she?
179;00:15:07,981;00:15:10,314;Oh.
179;00:15:07,981;00:15:10,314;An hour in the morning, an hour at night.
180;00:15:10,412;00:15:12,138;Every day.
181;00:15:12,236;00:15:15,882;Then how come an old cunt like me
181;00:15:12,236;00:15:15,882;can still sneak up and murder you?
182;00:15:15,980;00:15:18,410;Well, that's a different
182;00:15:15,980;00:15:18,410;sort of fighting.
183;00:15:18,508;00:15:20,043;Now, that's the truth, isn't it?
184;00:15:20,141;00:15:22,602;You want to learn
184;00:15:20,141;00:15:22,602;that sort of fighting?
185;00:15:23,916;00:15:25,674;All right.
186;00:15:25,772;00:15:27,946;All right, let's start
186;00:15:25,772;00:15:27,946;with your footwork.
187;00:15:28,044;00:15:30,155;Show me your stance.
