1;00:00:29,120;00:00:32,911;You're wondering why
﻿1;00:00:29,120;00:00:32,911;I brought you all here.
2;00:00:32,912;00:00:36,370;After all, we just had a feast.
3;00:00:36,871;00:00:39,328;Since when does old Walder
4;00:00:39,329;00:00:42,328;give us two feasts
4;00:00:39,329;00:00:42,328;in a single fortnight?
5;00:00:44,829;00:00:47,787;Well, it's no good being
5;00:00:44,829;00:00:47,787;Lord of the Riverlands
6;00:00:47,788;00:00:50,161;if you can't celebrate
6;00:00:47,788;00:00:50,161;with your family.
7;00:00:50,162;00:00:51,662;That's what I say!
8;00:00:51,663;00:00:55,078;Yes!
9;00:00:58,954;00:01:02,828;I've gathered every Frey
9;00:00:58,954;00:01:02,828;who means a damn thing
10;00:01:02,829;00:01:08,161;so I can tell you my plans
10;00:01:02,829;00:01:08,161;for this great house
11;00:01:08,162;00:01:11,036;now that winter has come.
12;00:01:11,037;00:01:14,204;But first, a toast!
13;00:01:15,746;00:01:19,453;No more of that
13;00:01:15,746;00:01:19,453;Dornish horse piss!
14;00:01:19,454;00:01:22,411;This is the finest Arbor gold!
15;00:01:22,412;00:01:25,411;Proper wine for proper heroes!
16;00:01:30,579;00:01:32,787;Stand together!
17;00:01:32,788;00:01:35,037;Stand together!
18;00:01:43,788;00:01:45,203;Not you.
19;00:01:45,204;00:01:48,120;I'm not wasting good wine
19;00:01:45,204;00:01:48,120;on a damn woman.
20;00:01:51,788;00:01:56,161;Maybe I'm not
20;00:01:51,788;00:01:56,161;the most pleasant man.
21;00:01:56,162;00:01:59,578;I'll admit it.
21;00:01:56,162;00:01:59,578;But I'm proud of you lot.
22;00:01:59,579;00:02:02,703;You're my family,
22;00:01:59,579;00:02:02,703;the men who helped me
23;00:02:02,704;00:02:05,745;slaughter the Starks
23;00:02:02,704;00:02:05,745;at the Red Wedding.
24;00:02:05,746;00:02:09,869;Yes, yes.
25;00:02:09,870;00:02:12,537;Cheer.
26;00:02:12,538;00:02:15,869;Brave men, all of you.
27;00:02:15,870;00:02:19,453;Butchered a woman
27;00:02:15,870;00:02:19,453;pregnant with her babe.
28;00:02:20,254;00:02:24,986;Cut the throat
28;00:02:20,254;00:02:24,986;of a mother of five.
29;00:02:25,287;00:02:28,411;Slaughtered your guests
29;00:02:25,287;00:02:28,411;after inviting them
30;00:02:28,412;00:02:30,162;into your home.
31;00:02:31,829;00:02:37,453;But you didn't slaughter
31;00:02:31,829;00:02:37,453;every one of the Starks.
32;00:02:37,454;00:02:42,203;No, no, that was your mistake.
33;00:02:42,204;00:02:46,078;You should have ripped them
33;00:02:42,204;00:02:46,078;all out, root and stem.
34;00:02:52,621;00:02:54,953;Leave one wolf alive
35;00:02:54,954;00:02:57,621;and the sheep are never safe.
36;00:03:23,246;00:03:25,538;When people ask you
36;00:03:23,246;00:03:25,538;what happened here...
37;00:03:26,829;00:03:28,829;tell them the North remembers.
38;00:03:30,162;00:03:34,162;Tell them winter came
38;00:03:30,162;00:03:34,162;for House Frey.
39;00:07:56,579;00:07:58,370;You wildlings?
40;00:07:58,371;00:08:01,287;I'm Meera Reed,
40;00:07:58,371;00:08:01,287;daughter of Howland Reed.
41;00:08:03,329;00:08:04,787;This is Brandon Stark,
42;00:08:04,788;00:08:06,995;son of Ned Stark.
43;00:08:11,204;00:08:12,829;How do I know that's true?
44;00:08:15,995;00:08:19,328;You were at
44;00:08:15,995;00:08:19,328;the Fist of the First Men.
45;00:08:19,329;00:08:20,788;You were at Hardhome.
46;00:08:22,954;00:08:24,663;You've seen
46;00:08:22,954;00:08:24,663;the Army of the Dead.
47;00:08:26,538;00:08:27,912;You've seen the Night King.
48;00:08:28,995;00:08:30,995;He's coming for us.
49;00:08:32,120;00:08:33,329;For all of us.
50;00:08:41,329;00:08:43,078;Okay, come on.
51;00:08:43,079;00:08:45,162;Let's get them inside.
52;00:09:13,995;00:09:17,453;I want every northern
52;00:09:13,995;00:09:17,453;maester to scour their records
