1;00:00:17,436;00:00:20,149;The war is over.
﻿1;00:00:17,436;00:00:20,149;Winter has come.
2;00:00:20,269;00:00:21,685;The war is not over.
3;00:00:21,686;00:00:23,976;The true enemy won't
3;00:00:21,686;00:00:23,976;wait out the storm.
4;00:00:25,770;00:00:28,976;The King in the North!
4;00:00:25,770;00:00:28,976;The King in the North!
5;00:00:33,852;00:00:37,061;Our uncle Euron returned
5;00:00:33,852;00:00:37,061;home after a long absence.
6;00:00:39,473;00:00:42,532;He murdered our father,
6;00:00:39,473;00:00:42,532;and took the Salt Throne from Yara.
7;00:00:42,652;00:00:44,478;He would have murdered us
7;00:00:42,652;00:00:44,478;if we'd stayed.
8;00:00:44,598;00:00:48,686;Build me a thousand ships,
8;00:00:44,598;00:00:48,686;and I will give you this world.
9;00:00:50,811;00:00:52,018;There's a storm coming.
10;00:00:52,019;00:00:53,561;You'll be wanting
10;00:00:52,019;00:00:53,561;a roof tonight.
11;00:00:54,019;00:00:56,851;I don't have much, but I have
11;00:00:54,019;00:00:56,851;hidden a bit of silver
12;00:00:56,852;00:00:58,977;from the bandits.
13;00:00:59,186;00:01:00,519;What did you do?!
14;00:01:00,520;00:01:02,443;They'll both be dead
14;00:01:00,520;00:01:02,443;come winter.
15;00:01:03,102;00:01:05,018;Cold winds
15;00:01:03,102;00:01:05,018;are rising in the North.
16;00:01:05,019;00:01:06,685;We need good men to help us.
17;00:01:06,686;00:01:09,893;You can still help a lot more
17;00:01:06,686;00:01:09,893;than you've harmed, Clegane.
18;00:01:09,894;00:01:11,520;It's not too late for you.
19;00:01:12,561;00:01:14,227;Send me to Oldtown.
20;00:01:14,228;00:01:15,936;I'm to be the new maester.
21;00:01:17,186;00:01:19,602;The Citadel has the world's
21;00:01:17,186;00:01:19,602;greatest library.
22;00:01:19,603;00:01:22,060;I'll learn about things
22;00:01:19,603;00:01:22,060;that all help when...
23;00:01:23,561;00:01:24,851;when they come.
24;00:01:28,311;00:01:30,061;Let go of me!
25;00:01:38,269;00:01:40,311;Are you sure
25;00:01:38,269;00:01:40,311;you're ready for this?
