1;00:03:04,090;00:03:15,068;
2;00:03:56,000;00:03:57,072;The bastard of Winterfell.
3;00:03:58,068;00:04:00,089;The dwarf of Casterly Rock.
4;00:04:06,014;00:04:08,027;I believe we last saw
4;00:04:06,014;00:04:08,027;each other atop the Wall.
5;00:04:08,027;00:04:12,018;You were pissing off the edge
5;00:04:08,027;00:04:12,018;if I remember right.
6;00:04:12,018;00:04:14,064;Picked up some scars
6;00:04:12,018;00:04:14,064;along the road.
7;00:04:14,064;00:04:19,014;It's been a long road,
7;00:04:14,064;00:04:19,014;but we're both still here.
8;00:04:21,014;00:04:22,064;I'm Tyrion Lannister.
9;00:04:22,064;00:04:26,047;Davos Seaworth.
9;00:04:22,064;00:04:26,047;Ah, the Onion Knight.
10;00:04:26,048;00:04:29,056;We fought on opposite sides at
10;00:04:26,048;00:04:29,056;the Battle of Blackwater Bay.
11;00:04:29,056;00:04:32,014;Unluckily for me.
12;00:04:32,014;00:04:35,018;Missandei is the queen's
12;00:04:32,014;00:04:35,018;most trusted advisor.
13;00:04:36,085;00:04:38,056;Welcome to Dragonstone.
14;00:04:38,056;00:04:40,039;Our queen knows
14;00:04:38,056;00:04:40,039;it is a long journey.
15;00:04:40,039;00:04:43,077;She appreciates the efforts
15;00:04:40,039;00:04:43,077;you have made on her behalf.
16;00:04:43,077;00:04:46,052;If you wouldn't mind
16;00:04:43,077;00:04:46,052;handing over your weapons.
17;00:04:52,014;00:04:53,052;Of course.
18;00:05:18,014;00:05:19,068;Please, this way.
19;00:05:24,039;00:05:26,002;Where are you from?
20;00:05:26,002;00:05:28,031;I can't place the accent.
21;00:05:28,031;00:05:30,014;I was born on
21;00:05:28,031;00:05:30,014;the Island of Naath.
22;00:05:30,014;00:05:33,023;Ah. I hear it's
22;00:05:30,014;00:05:33,023;beautiful down there.
23;00:05:33,023;00:05:35,031;Palm trees and butterflies.
24;00:05:35,031;00:05:36,073;Haven't been, myself.
25;00:05:40,089;00:05:42,068;This place has changed.
26;00:05:49,006;00:05:52,018;And Sansa? I hear
26;00:05:49,006;00:05:52,018;she's alive and well.
27;00:05:52,018;00:05:54,068;She is.
27;00:05:52,018;00:05:54,068;Does she miss me terribly?
28;00:05:57,085;00:06:00,027;A sham marriage.
28;00:05:57,085;00:06:00,027;And unconsummated.
29;00:06:00,027;00:06:03,043;I didn't ask.
