1;00:00:11,330;00:00:12,539;I lost this dagger.
2;00:00:12,873;00:00:13,873;To whom?
3;00:00:14,497;00:00:15,664;Tyrion Lannister.
4;00:00:17,456;00:00:19,456;Take a step toward a more
4;00:00:17,456;00:00:19,456;productive relationship
5;00:00:19,456;00:00:20,456;with a possible ally.
6;00:00:20,664;00:00:22,664;I will allow you to mine
6;00:00:20,664;00:00:22,664;the dragonglass
7;00:00:22,664;00:00:23,914;and forge weapons from it.
8;00:00:23,914;00:00:24,914;Thank you.
9;00:00:25,873;00:00:28,789;She has three
9;00:00:25,873;00:00:28,789;full-grown dragons, Your Grace.
10;00:00:29,372;00:00:31,122;How do you propose to stop them?
11;00:00:31,539;00:00:34,039;We are currently at work
11;00:00:31,539;00:00:34,039;on a solution.
12;00:00:39,664;00:00:41,664;I thought
12;00:00:39,664;00:00:41,664;you'd be heading for Winterfell.
13;00:00:41,873;00:00:43,414;Jon Snow came down
13;00:00:41,873;00:00:43,414;from Castle Black
14;00:00:43,414;00:00:45,614;with a wildling army and won
14;00:00:43,414;00:00:45,614;the Battle of the Bastards.
15;00:00:45,789;00:00:46,873;He's King in the North now.
16;00:00:49,289;00:00:50,489;Your sister's dead.
17;00:00:51,039;00:00:52,080;Euron has her.
18;00:00:52,080;00:00:54,706;I couldn't save her.
18;00:00:52,080;00:00:54,706;I tried.
19;00:00:55,289;00:00:57,205;You wouldn't be here
19;00:00:55,289;00:00:57,205;if you'd tried.
20;00:00:58,706;00:00:59,873;What about Casterly Rock?
21;00:01:08,456;00:01:11,039;We both know
21;00:01:08,456;00:01:11,039;how expensive war can be.
22;00:01:11,205;00:01:12,539;Your vaults are empty.
23;00:01:12,831;00:01:14,372;My debt will be paid in full.
24;00:01:15,205;00:01:16,372;How will it happen?
25;00:01:16,372;00:01:17,456;Will there be pain?
26;00:01:17,456;00:01:18,873;No. I made sure of that.
27;00:01:19,164;00:01:20,831;I'd hate to die like your son.
28;00:01:21,289;00:01:23,414;Not at all what I intended.
29;00:01:23,873;00:01:24,956;Tell Cersei.
30;00:01:25,330;00:01:26,789;I want her to know it was me.
31;00:01:35,080;00:01:37,914;<font color=#FFFF00>♪ theme music playing ♪</font>
32;00:01:37,938;00:01:41,938;<b><font color=#00FF00>♪ Game of Thrones 7x04 ♪</font></b>
32;00:01:37,938;00:01:41,938;<font color=#00FFFF>The Spoils of War</font>
32;00:01:37,938;00:01:41,938;Original Air Date on August 6, 2017
33;00:01:41,962;00:01:48,862;== sync, corrected by <font color=#00FF00>elderman</font> ==
33;00:01:41,962;00:01:48,862;<font color=#00FFFF>@elder_man</font>
34;00:01:48,886;00:03:14,587;<b><font color=#FFFF00>♪  ♪</font></b>
35;00:03:14,597;00:03:19,597;<b><font color=#FFFF00>♪ theme music playing ends  ♪</font></b>
36;00:03:37,497;00:03:39,497;Hold that wagon!
37;00:03:53,664;00:03:55,914;You've just won
37;00:03:53,664;00:03:55,914;the biggest prize in the world.
38;00:03:55,914;00:03:58,164;What could you possibly
38;00:03:55,914;00:03:58,164;have to be upset about?
39;00:04:00,247;00:04:02,372;Come on,
39;00:04:00,247;00:04:02,372;you can tell me.
40;00:04:02,372;00:04:04,914;Queen of Thorns
40;00:04:02,372;00:04:04,914;give you one last prick in the balls
41;00:04:04,914;00:04:06,247;before saying goodbye?
42;00:04:06,247;00:04:08,831;I'll save my confessions
42;00:04:06,247;00:04:08,831;for the High Septon.
43;00:04:08,831;00:04:11,039;There is no more
43;00:04:08,831;00:04:11,039;High Septon.
44;00:04:11,039;00:04:13,289;No, there isn't,
44;00:04:11,039;00:04:13,289;is there?
45;00:04:13,289;00:04:16,581;There is still
45;00:04:13,289;00:04:16,581;the question of my prize.
46;00:04:18,414;00:04:21,247;That's a lot of money
46;00:04:18,414;00:04:21,247;I just gave you.
47;00:04:21,247;00:04:22,581;It's not a castle.
48;00:04:24,247;00:04:26,414;How about that one?
48;00:04:24,247;00:04:26,414;It's available.
49;00:04:26,414;00:04:27,789;You don't want
49;00:04:26,414;00:04:27,789;Highgarden.
50;00:04:27,789;00:04:30,581;I beg to differ.
50;00:04:27,789;00:04:30,581;We're at war.
51;00:04:30,581;00:04:33,789;Daenerys Targaryen could come and
51;00:04:30,581;00:04:33,789;take it back the day after you move in.
52;00:04:35,164;00:04:37,039;Besides,
52;00:04:35,164;00:04:37,039;think of the upkeep.
53;00:04:37,039;00:04:40,080;The more you owe,
53;00:04:37,039;00:04:40,080;the more it weighs you down.
54;00:04:40,080;00:04:42,664;Oh, is that why
54;00:04:40,080;00:04:42,664;you're so fucking glum, eh?
55;00:04:42,664;00:04:44,581;All your new riches
55;00:04:42,664;00:04:44,581;weighing you down?
56;00:04:45,956;00:04:48,122;Move out!
56;00:04:45,956;00:04:48,122;They're not mine.
57;00:04:48,122;00:04:50,873;This all belongs
57;00:04:48,122;00:04:50,873;to the Iron Bank.
58;00:04:50,873;00:04:54,122;See?
58;00:04:50,873;00:04:54,122;We pay our debts.
59;00:04:54,122;00:04:55,956;Right,
59;00:04:54,122;00:04:55,956;just not to me.
60;00:04:57,831;00:05:00,622;Ser Bronn of the Blackwater,
60;00:04:57,831;00:05:00,622;formerly of...
61;00:05:00,622;00:05:03,080;whatever nameless
61;00:05:00,622;00:05:03,080;shit heap you're from
62;00:05:03,080;00:05:04,998;with a saddlebag
62;00:05:03,080;00:05:04,998;full of gold,
63;00:05:04,998;00:05:07,456;complaining about
63;00:05:04,998;00:05:07,456;not getting paid.
64;00:05:07,456;00:05:09,247;When we win this war,
65;00:05:09,247;00:05:11,122;all the castles
65;00:05:09,247;00:05:11,122;in the Seven Kingdoms
66;00:05:11,122;00:05:12,581;will be yours
66;00:05:11,122;00:05:12,581;to choose from,
67;00:05:12,581;00:05:13,998;with no one left
67;00:05:12,581;00:05:13,998;to take them away from you.
68;00:05:13,998;00:05:15,873;Yes, I'm sure
68;00:05:13,998;00:05:15,873;Queen Cersei's reign
69;00:05:15,873;00:05:17,330;will be quiet
69;00:05:15,873;00:05:17,330;and peaceable.
70;00:05:17,330;00:05:18,914;Ah, stranger things
70;00:05:17,330;00:05:18,914;have happened.
71;00:05:18,914;00:05:19,956;Like what?
72;00:05:21,998;00:05:24,956;The granaries are being emptied
72;00:05:21,998;00:05:24,956;and loaded into wagons, my lord.
73;00:05:24,956;00:05:27,789;The current harvest?
73;00:05:24,956;00:05:27,789;We have teams of men collecting it
74;00:05:27,789;00:05:29,456;from all the farms
74;00:05:27,789;00:05:29,456;in the Reach.
75;00:05:29,456;00:05:31,789;Ser Bronn, will you
75;00:05:29,456;00:05:31,789;accompany the Tarlys
76;00:05:31,789;00:05:33,956;and help them
76;00:05:31,789;00:05:33,956;accelerate this process?
77;00:05:33,956;00:05:35,956;I'm not much
77;00:05:33,956;00:05:35,956;for shoveling wheat.
78;00:05:35,956;00:05:41,122;No, but motivating reluctant farmers to
78;00:05:35,956;00:05:41,122;hand over their harvest--
79;00:05:41,122;00:05:43,164;I bet you're going to have
79;00:05:41,122;00:05:43,164;a real talent for that.
80;00:05:45,289;00:05:46,998;My lord.
81;00:05:46,998;00:05:48,122;My lord.
82;00:05:50,330;00:05:51,330;My lord.
83;00:06:01,956;00:06:04,247;I must say,
83;00:06:01,956;00:06:04,247;I don't think the Iron Bank
84;00:06:04,247;00:06:08,998;has ever had a debt of this magnitude
84;00:06:04,247;00:06:08,998;repaid in a single installment.
85;00:06:08,998;00:06:13,205;I always considered your father
85;00:06:08,998;00:06:13,205;a very effective and efficient man,
86;00:06:13,205;00:06:16,831;but you appear to be
86;00:06:13,205;00:06:16,831;redefining those terms entirely.
87;00:06:16,831;00:06:19,039;You're too kind,
87;00:06:16,831;00:06:19,039;my lord.
88;00:06:19,039;00:06:22,205;I am neither kind
88;00:06:19,039;00:06:22,205;nor a lord, Your Grace.
89;00:06:22,205;00:06:25,372;I am merely an instrument
89;00:06:22,205;00:06:25,372;of the institution I represent.
90;00:06:25,372;00:06:29,122;Its well-being is a matter
90;00:06:25,372;00:06:29,122;of arithmetic, not sentiment.
91;00:06:29,122;00:06:32,205;And the current arithmetic
91;00:06:29,122;00:06:32,205;is outstanding.
92;00:06:33,414;00:06:35,497;Uh, the gold...
92;00:06:33,414;00:06:35,497;Is on its way.
93;00:06:35,497;00:06:39,497;My brother is supervising
93;00:06:35,497;00:06:39,497;its transportation himself.
94;00:06:39,497;00:06:42,414;Some at the Iron Bank
94;00:06:39,497;00:06:42,414;will be disappointed.
