1;00:00:06,075;00:00:08,034;Clegane, look into the flames.
2;00:00:08,284;00:00:09,575;What do you see?
3;00:00:09,576;00:00:11,367;A wall of ice.
4;00:00:12,451;00:00:13,783;The Wall.
5;00:00:15,409;00:00:17,074;The only thing standing
5;00:00:15,409;00:00:17,074;between us
6;00:00:17,075;00:00:18,741;and the army of the dead
6;00:00:17,075;00:00:18,741;is the Wall,
7;00:00:18,742;00:00:21,534;and the Wall hasn't been
7;00:00:18,742;00:00:21,534;properly manned in centuries.
8;00:00:21,867;00:00:23,325;Last time we saw The Night King,
9;00:00:23,326;00:00:24,367;it was at Hardhome.
10;00:00:24,783;00:00:27,616;Closest castle to Hardhome
10;00:00:24,783;00:00:27,616;is Eastwatch by the sea.
11;00:00:27,617;00:00:29,377;And that's where I'll go.
12;00:00:29,658;00:00:32,200;Looks like we're
12;00:00:29,658;00:00:32,200;the Nightswatch now.
13;00:00:35,742;00:00:38,576;This suits you, Lady Stark.
14;00:00:39,534;00:00:41,992;Jon left you in charge?
14;00:00:39,534;00:00:41,992;He did.
15;00:00:52,159;00:00:55,034;Lord Tarly.
15;00:00:52,159;00:00:55,034;I believe you know my son.
16;00:00:55,242;00:00:56,700;Do you fight with us...
17;00:00:57,492;00:00:59,658;or with the fallen savages
17;00:00:57,492;00:00:59,658;and eunuchs?
18;00:01:01,284;00:01:03,033;What do you think I should do?
19;00:01:03,034;00:01:05,783;If you use them to melt castles
19;00:01:03,034;00:01:05,783;and burn cities,
20;00:01:06,117;00:01:07,200;you're not different.
21;00:01:07,617;00:01:09,284;You're just more of the same.
22;00:01:11,117;00:01:12,451;Listen.
23;00:03:06,384;00:03:16,712;<font color=#ec14bd>Sync & corrections by honeybunny
23;00:03:06,384;00:03:16,712;resync by GoldenBeard
23;00:03:06,384;00:03:16,712;www.addic7ed.com</font>
24;00:03:49,617;00:03:50,825;You could've killed me.
25;00:03:59,284;00:04:01,283;The fuck were you doing
25;00:03:59,284;00:04:01,283;back there?
26;00:04:01,284;00:04:03,575;Ending the war.
27;00:04:03,576;00:04:05,782;Killing her.
28;00:04:05,783;00:04:08,200;You saw the dragon
28;00:04:05,783;00:04:08,200;between you and her?
29;00:04:11,326;00:04:14,200;And?
30;00:04:20,950;00:04:22,782;Listen to me, cunt.
31;00:04:22,783;00:04:24,325;Till I get what I'm owed,
32;00:04:24,326;00:04:26,158;a dragon doesn't
32;00:04:24,326;00:04:26,158;get to kill you,
33;00:04:26,159;00:04:28,033;you don't get to kill you,
34;00:04:28,034;00:04:29,492;only I get to kill you.
35;00:04:32,617;00:04:35,491;That was only one of them.
36;00:04:35,492;00:04:38,325;She has two more.
37;00:04:38,326;00:04:41,408;If she decides to use them,
37;00:04:38,326;00:04:41,408;to really use them...
38;00:04:41,409;00:04:44,033;You're fucked.
38;00:04:41,409;00:04:44,033;Don't you mean we're fucked?
39;00:04:44,034;00:04:46,033;No, I do not.
40;00:04:46,034;00:04:49,199;Dragons are where
40;00:04:46,034;00:04:49,199;our partnership ends.
41;00:04:49,200;00:04:50,824;I'm not gonna be around
41;00:04:49,200;00:04:50,824;when those things
42;00:04:50,825;00:04:52,576;start spitting fire
