1;00:00:04,275;00:00:06,234;Clegane, look into the flames.
2;00:00:06,484;00:00:07,775;What do you see?
3;00:00:07,776;00:00:09,567;A wall of ice.
4;00:00:10,651;00:00:11,983;The Wall.
5;00:00:13,609;00:00:15,274;The only thing standing
5;00:00:13,609;00:00:15,274;between us
6;00:00:15,275;00:00:16,941;and the army of the dead
6;00:00:15,275;00:00:16,941;is the Wall,
7;00:00:16,942;00:00:19,734;and the Wall hasn't been
7;00:00:16,942;00:00:19,734;properly manned in centuries.
8;00:00:20,067;00:00:21,525;Last time we saw The Night King,
9;00:00:21,526;00:00:22,567;it was at Hardhome.
10;00:00:22,983;00:00:25,816;Closest castle to Hardhome
10;00:00:22,983;00:00:25,816;is Eastwatch by the sea.
11;00:00:25,817;00:00:27,577;And that's where I'll go.
12;00:00:27,858;00:00:30,400;Looks like we're
12;00:00:27,858;00:00:30,400;the Nightswatch now.
13;00:00:33,942;00:00:36,776;This suits you, Lady Stark.
14;00:00:37,734;00:00:40,192;Jon left you in charge?
14;00:00:37,734;00:00:40,192;He did.
15;00:00:50,359;00:00:53,234;Lord Tarly.
15;00:00:50,359;00:00:53,234;I believe you know my son.
16;00:00:53,442;00:00:54,900;Do you fight with us...
17;00:00:55,692;00:00:57,858;or with the foreign savages
17;00:00:55,692;00:00:57,858;and eunuchs?
18;00:00:59,484;00:01:01,233;What do you think I should do?
19;00:01:01,234;00:01:03,983;If you use them to melt castles
19;00:01:01,234;00:01:03,983;and burn cities,
20;00:01:04,317;00:01:05,400;you're not different.
21;00:01:05,817;00:01:07,484;You're just more of the same.
22;00:01:09,317;00:01:10,651;Listen.
23;00:03:04,584;00:03:14,912;<font color=#ec14bd>Sync & corrections by honeybunny
23;00:03:04,584;00:03:14,912;www.addic7ed.com</font>
24;00:03:47,817;00:03:49,025;You could've killed me.
25;00:03:57,484;00:03:59,483;The fuck were you doing
25;00:03:57,484;00:03:59,483;back there?
26;00:03:59,484;00:04:01,775;Ending the war.
27;00:04:01,776;00:04:03,982;Killing her.
28;00:04:03,983;00:04:06,400;You saw the dragon
28;00:04:03,983;00:04:06,400;between you and her?
29;00:04:09,526;00:04:12,400;And?
30;00:04:19,150;00:04:20,982;Listen to me, cunt.
31;00:04:20,983;00:04:22,525;Till I get what I'm owed,
32;00:04:22,526;00:04:24,358;a dragon doesn't
32;00:04:22,526;00:04:24,358;get to kill you,
33;00:04:24,359;00:04:26,233;you don't get to kill you,
34;00:04:26,234;00:04:27,692;only I get to kill you.
35;00:04:30,817;00:04:33,691;That was only one of them.
36;00:04:33,692;00:04:36,525;She has two more.
37;00:04:36,526;00:04:39,608;If she decides to use them,
37;00:04:36,526;00:04:39,608;to really use them...
38;00:04:39,609;00:04:42,233;You're fucked.
38;00:04:39,609;00:04:42,233;Don't you mean we're fucked?
39;00:04:42,234;00:04:44,233;No, I do not.
40;00:04:44,234;00:04:47,399;Dragons are where
40;00:04:44,234;00:04:47,399;our partnership ends.
41;00:04:47,400;00:04:49,024;I'm not gonna be around
41;00:04:47,400;00:04:49,024;when those things
42;00:04:49,025;00:04:50,776;start spitting fire
42;00:04:49,025;00:04:50,776;on King's Landing.
43;00:04:52,817;00:04:54,275;I have to tell Cersei.
44;00:04:57,108;00:04:59,067;May as well jump
44;00:04:57,108;00:04:59,067;back in that river.
45;00:06:13,442;00:06:16,399;I know what Cersei has told you.
46;00:06:16,400;00:06:21,149;That I've come
46;00:06:16,400;00:06:21,149;to destroy your cities,
47;00:06:21,150;00:06:22,399;burn down your homes,
48;00:06:22,400;00:06:24,150;murder you,
48;00:06:22,400;00:06:24,150;and orphan your children.
49;00:06:26,983;00:06:30,775;That's Cersei Lannister, not me.
50;00:06:30,776;00:06:32,982;I'm not here to murder,
51;00:06:32,983;00:06:34,733;and all I want to destroy
52;00:06:34,734;00:06:37,816;is the wheel that has
52;00:06:34,734;00:06:37,816;rolled over rich and poor
53;00:06:37,817;00:06:42,025;to the benefit of no one but the
53;00:06:37,817;00:06:42,025;Cersei Lannisters of the world.
54;00:06:43,234;00:06:45,483;I offer you a choice--
55;00:06:45,484;00:06:47,816;bend the knee and join me.
56;00:06:47,817;00:06:51,982;Together, we will leave the world
56;00:06:47,817;00:06:51,982;a better place than we found it.
57;00:06:51,983;00:06:54,982;Or refuse...
58;00:06:54,983;00:06:56,484;and die.
59;00:07:25,484;00:07:27,025;Step forward, my lord.
60;00:07:36,192;00:07:38,149;You will not kneel?
61;00:07:38,150;00:07:39,526;I already have a queen.
62;00:07:40,734;00:07:42,233;My sister.
63;00:07:42,234;00:07:43,441;She wasn't your queen
64;00:07:43,442;00:07:45,483;until recently, though, was she?
65;00:07:45,484;00:07:47,816;When she murdered
65;00:07:45,484;00:07:47,816;your rightful queen
66;00:07:47,817;00:07:50,441;and destroyed House Tyrell
66;00:07:47,817;00:07:50,441;for all time.
67;00:07:50,442;00:07:53,734;So it appears your allegiances
67;00:07:50,442;00:07:53,734;are somewhat flexible.
68;00:07:54,858;00:07:57,775;There are
68;00:07:54,858;00:07:57,775;no easy choices in war.
69;00:07:57,776;00:08:00,149;Say what you will
69;00:07:57,776;00:08:00,149;about your sister,
70;00:08:00,150;00:08:02,650;she was born in Westeros.
71;00:08:02,651;00:08:04,900;She's lived here all her life.
72;00:08:06,900;00:08:09,733;You, on the other hand,
73;00:08:09,734;00:08:12,483;murdered your own father
74;00:08:12,484;00:08:15,608;and chose to support
74;00:08:12,484;00:08:15,608;a foreign invader.
75;00:08:15,609;00:08:18,442;One with no ties to this land...
76;00:08:20,067;00:08:22,442;with an army of savages
76;00:08:20,067;00:08:22,442;at her back.
77;00:08:24,275;00:08:26,108;You will not trade
77;00:08:24,275;00:08:26,108;your honor for your life.
78;00:08:28,108;00:08:29,566;I respect that.
79;00:08:29,567;00:08:32,608;Perhaps he could take
79;00:08:29,567;00:08:32,608;the Black, Your Grace.
80;00:08:32,609;00:08:35,024;Whatever else he is,
80;00:08:32,609;00:08:35,024;he is a true soldier.
81;00:08:35,025;00:08:37,274;He'd be invaluable at the Wall.
82;00:08:37,275;00:08:39,609;You cannot send me to the Wall.
83;00:08:40,983;00:08:42,609;You are not my queen.
84;00:08:56,067;00:08:57,399;You will have to kill me, too.
85;00:08:57,400;00:08:59,275;Step back and shut your mouth.
86;00:09:00,817;00:09:02,233;Who are you?
87;00:09:02,234;00:09:03,484;A stupid boy.
