1;00:00:07,213;00:00:08,046;<font color=#D900D9>(GROANS)</font>
2;00:00:08,047;00:00:11,004;Little Theon! Come and get her.
3;00:00:13,796;00:00:15,754;<font color=#D900D9>(CACKLES MANICALLY)</font>
4;00:00:19,088;00:00:22,628;It's an invitation...
4;00:00:19,088;00:00:22,628;to King's Landing.
5;00:00:22,629;00:00:24,128;You will represent my interests
6;00:00:24,129;00:00:25,753;at this gathering
6;00:00:24,129;00:00:25,753;as you see them.
7;00:00:25,754;00:00:28,213;It's not safe leaving you
7;00:00:25,754;00:00:28,213;with Littlefinger.
8;00:00:28,420;00:00:29,921;<b><font color=#FF8000>LITTLEFINGER:</font></b>
8;00:00:28,420;00:00:29,921;She's your sister.
9;00:00:30,296;00:00:31,712;Arya would never betray
9;00:00:30,296;00:00:31,712;her family.
10;00:00:31,921;00:00:34,441;<b><font color=#FF8000>SANSA STARK:</font></b> She would if she thought
10;00:00:31,921;00:00:34,441;I was going to betray Jon.
11;00:00:37,545;00:00:39,629;With the faces,
11;00:00:37,545;00:00:39,629;I can become someone else.
12;00:00:40,213;00:00:44,213;I wonder what it would feel like
12;00:00:40,213;00:00:44,213;to be the Lady of Winterfell.
13;00:00:44,879;00:00:50,088;All I'd need to find out...
13;00:00:44,879;00:00:50,088;is your face.
14;00:00:53,545;00:00:55,045;Daenerys will win this war.
15;00:00:55,046;00:00:56,503;If you want Cersei
15;00:00:55,046;00:00:56,503;to bend the knee,
16;00:00:56,504;00:00:57,504;you can ask her yourself.
17;00:00:57,505;00:00:59,545;She has
17;00:00:57,505;00:00:59,545;a more important request.
18;00:01:00,420;00:01:02,087;Cersei thinks the army
18;00:01:00,420;00:01:02,087;of the dead is nothing
19;00:01:02,088;00:01:04,379;but a story.
19;00:01:02,088;00:01:04,379;What if we prove her wrong?
20;00:01:04,921;00:01:06,544;Bring the dead to her.
21;00:01:06,545;00:01:08,545;<font color=#0CEC0C>(WALKER SHRIEKING)</font>
22;00:01:12,962;00:01:13,962;Go!
23;00:01:19,921;00:01:22,420;We are going to destroy
23;00:01:19,921;00:01:22,420;the Night King and his army.
24;00:01:23,004;00:01:24,754;Thank you, my queen.
25;00:01:40,462;00:01:43,420;<font color=#FFFF00>♪ theme music playing ♪</font>
26;00:01:43,444;00:01:47,444;<b><font color=#00FF00>♪ Game of Thrones 7x07 ♪</font></b>
26;00:01:43,444;00:01:47,444;<font color=#00FFFF>The Dragon and the Wolf</font>
26;00:01:43,444;00:01:47,444;Original Air Date on August 27, 2017
27;00:01:47,468;00:01:54,368;== sync, corrected by <font color=#00FF00>elderman</font> ==
27;00:01:47,468;00:01:54,368;<font color=#00FFFF>@elder_man</font>
28;00:01:54,392;00:03:17,307;<b><font color=#FFFF00>♪  ♪</font></b>
29;00:03:17,312;00:03:22,429;<b><font color=#FFFF00>♪ theme music playing ends  ♪</font></b>
30;00:04:04,837;00:04:07,587;<font color=#D900D9>( chatter )</font>
31;00:04:11,254;00:04:13,587;<font color=#D900D9>( chatter continues )</font>
32;00:04:23,754;00:04:25,961;<b><font color=#FF8000>Bronn:</font></b> Oil?
32;00:04:23,754;00:04:25,961;Pitch, my lord.
33;00:04:25,962;00:04:28,504;How many barrels?
33;00:04:25,962;00:04:28,504;500, my lord.
34;00:04:31,171;00:04:32,586;Get 500 more.
35;00:04:32,587;00:04:33,587;Yes, my lord.
36;00:04:46,046;00:04:49,003;I still enjoy it
36;00:04:46,046;00:04:49,003;when they call me my lord.
37;00:04:49,004;00:04:51,461;The thrill will fade.
38;00:04:51,462;00:04:52,962;If we live that long.
39;00:04:54,462;00:04:56,170;Men without cocks.
40;00:04:56,171;00:04:57,878;You wouldn't find me
40;00:04:56,171;00:04:57,878;fighting in an army
41;00:04:57,879;00:04:59,836;if I had no cock.
42;00:04:59,837;00:05:02,295;What's left
42;00:04:59,837;00:05:02,295;to fight for?
43;00:05:02,296;00:05:04,170;Gold?
44;00:05:04,171;00:05:06,003;I spent my life
44;00:05:04,171;00:05:06,003;around soldiers.
45;00:05:06,004;00:05:08,129;What do you think
45;00:05:06,004;00:05:08,129;they spend that gold on?
46;00:05:09,670;00:05:11,337;Family.
47;00:05:11,338;00:05:13,004;Not without a cock,
47;00:05:11,338;00:05:13,004;you don't.
48;00:05:14,379;00:05:17,171;Maybe it really is
48;00:05:14,379;00:05:17,171;all cocks in the end.
49;00:05:19,254;00:05:22,544;Yet, your brother
49;00:05:19,254;00:05:22,544;has chosen to side with the cockless.
50;00:05:22,545;00:05:27,419;Yes, he's always been
50;00:05:22,545;00:05:27,419;a champion of the downtrodden.
51;00:05:27,420;00:05:29,836;<font color=#0CEC0C>( trumpet blares )</font>
52;00:05:29,837;00:05:32,837;<font color=#0CEC0C>( distant men shrieking )</font>
52;00:05:29,837;00:05:32,837;<font color=#D900D9>( hoofbeats thundering )</font>
