1;00:00:00,053;00:00:01,810;Come and get her.
2;00:00:09,088;00:00:12,628;It's an invitation...
2;00:00:09,088;00:00:12,628;to King's Landing.
3;00:00:12,629;00:00:14,128;You will represent my interests
4;00:00:14,129;00:00:15,753;at this gathering
4;00:00:14,129;00:00:15,753;as you see them.
5;00:00:15,754;00:00:18,213;It's not safe leaving you
5;00:00:15,754;00:00:18,213;with Littlefinger.
6;00:00:18,420;00:00:19,921;She's your sister.
7;00:00:20,296;00:00:21,712;Arya would never betray
7;00:00:20,296;00:00:21,712;her family.
8;00:00:21,921;00:00:24,441;She would if she
8;00:00:21,921;00:00:24,441;thought I was going to betray Jon.
00:00:22,921 --> 00:00:26,441;-;"color=""#D81D1D"">Synced";-- <font color=#138CE9>Join me on instagram @somnath66</font> -
9;00:00:27,545;00:00:29,629;With the faces,
9;00:00:27,545;00:00:29,629;I can become someone else.
10;00:00:30,213;00:00:34,213;I wonder what it would feel like
10;00:00:30,213;00:00:34,213;to be the Lady of Winterfell.
11;00:00:34,879;00:00:40,088;All I'd need to find out...
11;00:00:34,879;00:00:40,088;is your face.
12;00:00:43,545;00:00:45,045;Daenerys will win this war.
13;00:00:45,046;00:00:46,503;If you want Cersei
13;00:00:45,046;00:00:46,503;to bend the knee,
14;00:00:46,504;00:00:47,504;you can ask her yourself.
15;00:00:47,505;00:00:49,545;She has
15;00:00:47,505;00:00:49,545;a more important request.
16;00:00:50,420;00:00:52,087;Cersei thinks the army
16;00:00:50,420;00:00:52,087;of the dead is nothing
17;00:00:52,088;00:00:54,379;but a story.
17;00:00:52,088;00:00:54,379;What if we prove her wrong?
18;00:00:54,921;00:00:56,544;Bring the dead to her.
19;00:01:02,962;00:01:03,962;Go!
20;00:01:09,921;00:01:12,420;We are going to destroy
20;00:01:09,921;00:01:12,420;the Night King and his army.
21;00:01:13,004;00:01:14,754;Thank you, my queen.
22;00:04:13,754;00:04:15,961;Oil?
22;00:04:13,754;00:04:15,961;Pitch, my lord.
23;00:04:15,962;00:04:18,504;How many barrels?
23;00:04:15,962;00:04:18,504;500, my lord.
24;00:04:21,171;00:04:22,586;Get 500 more.
25;00:04:22,587;00:04:23,587;Yes, my lord.
26;00:04:36,046;00:04:39,003;I still enjoy it
26;00:04:36,046;00:04:39,003;when they call me my lord.
27;00:04:39,004;00:04:41,461;The thrill will fade.
28;00:04:41,462;00:04:42,962;If we live that long.
29;00:04:44,462;00:04:46,170;Men without cocks.
30;00:04:46,171;00:04:47,878;You wouldn't find me
30;00:04:46,171;00:04:47,878;fighting in an army
31;00:04:47,879;00:04:49,836;if I had no cock.
32;00:04:49,837;00:04:52,295;What's left
32;00:04:49,837;00:04:52,295;to fight for?
33;00:04:52,296;00:04:54,170;Gold?
34;00:04:54,171;00:04:56,003;I spent my life
34;00:04:54,171;00:04:56,003;around soldiers.
35;00:04:56,004;00:04:58,129;What do you think
35;00:04:56,004;00:04:58,129;they spend that gold on?
36;00:04:59,670;00:05:01,337;Family.
37;00:05:01,338;00:05:03,004;Not without a cock,
37;00:05:01,338;00:05:03,004;you don't.
38;00:05:04,379;00:05:07,171;Maybe it really is
38;00:05:04,379;00:05:07,171;all cocks in the end.
39;00:05:09,254;00:05:12,544;Yet, your brother has chosen
39;00:05:09,254;00:05:12,544;to side with the cockless.
40;00:05:12,545;00:05:17,419;Yes, he's always been
40;00:05:12,545;00:05:17,419;a champion of the downtrodden.
41;00:05:55,629;00:05:58,379;I think we're about to be
41;00:05:55,629;00:05:58,379;the downtrodden.
42;00:06:00,338;00:06:02,795;Archers, stand tall!
43;00:06:02,796;00:06:05,754;Cover that wall!
44;00:06:33,213;00:06:36,795;How many people live here?
44;00:06:33,213;00:06:36,795;A million, give or take.
45;00:06:36,796;00:06:40,920;That's more people than the
45;00:06:36,796;00:06:40,920;entire North crammed into that.
46;00:06:40,921;00:06:43,087;Why would anyone
46;00:06:40,921;00:06:43,087;want to live that way?
47;00:06:43,088;00:06:45,544;There's more work
47;00:06:43,088;00:06:45,544;in the city.
48;00:06:45,545;00:06:47,754;And the brothels
48;00:06:45,545;00:06:47,754;are far superior.
49;00:07:26,088;00:07:28,128;Why isn't she with them?
50;00:07:28,129;00:07:30,295;I'm afraid I don't know,
50;00:07:28,129;00:07:30,295;Your Grace.
51;00:07:30,296;00:07:32,461;No one has seen her.
52;00:07:32,462;00:07:34,128;And the rest of them?
53;00:07:34,129;00:07:36,378;They're on their way
53;00:07:34,129;00:07:36,378;to the Dragonpit now.
54;00:07:36,379;00:07:37,670;Including our brother?
55;00:07:39,338;00:07:40,462;Yes, Your Grace.
56;00:07:44,796;00:07:46,295;If anything goes wrong,
57;00:07:46,296;00:07:48,337;kill the silver-haired
57;00:07:46,296;00:07:48,337;bitch first,
58;00:07:48,338;00:07:51,628;then our brother, then the
58;00:07:48,338;00:07:51,628;bastard who calls himself king.
59;00:07:51,629;00:07:54,670;The rest of them you can kill
59;00:07:51,629;00:07:54,670;in any order you see fit.
60;00:07:56,088;00:07:57,461;Come, Ser Gregor.
61;00:07:57,462;00:07:59,629;It's time for us
61;00:07:57,462;00:07:59,629;to meet our guests.
62;00:08:08,379;00:08:10,544;Why did they build it?
63;00:08:10,545;00:08:12,170;Dragons don't understand
63;00:08:10,545;00:08:12,170;the difference
64;00:08:12,171;00:08:14,378;between what is theirs
64;00:08:12,171;00:08:14,378;and what isn't.
65;00:08:14,379;00:08:18,045;Land, livestock,
65;00:08:14,379;00:08:18,045;children...
66;00:08:18,046;00:08:20,586;Letting them roam free
66;00:08:18,046;00:08:20,586;around a city was a problem.
67;00:08:20,587;00:08:24,378;I imagine it was
67;00:08:20,587;00:08:24,378;a sad joke at the end.
68;00:08:24,379;00:08:27,836;An entire arena for a few sickly
68;00:08:24,379;00:08:27,836;creatures smaller than dogs.
69;00:08:27,837;00:08:31,337;But in the beginning, when it
69;00:08:27,837;00:08:31,337;was home to Balerion the Dread,
70;00:08:31,338;00:08:34,712;it must have been the most
70;00:08:31,338;00:08:34,712;dangerous place in the world.
71;00:08:40,379;00:08:43,046;Maybe it still is.
72;00:08:51,504;00:08:53,046;Welcome, my lords.
73;00:08:56,129;00:08:59,087;Your friends arrived
73;00:08:56,129;00:08:59,087;before you did.
74;00:08:59,088;00:09:01,962;I've been sent to escort
74;00:08:59,088;00:09:01,962;you all to the meeting.
75;00:09:25,420;00:09:28,419;A pleasant surprise
75;00:09:25,420;00:09:28,419;in an unpleasant situation.
76;00:09:28,420;00:09:31,087;I never thought I'd see
76;00:09:28,420;00:09:31,087;you again, my lord.
77;00:09:31,088;00:09:32,628;Supporting the enemy,
77;00:09:31,088;00:09:32,628;no less.
78;00:09:32,629;00:09:35,379;Hard to blame you.
78;00:09:32,629;00:09:35,379;Cersei will anyway.
79;00:09:36,670;00:09:38,087;I'm glad you're alive.
80;00:09:38,088;00:09:39,337;Come on!
81;00:09:39,338;00:09:40,796;You can suck
81;00:09:39,338;00:09:40,796;his magic cock later.
82;00:09:48,462;00:09:49,837;What's in there?
83;00:09:51,171;00:09:52,629;Fuck off.
84;00:10:02,296;00:10:03,961;I thought
84;00:10:02,296;00:10:03,961;you were dead.
85;00:10:03,962;00:10:06,128;Not yet.
86;00:10:06,129;00:10:08,462;You came pretty close.
87;00:10:09,796;00:10:12,420;I was only trying
87;00:10:09,796;00:10:12,420;to protect her.
88;00:10:13,837;00:10:15,711;You and me both.
89;00:10:15,712;00:10:17,628;She's alive.
90;00:10:17,629;00:10:18,796;Arya.
91;00:10:21,129;00:10:23,670;Where?
91;00:10:21,129;00:10:23,670;Winterfell.
92;00:10:25,670;00:10:28,669;Who's protecting her
92;00:10:25,670;00:10:28,669;if you're here?
93;00:10:28,670;00:10:30,170;The only one
93;00:10:28,670;00:10:30,170;that needs protecting
94;00:10:30,171;00:10:32,504;is the one that gets
94;00:10:30,171;00:10:32,504;in her way.
95;00:10:35,379;00:10:37,046;It won't be me.
96;00:10:40,171;00:10:42,253;Here we are...
97;00:10:42,254;00:10:44,795;the heroes of Blackwater Bay.
98;00:10:44,796;00:10:46,378;Strange place for a reunion.
99;00:10:46,379;00:10:48,253;It is, my lord.
100;00:10:48,254;00:10:51,337;I don't think I'm anyone's
100;00:10:48,254;00:10:51,337;lord anymore, Podrick.
101;00:10:51,338;00:10:53,920;Save the titles for
101;00:10:51,338;00:10:53,920;Ser Bronn of the Blackwater.
102;00:10:53,921;00:10:56,836;I'm sure your new queen will
102;00:10:53,921;00:10:56,836;be happy to restore yours
103;00:10:56,837;00:10:58,295;if she ends up
103;00:10:56,837;00:10:58,295;on the throne.
104;00:10:58,296;00:11:00,419;You've been thinking
104;00:10:58,296;00:11:00,419;about our new queen?
105;00:11:00,420;00:11:04,753;Perhaps you've been
105;00:11:00,420;00:11:04,753;reconsidering your allegiances.
