1;00:04:20,985;00:04:22,903;You should
1;00:04:20,985;00:04:22,903;consider yourself lucky.
2;00:04:24,444;00:04:26,277;At least your balls
2;00:04:24,444;00:04:26,277;won't freeze off.
3;00:04:26,361;00:04:28,486;You take great offense at dwarf jokes,
4;00:04:28,569;00:04:31,110;but love telling eunuch jokes.
4;00:04:28,569;00:04:31,110;Why is that?
5;00:04:32,361;00:04:35,277;Because I have balls,
5;00:04:32,361;00:04:35,277;and you don't.
6;00:05:02,819;00:05:04,319;I warned you.
7;00:05:04,402;00:05:07,152;Northerners don't much trust
7;00:05:04,402;00:05:07,152;outsiders.
8;00:06:28,778;00:06:30,319;Look at you.
9;00:06:31,486;00:06:32,736;You're a man.
10;00:06:33,736;00:06:34,778;Almost.
11;00:06:54,444;00:06:57,319;Where's Arya?
11;00:06:54,444;00:06:57,319;Lurking somewhere.
12;00:07:03,944;00:07:06,402;Queen Daenerys
12;00:07:03,944;00:07:06,402;of House Targaryen.
13;00:07:07,694;00:07:11,527;My sister, Sansa Stark,
13;00:07:07,694;00:07:11,527;the Lady of Winterfell.
14;00:07:11,611;00:07:14,569;Thank you for inviting us
14;00:07:11,611;00:07:14,569;into your home, Lady Stark.
15;00:07:14,653;00:07:16,027;The North is as beautiful
16;00:07:16,110;00:07:19,444;as your brother claimed,
16;00:07:16,110;00:07:19,444;as are you.
17;00:07:22,944;00:07:25,319;Winterfell is yours, Your Grace.
18;00:07:26,778;00:07:28,611;We don't have time for all this.
19;00:07:28,694;00:07:32,486;The Night King has your dragon.
19;00:07:28,694;00:07:32,486;He's one of them now.
20;00:07:33,486;00:07:34,944;The Wall has fallen,
21;00:07:35,027;00:07:37,194;the dead march south.
22;00:07:42,486;00:07:44,402;As soon as we heard about the Wall,
23;00:07:44,486;00:07:47,611;I called all our banners
23;00:07:44,486;00:07:47,611;to retreat to Winterfell.
24;00:07:48,861;00:07:49,861;Lord Umber...
25;00:07:51,194;00:07:54,152;when can we expect
25;00:07:51,194;00:07:54,152;your people to arrive?
26;00:07:58,361;00:08:02,319;We need more horses and wagons,
26;00:07:58,361;00:08:02,319;if it please my lady.
27;00:08:04,653;00:08:06,277;And my lord.
28;00:08:08,611;00:08:12,110;And my queen.
28;00:08:08,611;00:08:12,110;Sorry.
29;00:08:12,194;00:08:14,152;You'll have as many
29;00:08:12,194;00:08:14,152;as we can spare.
30;00:08:14,235;00:08:17,444;Hurry back to Last Hearth
30;00:08:14,235;00:08:17,444;and bring your people here.
31;00:08:20,361;00:08:23,152;We need to send ravens
31;00:08:20,361;00:08:23,152;to the Night's Watch as well.
32;00:08:23,235;00:08:25,694;There's no sense in
32;00:08:23,235;00:08:25,694;manning the castles anymore.
33;00:08:25,778;00:08:26,861;We make our stand here.
34;00:08:26,944;00:08:28,027;At once, Your Grace.
35;00:08:29,027;00:08:30,569;Your Grace.
36;00:08:36,194;00:08:38,069;But you're not. Are you?
37;00:08:39,027;00:08:40,527;You left Winterfell a king
38;00:08:40,611;00:08:42,027;and came back a...
39;00:08:44,527;00:08:46,486;I'm not sure what you are now.
40;00:08:46,569;00:08:49,110;A lord?
41;00:08:49,194;00:08:51,486;Nothing at all?
42;00:08:51,569;00:08:53,778;It's not important.
42;00:08:51,569;00:08:53,778;Not important?
43;00:08:54,944;00:08:57,152;We named you King in the North.
44;00:08:58,736;00:09:00,235;King of the North!
45;00:09:05,361;00:09:07,110;You did, my lady.
46;00:09:08,653;00:09:10,486;It was the honor of my life.
47;00:09:10,569;00:09:13,277;I'll always be grateful
47;00:09:10,569;00:09:13,277;for your faith.
48;00:09:15,402;00:09:16,653;But when I left Winterfell,
49;00:09:16,736;00:09:19,402;I told you
49;00:09:16,736;00:09:19,402;we need allies or we will die.
50;00:09:20,569;00:09:22,277;I have brought those allies home
51;00:09:22,361;00:09:24,444;to fight alongside us.
52;00:09:25,736;00:09:27,402;I had a choice,
53;00:09:27,486;00:09:31,527;keep my crown
53;00:09:27,486;00:09:31,527;or protect the North.
54;00:09:31,611;00:09:33,486;I chose the North.
55;00:09:45,861;00:09:48,194;If anyone survives
55;00:09:45,861;00:09:48,194;the war to come,
56;00:09:48,277;00:09:49,944;we'll have Jon Snow to thank.
57;00:09:51,402;00:09:53,861;He risked his life
57;00:09:51,402;00:09:53,861;to show us the threat is real.
58;00:09:53,944;00:09:55,736;Thanks to his courage,
59;00:09:55,819;00:09:57,861;we have brought with us
59;00:09:55,819;00:09:57,861;the greatest army
60;00:09:57,944;00:09:59,027;the world has ever seen.
61;00:09:59,110;00:10:02,319;We have brought
61;00:09:59,110;00:10:02,319;two full-grown dragons.
62;00:10:04,486;00:10:05,861;And soon, the Lannister army
63;00:10:05,944;00:10:08,027;will ride north
63;00:10:05,944;00:10:08,027;to join our cause.
64;00:10:12,653;00:10:14,152;I know, I know, our people
65;00:10:14,235;00:10:16,819;haven't been friends
65;00:10:14,235;00:10:16,819;in the past.
66;00:10:19,152;00:10:20,861;But we must
66;00:10:19,152;00:10:20,861;fight together now...
