1;00:00:05,778;00:00:08,027;We have suffered at each other's hands.
2;00:00:08,694;00:00:11,402;We have lost people
2;00:00:08,694;00:00:11,402;we love at each other's hands.
3;00:00:14,277;00:00:16,069;This isn't about noble houses,
4;00:00:16,444;00:00:18,736;this is about the living and the dead.
5;00:00:18,819;00:00:20,444;And I intend to stay
5;00:00:18,819;00:00:20,444;amongst the living.
6;00:00:22,194;00:00:23,819;I offer you a choice.
7;00:00:24,027;00:00:25,527;Bend the knee and join me,
8;00:00:25,819;00:00:27,736;or refuse, and die.
9;00:00:32,027;00:00:34,277;She is here to reclaim
9;00:00:32,027;00:00:34,277;the Seven Kingdoms.
10;00:00:34,486;00:00:36,444;The North is one of
10;00:00:34,486;00:00:36,444;those seven kingdoms.
11;00:00:38,527;00:00:41,277;The Night King's army
11;00:00:38,527;00:00:41,277;grows larger by the day.
12;00:00:45,235;00:00:47,486;We need allies. Powerful allies.
13;00:00:53,611;00:00:54,985;The monsters are real.
14;00:00:56,277;00:00:59,110;Dragons, White Walkers,
14;00:00:56,277;00:00:59,110;Dothraki screamers...
15;00:01:00,361;00:01:01,681;Let the monsters kill each other.
16;00:01:02,027;00:01:03,861;We will deal with whatever is left.
17;00:01:07,277;00:01:09,069;We are going to destroy the Night King
18;00:01:09,152;00:01:11,110;and his army, and we'll do it together.
19;00:01:12,653;00:01:15,319;He pledged to fight
19;00:01:12,653;00:01:15,319;for Daenerys Targaryen.
20;00:01:15,611;00:01:16,611;He's bent the knee.
21;00:01:17,069;00:01:18,778;He needs to know the truth.
22;00:01:21,486;00:01:23,194;Jon isn't really my father's son.
23;00:01:23,778;00:01:25,653;He's the son of Rhaegar Targaryen,
24;00:01:25,861;00:01:27,486;and my aunt, Lyanna Stark.
25;00:01:28,653;00:01:30,361;He's the heir to the Iron Throne.
26;00:01:30,944;00:01:32,319;We need to tell him.
27;00:01:37,444;00:01:39,944;The same thing
27;00:01:37,444;00:01:39,944;is coming for all of us...
28;00:01:42,985;00:01:44,027;And it is here.
29;00:03:38,583;00:03:48,916;<font color=#ec14bd>Sync & corrections by honeybunny
29;00:03:38,583;00:03:48,916;www.addic7ed.com</font>
30;00:06:25,985;00:06:27,903;You should consider yourself lucky.
31;00:06:29,444;00:06:31,277;At least your balls won't freeze off.
32;00:06:31,361;00:06:33,486;You take great offense at dwarf jokes,
33;00:06:33,569;00:06:36,110;but love telling eunuch jokes.
33;00:06:33,569;00:06:36,110;Why is that?
34;00:06:37,361;00:06:40,277;Because I have balls, and you don't.
35;00:07:07,819;00:07:09,319;I warned you.
36;00:07:09,402;00:07:12,152;Northerners don't much trust outsiders.
37;00:08:33,778;00:08:35,319;Look at you.
38;00:08:36,486;00:08:37,736;You're a man.
39;00:08:38,736;00:08:39,778;Almost.
40;00:08:59,444;00:09:02,319;Where's Arya?
40;00:08:59,444;00:09:02,319;Lurking somewhere.
41;00:09:08,944;00:09:11,402;Queen Daenerys of House Targaryen.
42;00:09:12,694;00:09:16,527;My sister, Sansa Stark,
42;00:09:12,694;00:09:16,527;the Lady of Winterfell.
43;00:09:16,611;00:09:19,569;Thank you for inviting us
43;00:09:16,611;00:09:19,569;into your home, Lady Stark.
44;00:09:19,653;00:09:21,027;The North is as beautiful
45;00:09:21,110;00:09:24,444;as your brother claimed, as are you.
46;00:09:27,944;00:09:30,319;Winterfell is yours, Your Grace.
47;00:09:31,778;00:09:33,611;We don't have time for all this.
48;00:09:33,694;00:09:37,486;The Night King has your dragon.
48;00:09:33,694;00:09:37,486;He's one of them now.
49;00:09:38,486;00:09:39,944;The Wall has fallen,
50;00:09:40,027;00:09:42,194;the dead march south.
51;00:09:47,486;00:09:49,402;As soon as we heard about the Wall,
52;00:09:49,486;00:09:52,611;I called all our banners
52;00:09:49,486;00:09:52,611;to retreat to Winterfell.
53;00:09:53,861;00:09:54,861;Lord Umber...
54;00:09:56,194;00:09:59,152;when can we expect
54;00:09:56,194;00:09:59,152;your people to arrive?
55;00:10:03,361;00:10:07,319;We need more horses and wagons,
55;00:10:03,361;00:10:07,319;if it please my lady.
56;00:10:09,653;00:10:11,277;And my lord.
57;00:10:13,611;00:10:17,110;And my queen.
57;00:10:13,611;00:10:17,110;Sorry.
58;00:10:17,194;00:10:19,152;You'll have as many as we can spare.
59;00:10:19,235;00:10:22,444;Hurry back to Last Hearth
59;00:10:19,235;00:10:22,444;and bring your people here.
60;00:10:25,361;00:10:28,152;We need to send ravens
60;00:10:25,361;00:10:28,152;to the Night's Watch as well.
61;00:10:28,235;00:10:30,694;There's no sense in
61;00:10:28,235;00:10:30,694;manning the castles anymore.
62;00:10:30,778;00:10:31,861;We make our stand here.
63;00:10:31,944;00:10:33,027;At once, Your Grace.
64;00:10:34,027;00:10:35,569;Your Grace.
65;00:10:41,194;00:10:43,069;But you're not. Are you?
66;00:10:44,027;00:10:45,527;You left Winterfell a king
67;00:10:45,611;00:10:47,027;and came back a...
68;00:10:49,527;00:10:51,486;I'm not sure what you are now.
69;00:10:51,569;00:10:54,110;A lord?
70;00:10:54,194;00:10:56,486;Nothing at all?
71;00:10:56,569;00:10:58,778;It's not important.
71;00:10:56,569;00:10:58,778;Not important?
72;00:10:59,944;00:11:02,152;We named you King in the North.
73;00:11:03,736;00:11:05,235;King of the North!
74;00:11:10,361;00:11:12,110;You did, my lady.
75;00:11:13,653;00:11:15,486;It was the honor of my life.
76;00:11:15,569;00:11:18,277;I'll always be grateful for your faith.
77;00:11:20,402;00:11:21,653;But when I left Winterfell,
78;00:11:21,736;00:11:24,402;I told you
78;00:11:21,736;00:11:24,402;we need allies or we will die.
79;00:11:25,569;00:11:27,277;I have brought those allies home
80;00:11:27,361;00:11:29,444;to fight alongside us.
81;00:11:30,736;00:11:32,402;I had a choice,
82;00:11:32,486;00:11:36,527;keep my crown or protect the North.
83;00:11:36,611;00:11:38,486;I chose the North.
84;00:11:50,861;00:11:53,194;If anyone survives the war to come,
85;00:11:53,277;00:11:54,944;we'll have Jon Snow to thank.
86;00:11:56,402;00:11:58,861;He risked his life
86;00:11:56,402;00:11:58,861;to show us the threat is real.
87;00:11:58,944;00:12:00,736;Thanks to his courage,
88;00:12:00,819;00:12:02,861;we have brought with us
88;00:12:00,819;00:12:02,861;the greatest army
89;00:12:02,944;00:12:04,027;the world has ever seen.
90;00:12:04,110;00:12:07,319;We have brought
90;00:12:04,110;00:12:07,319;two full-grown dragons.
91;00:12:09,486;00:12:10,861;And soon, the Lannister army
92;00:12:10,944;00:12:13,027;will ride north to join our cause.
93;00:12:17,653;00:12:19,152;I know, I know, our people
94;00:12:19,235;00:12:21,819;haven't been friends in the past.
95;00:12:24,152;00:12:25,861;But we must fight together now...
96;00:12:26,985;00:12:27,985;or die.
97;00:12:30,027;00:12:32,486;May I ask, how are we meant to feed
98;00:12:32,569;00:12:34,527;the greatest army
98;00:12:32,569;00:12:34,527;the world has ever seen?
99;00:12:34,611;00:12:37,235;While I ensured our stores
99;00:12:34,611;00:12:37,235;would last through winter,
100;00:12:37,319;00:12:39,069;I didn't account for Dothraki,
101;00:12:39,152;00:12:42,861;Unsullied
101;00:12:39,152;00:12:42,861;and two full-grown dragons.
102;00:12:44,486;00:12:46,486;What do dragons eat, anyway?
103;00:12:48,653;00:12:49,985;Whatever they want.
104;00:13:08,444;00:13:12,277;Hey, careful, lads.
104;00:13:08,444;00:13:12,277;We need every last bit of it.
105;00:13:12,361;00:13:13,653;Sorry 'bout that.
106;00:13:17,861;00:13:19,486;Are these the last of the wagons?
107;00:13:19,569;00:13:20,985;Aye.
108;00:13:21,069;00:13:23,694;All right, let's get it
108;00:13:21,069;00:13:23,694;all to the forges.
109;00:13:31,694;00:13:32,694;My lord.
110;00:13:34,861;00:13:35,861;My lady.
111;00:13:42,486;00:13:43,527;My lady.
112;00:13:55,527;00:13:56,944;The Lady of Winterfell.
113;00:13:58,778;00:14:00,736;Has a nice ring to it.
114;00:14:00,819;00:14:02,694;So does Hand of the Queen.
115;00:14:03,985;00:14:06,027;Depending on the queen, I suppose.
116;00:14:08,736;00:14:11,444;Last time we spoke
116;00:14:08,736;00:14:11,444;was at Joffrey's wedding.
117;00:14:12,736;00:14:15,527;Miserable affair.
117;00:14:12,736;00:14:15,527;It had its moments.
118;00:14:21,235;00:14:23,527;Apologies for leaving like that.
119;00:14:23,611;00:14:25,152;Yes, it was a bit hard to explain
120;00:14:25,235;00:14:27,985;why my wife fled
120;00:14:25,235;00:14:27,985;moments after the king's murder.
121;00:14:30,569;00:14:31,778;We both survived.
122;00:14:34,736;00:14:36,444;Many underestimated you.
123;00:14:37,694;00:14:39,277;Most of them are dead now.
124;00:14:47,235;00:14:48,944;I'm sure you weren't thrilled to hear
