1;00:00:01,578;00:00:03,827;We have suffered at each other's hands.
2;00:00:04,494;00:00:07,202;We have lost people
2;00:00:04,494;00:00:07,202;we love at each other's hands.
3;00:00:10,077;00:00:11,869;This isn't about noble houses,
4;00:00:12,244;00:00:14,536;this is about the living and the dead.
5;00:00:14,619;00:00:16,244;And I intend to stay
5;00:00:14,619;00:00:16,244;amongst the living.
6;00:00:17,994;00:00:19,619;I offer you a choice.
7;00:00:19,827;00:00:21,327;Bend the knee and join me,
8;00:00:21,619;00:00:23,536;or refuse, and die.
9;00:00:27,827;00:00:30,077;She is here to reclaim
9;00:00:27,827;00:00:30,077;the Seven Kingdoms.
10;00:00:30,286;00:00:32,244;The North is one of
10;00:00:30,286;00:00:32,244;those seven kingdoms.
11;00:00:34,327;00:00:37,077;The Night King's army
11;00:00:34,327;00:00:37,077;grows larger by the day.
12;00:00:41,035;00:00:43,286;We need allies. Powerful allies.
13;00:00:49,411;00:00:50,785;The monsters are real.
14;00:00:52,077;00:00:54,910;Dragons, White Walkers,
14;00:00:52,077;00:00:54,910;Dothraki screamers...
15;00:00:56,161;00:00:57,481;Let the monsters kill each other.
16;00:00:57,827;00:00:59,661;We will deal with whatever is left.
17;00:01:03,077;00:01:04,869;We are going to destroy the Night King
18;00:01:04,952;00:01:06,910;and his army, and we'll do it together.
19;00:01:08,453;00:01:11,119;He pledged to fight
19;00:01:08,453;00:01:11,119;for Daenerys Targaryen.
20;00:01:11,411;00:01:12,411;He's bent the knee.
21;00:01:12,869;00:01:14,578;He needs to know the truth.
22;00:01:17,286;00:01:18,994;Jon isn't really my father's son.
23;00:01:19,578;00:01:21,453;He's the son of Rhaegar Targaryen,
24;00:01:21,661;00:01:23,286;and my aunt, Lyanna Stark.
25;00:01:24,453;00:01:26,161;He's the heir to the Iron Throne.
26;00:01:26,744;00:01:28,119;We need to tell him.
27;00:01:33,244;00:01:35,744;The same thing
27;00:01:33,244;00:01:35,744;is coming for all of us...
28;00:01:38,785;00:01:39,827;And it is here.
29;00:03:33,785;00:03:43,785;<font color=#ec14bd>Sync & corrections by honeybunny
29;00:03:33,785;00:03:43,785;www.addic7ed.com</font>
30;00:06:21,785;00:06:23,703;You should consider yourself lucky.
