1;00:00:06,780;00:00:08,238;What if the Seven Kingdoms
2;00:00:08,571;00:00:11,279;were ruled by a just woman
2;00:00:08,571;00:00:11,279;and an honorable man?
3;00:00:11,947;00:00:13,738;You're Aegon Targaryen...
4;00:00:14,780;00:00:16,404;true heir to the Iron Throne.
5;00:00:17,696;00:00:18,905;You've always been.
6;00:00:20,738;00:00:23,030;She doesn't need to be my friend.
7;00:00:24,363;00:00:25,488;But I am her queen.
8;00:00:26,030;00:00:27,780;We must fight together now...
9;00:00:29,655;00:00:30,571;or die.
10;00:00:31,155;00:00:33,571;The things I do for love.
11;00:02:17,584;00:02:28,127;<font color=#ec14bd>Sync & corrections by honeybunny
11;00:02:17,584;00:02:28,127;www.addic7ed.com</font>
12;00:02:34,279;00:02:38,155;When I was a child, my brother
12;00:02:34,279;00:02:38,155;would tell me a bedtime story...
13;00:02:39,571;00:02:42,363;about the man who murdered our father.
14;00:02:43,947;00:02:47,279;Who stabbed him in the back
14;00:02:43,947;00:02:47,279;and cut his throat.
15;00:02:47,363;00:02:50,279;Who sat down on the Iron Throne
15;00:02:47,363;00:02:50,279;and watched
16;00:02:50,363;00:02:53,030;as his blood poured onto the floor.
17;00:02:54,488;00:02:56,988;He told me other stories as well.
18;00:02:57,072;00:03:00,363;About all the things
18;00:02:57,072;00:03:00,363;we would do to that man...
19;00:03:01,738;00:03:03,571;once we took back the Seven Kingdoms
20;00:03:03,655;00:03:05,113;and had him in our grasp.
21;00:03:07,113;00:03:10,488;Your sister pledged
21;00:03:07,113;00:03:10,488;to send her army north.
22;00:03:10,571;00:03:11,655;She did.
23;00:03:11,738;00:03:13,821;I don't see an army.
24;00:03:13,905;00:03:17,613;I see one man, with one hand.
25;00:03:17,696;00:03:19,446;It appears your sister lied to me.
26;00:03:22,404;00:03:24,571;She lied to me as well.
27;00:03:26,072;00:03:28,780;She never had any intention
27;00:03:26,072;00:03:28,780;of sending her army north.
28;00:03:28,863;00:03:33,780;She has Euron Greyjoy's fleet
28;00:03:28,863;00:03:33,780;and 20,000 fresh troops.
29;00:03:34,821;00:03:36,696;The Golden Company from Essos,
30;00:03:36,780;00:03:38,321;bought and paid for.
31;00:03:38,404;00:03:40,197;Even if we defeat the dead,
32;00:03:40,279;00:03:42,404;she'll have more than enough
32;00:03:40,279;00:03:42,404;to destroy the survivors.
33;00:03:42,488;00:03:43,947;We?
34;00:03:45,113;00:03:46,947;I promised to fight for the living.
35;00:03:47,030;00:03:49,404;I intend to keep that promise.
36;00:03:51,321;00:03:54,780;Your Grace, I know my brother...
36;00:03:51,321;00:03:54,780;Like you knew your sister?
37;00:03:56,613;00:03:59,905;He came here alone, knowing
37;00:03:56,613;00:03:59,905;full well how he'd be received.
38;00:03:59,988;00:04:03,446;Why would he do that
38;00:03:59,988;00:04:03,446;if he weren't telling the truth?
39;00:04:03,529;00:04:06,446;Perhaps he trusts his
39;00:04:03,529;00:04:06,446;little brother to defend him,
40;00:04:06,529;00:04:09,905;right up to the moment
40;00:04:06,529;00:04:09,905;he slits my throat.
41;00:04:09,988;00:04:12,113;You're right.
41;00:04:09,988;00:04:12,113;We can't trust him.
42;00:04:13,279;00:04:15,113;He attacked my father in the streets.
43;00:04:15,197;00:04:17,613;He tried to destroy
43;00:04:15,197;00:04:17,613;my house and my family,
44;00:04:17,696;00:04:18,905;the same as he did yours.
45;00:04:18,988;00:04:20,905;Do you want me to apologize?
46;00:04:20,988;00:04:21,988;I won't.
47;00:04:22,988;00:04:24,321;We were at war.
48;00:04:24,404;00:04:27,072;Everything I did, I did
48;00:04:24,404;00:04:27,072;for my house and my family.
49;00:04:27,155;00:04:28,155;I'd do it all again.
50;00:04:29,488;00:04:31,655;The things we do for love.
51;00:04:38,197;00:04:41,446;So why have you abandoned
51;00:04:38,197;00:04:41,446;your house and family now?
52;00:04:43,446;00:04:45,488;Because this goes beyond loyalty.
53;00:04:48,947;00:04:50,613;This is about survival.
54;00:04:57,613;00:05:00,363;You don't know me well, Your Grace.
55;00:05:02,030;00:05:04,113;But I know Ser Jaime.
56;00:05:04,197;00:05:05,821;He is a man of honor.
57;00:05:06,821;00:05:08,738;I was his captor once.
58;00:05:08,821;00:05:10,404;But when we were both taken prisoner
59;00:05:10,488;00:05:13,446;and the men holding us
59;00:05:10,488;00:05:13,446;tried to force themselves on me,
60;00:05:13,529;00:05:15,030;Ser Jaime defended me.
61;00:05:16,197;00:05:18,696;And lost his hand because of it.
62;00:05:21,446;00:05:26,030;Without him, my lady,
62;00:05:21,446;00:05:26,030;you would not be alive.
63;00:05:26,113;00:05:28,738;He armed me, armored me,
64;00:05:28,821;00:05:30,988;and sent me to find you
64;00:05:28,821;00:05:30,988;and bring you home
65;00:05:31,072;00:05:34,696;because he'd sworn an oath
65;00:05:31,072;00:05:34,696;to your mother.
66;00:05:40,696;00:05:42,238;You vouch for him?
67;00:05:45,197;00:05:46,279;I do.
68;00:05:51,197;00:05:53,238;You would fight beside him?
69;00:05:56,947;00:05:58,238;I would.
70;00:06:02,696;00:06:04,529;I trust you with my life.
71;00:06:05,947;00:06:07,780;If you trust him with yours,
72;00:06:07,863;00:06:10,072;we should let him stay.
73;00:06:15,404;00:06:18,238;What does the Warden
73;00:06:15,404;00:06:18,238;of the North say about it?
74;00:06:23,863;00:06:25,905;We need every man we can get.
75;00:06:35,613;00:06:36,529;Very well.
76;00:06:58,113;00:06:59,613;Thank you, Your Grace.
77;00:07:37,863;00:07:41,030;Either you knew Cersei was lying
77;00:07:37,863;00:07:41,030;and let me believe otherwise,
78;00:07:41,113;00:07:42,363;or you didn't know at all.
79;00:07:42,446;00:07:44,529;Which makes you
79;00:07:42,446;00:07:44,529;either a traitor or a fool.
80;00:07:44,613;00:07:46,863;I was a fool.
80;00:07:44,613;00:07:46,863;Not for the first time.
81;00:07:47,905;00:07:49,947;Cersei still sits on the throne.
82;00:07:50,030;00:07:51,738;If you can't help me take it back,
83;00:07:51,821;00:07:53,780;I'll find another Hand who can.
84;00:07:58,780;00:08:01,072;I suspect one of you
84;00:07:58,780;00:08:01,072;will be wearing this
85;00:08:01,155;00:08:03,238;before it's all over.
86;00:08:09,404;00:08:10,529;Coming through.
87;00:08:56,738;00:08:58,613;Don't you have something better to do?
88;00:08:58,696;00:09:00,988;You make my weapon yet?
89;00:09:01,072;00:09:05,072;Just as soon as I'm done
89;00:09:01,072;00:09:05,072;making a few thousand of these.
90;00:09:05,155;00:09:06,696;You should make mine first.
91;00:09:06,780;00:09:08,821;And make sure it's stronger than this.
92;00:09:10,279;00:09:11,780;It's strong enough.
93;00:09:15,821;00:09:18,821;It's going to be safer
93;00:09:15,821;00:09:18,821;down in the crypt, you know.
94;00:09:20,113;00:09:22,197;Are you going to be down in the crypt?
95;00:09:22,279;00:09:24,404;No, but...
95;00:09:22,279;00:09:24,404;But you're a fighter.
96;00:09:25,613;00:09:26,738;I've done my share.
97;00:09:28,780;00:09:30,321;You've fought them?
98;00:09:30,404;00:09:32,488;I did. Some of them.
99;00:09:33,613;00:09:34,905;How many?
100;00:09:34,988;00:09:35,947;A few.
101;00:09:37,446;00:09:38,655;That was enough.
102;00:09:41,446;00:09:43,072;What are they like?
103;00:09:44,113;00:09:45,113;Bad.
104;00:09:46,821;00:09:47,738;Really bad.
105;00:09:47,821;00:09:49,446;Really bad?
106;00:09:52,155;00:09:55,821;Even a smith's apprentice
106;00:09:52,155;00:09:55,821;can do better than really bad.
107;00:09:55,905;00:09:58,197;What do they look like?
107;00:09:55,905;00:09:58,197;What do they smell like?
108;00:09:58,279;00:10:00,404;How do they move?
108;00:09:58,279;00:10:00,404;How hard are they to kill?
109;00:10:00,488;00:10:02,072;Look, I know you want to fight.
110;00:10:02,155;00:10:05,488;And I know you're not scared
110;00:10:02,155;00:10:05,488;of rapers or murderers or...
111;00:10:05,571;00:10:07,321;This is different. This is...
112;00:10:08,321;00:10:09,696;This is death.
113;00:10:09,780;00:10:11,863;You want to know
113;00:10:09,780;00:10:11,863;what they're like? Death.
114;00:10:11,947;00:10:13,780;That's what they're like.
115;00:10:21,655;00:10:22,947;I know Death.
116;00:10:25,738;00:10:26,821;He's got many faces.
117;00:10:30,155;00:10:32,279;I look forward to seeing this one.
118;00:10:39,863;00:10:42,529;My weapon?
118;00:10:39,863;00:10:42,529;I'll get right on it.
119;00:11:16,655;00:11:18,905;I'm sorry for what I did to you.
120;00:11:22,238;00:11:24,279;You weren't sorry then.
121;00:11:25,488;00:11:28,030;You were protecting your family.
122;00:11:29,363;00:11:31,488;I'm not that person anymore.
123;00:11:31,571;00:11:32,821;You still would be,
124;00:11:32,905;00:11:35,780;if you hadn't pushed me
124;00:11:32,905;00:11:35,780;out of that window.
125;00:11:35,863;00:11:38,529;And I would still be Brandon Stark.
126;00:11:39,529;00:11:42,279;You're not?
126;00:11:39,529;00:11:42,279;No.
127;00:11:42,363;00:11:44,613;I'm something else now.
128;00:11:45,905;00:11:47,571;You're not angry at me.
129;00:11:48,696;00:11:50,155;I'm not angry at anyone.
130;00:11:50,238;00:11:52,238;Why didn't you tell them?
131;00:11:52,321;00:11:54,905;You won't be able to help us
131;00:11:52,321;00:11:54,905;in this fight
132;00:11:54,988;00:11:56,571;if I let them murder you first.
133;00:12:01,488;00:12:03,321;What about afterwards?
134;00:12:03,404;00:12:06,488;How do you know there is an afterwards?
135;00:12:17,113;00:12:18,279;Next up.
136;00:12:24,238;00:12:26,613;Put a marker in the ground!
137;00:12:27,947;00:12:30,238;Bring it up to the wall!
138;00:12:30,321;00:12:32,155;Up to the wall. All right.
139;00:12:32,238;00:12:34,446;All right.
139;00:12:32,238;00:12:34,446;All right.
140;00:12:35,863;00:12:38,655;Well, here we are.
141;00:12:38,738;00:12:40,238;Yes, here we are.
142;00:12:40,321;00:12:41,738;Together again.
143;00:12:45,321;00:12:47,279;And the masses rejoice.
