1;00:00:04,789;00:00:06,205;Who would you say is the father?
2;00:00:06,623;00:00:07,706;You.
3;00:00:08,748;00:00:11,247;I'm going to put a prince
3;00:00:08,748;00:00:11,247;in your belly.
4;00:00:13,539;00:00:16,997;Our queen has a keen sense
4;00:00:13,539;00:00:16,997;of poetic justice.
5;00:00:17,080;00:00:18,497;What would she do for the man
6;00:00:18,581;00:00:20,706;who rids her
6;00:00:18,581;00:00:20,706;of her treasonous brothers?
7;00:00:21,581;00:00:24,080;My name...
7;00:00:21,581;00:00:24,080;my real name...
8;00:00:24,748;00:00:26,413;is Aegon Targaryen.
9;00:00:26,873;00:00:27,955;It's true, Dany.
10;00:00:28,456;00:00:29,623;If it were true...
11;00:00:30,247;00:00:31,706;you'd have a claim to the Iron Throne.
12;00:00:32,414;00:00:34,414;She doesn't like your queen, does she?
13;00:00:34,831;00:00:36,456;She's defending our family.
14;00:00:36,748;00:00:38,122;I'm her family, too.
15;00:00:39,664;00:00:40,873;Don't forget that.
16;00:05:22,955;00:05:26,205;We're here to say goodbye
16;00:05:22,955;00:05:26,205;to our brothers and sisters.
17;00:05:27,205;00:05:29,539;To our fathers and mothers.
18;00:05:31,372;00:05:32,497;To our friends.
19;00:05:34,122;00:05:35,955;Our fellow men and women
20;00:05:36,039;00:05:38,664;who set aside their differences...
21;00:05:40,080;00:05:41,581;to fight together...
22;00:05:43,247;00:05:45,748;and die together
23;00:05:45,831;00:05:47,789;so that others might live.
24;00:05:50,372;00:05:52,706;Everyone in this world
25;00:05:52,789;00:05:55,581;owes them a debt
25;00:05:52,789;00:05:55,581;that can never be repaid.
26;00:05:57,039;00:05:59,955;It is our duty and our honor
27;00:06:00,039;00:06:03,247;to keep them alive in memory...
28;00:06:04,414;00:06:06,122;for those who come after us...
29;00:06:07,331;00:06:09,247;and those who come after them...
30;00:06:11,122;00:06:14,122;for as long as men draw breath.
31;00:06:16,039;00:06:19,539;They were the shields
31;00:06:16,039;00:06:19,539;that guarded the realms of men.
32;00:06:20,914;00:06:23,748;And we shall never see
32;00:06:20,914;00:06:23,748;their like again.
33;00:08:55,247;00:08:56,873;To your health.
34;00:09:23,873;00:09:25,331;Have you seen Arya?
35;00:09:26,873;00:09:28,706;You can still smell the burning bodies,
36;00:09:28,789;00:09:30,289;and that's where your head is at.
37;00:09:30,372;00:09:33,372;I just want to thank her for--
37;00:09:30,372;00:09:33,372;I'm sure you do.
38;00:09:33,456;00:09:34,706;Look, it's not about that.
39;00:09:34,789;00:09:36,539;Of course it's about that, you twat.
40;00:09:36,623;00:09:37,706;Why shouldn't it be?
41;00:09:37,789;00:09:40,997;The dead are dead. You're not.
42;00:09:54,331;00:09:55,831;Gendry.
43;00:09:58,247;00:09:59,664;That's right, isn't it?
44;00:10:06,164;00:10:07,247;Yes, Your Grace.
45;00:10:07,331;00:10:09,539;You're Robert Baratheon's son.
46;00:10:15,914;00:10:17,873;You are aware
46;00:10:15,914;00:10:17,873;he took my family's throne
47;00:10:17,955;00:10:20,289;and tried to have me murdered?
48;00:10:20,372;00:10:23,914;I didn't even know he was my
48;00:10:20,372;00:10:23,914;father until after he was dead.
49;00:10:23,997;00:10:27,205;Yes, he's dead.
50;00:10:27,289;00:10:28,873;His brothers are too.
51;00:10:30,331;00:10:32,997;So who's Lord of Storm's End now?
52;00:10:34,748;00:10:35,997;I don't know, Your Grace.
53;00:10:36,080;00:10:37,914;Does anyone?
54;00:10:48,205;00:10:50,581;I think you should be
54;00:10:48,205;00:10:50,581;Lord of Storm's End.
55;00:10:56,289;00:10:57,539;I can't be. I'm a bastard.
56;00:10:57,623;00:11:02,122;No, you are Lord
56;00:10:57,623;00:11:02,122;Gendry Baratheon of Storm's End,
57;00:11:02,205;00:11:05,372;the lawful son of Robert Baratheon.
58;00:11:05,456;00:11:08,205;Because that is what I have made you.
59;00:11:17,247;00:11:21,164;To Lord Gendry Baratheon
59;00:11:17,247;00:11:21,164;of Storm's End.
60;00:11:21,247;00:11:23,456;To Gendry!
61;00:11:23,539;00:11:25,748;Lord Gendry!
62;00:11:25,831;00:11:27,748;Gendry!
63;00:11:27,831;00:11:30,247;Gendry!
63;00:11:27,831;00:11:30,247;Gendry!
64;00:11:32,164;00:11:33,914;Lord Gendry!
65;00:11:35,247;00:11:36,164;Gendry!
66;00:11:39,414;00:11:41,205;That's easy, isn't it?
67;00:11:43,539;00:11:46,664;A fitting reward for a hero.
67;00:11:43,539;00:11:46,664;Uh, hold on.
68;00:11:46,748;00:11:50,539;And a Lord of Storm's End
68;00:11:46,748;00:11:50,539;who will be forever loyal to you.
69;00:11:50,623;00:11:52,456;Come, my lord.
69;00:11:50,623;00:11:52,456;See?
70;00:11:52,539;00:11:54,914;You're not the only one who's clever.
71;00:12:04,623;00:12:07,581;I have to go down
71;00:12:04,623;00:12:07,581;and get another barrel.
72;00:12:10,914;00:12:13,789;We fought dead things
72;00:12:10,914;00:12:13,789;and lived to talk about it.
73;00:12:13,873;00:12:17,080;If this isn't the time to drink,
73;00:12:13,873;00:12:17,080;when is?
74;00:12:27,372;00:12:28,914;The last time I saw her,
75;00:12:28,997;00:12:32,289;I told her I'd kill her
75;00:12:28,997;00:12:32,289;if I ever saw her again.
76;00:12:32,372;00:12:35,122;I'm sure you had your reasons.
76;00:12:32,372;00:12:35,122;I did.
77;00:12:35,205;00:12:37,664;I do.
77;00:12:35,205;00:12:37,664;So did you?
78;00:12:39,831;00:12:41,748;Never got the chance.
79;00:12:41,831;00:12:43,331;She did it to herself.
80;00:12:45,581;00:12:47,497;Or her god did it to her.
81;00:12:50,039;00:12:51,706;Lord of Light.
82;00:12:51,789;00:12:56,080;We play his game for him,
82;00:12:51,789;00:12:56,080;we fight his war and win,
83;00:12:56,164;00:12:57,789;and then
84;00:12:57,873;00:12:59,164;he fucks off.
85;00:12:59,247;00:13:02,623;No signs, no blessings.
85;00:12:59,247;00:13:02,623;Who knows what he wants?
86;00:13:04,122;00:13:06,205;I don't imagine
86;00:13:04,122;00:13:06,205;thinking about that subject
87;00:13:06,289;00:13:08,080;will leave you any happier than before.
88;00:13:08,164;00:13:10,331;And what if I'm not trying to be happy?
89;00:13:12,664;00:13:13,789;Then you're in luck.
90;00:13:16,289;00:13:18,706;We may have defeated them,
91;00:13:18,789;00:13:21,706;but we still have us to contend with.
92;00:13:26,664;00:13:28,748;Thank you. I feel much better.
93;00:13:42,372;00:13:43,414;More ale!
94;00:13:45,997;00:13:47,331;This is clever.
95;00:13:48,748;00:13:51,205;Even better than the saddle
95;00:13:48,748;00:13:51,205;I designed for you.
96;00:13:52,539;00:13:54,831;It's the same as the one
96;00:13:52,539;00:13:54,831;Daeron Targaryen built
97;00:13:54,914;00:13:58,581;for his crippled nephew 120 years ago.
98;00:13:58,664;00:14:00,497;I liked that one.
99;00:14:00,581;00:14:03,748;You know our history
99;00:14:00,581;00:14:03,748;better than anyone.
100;00:14:03,831;00:14:06,955;That will be useful
