1;00:00:00,518;00:00:02,093;♪ (OMINOUS MUSIC PLAYS) ♪
﻿1;00:00:00,518;00:00:02,093;<font color=#D81D1D>Uploaded by SOMNATH YADAV</font> -
﻿1;00:00:00,518;00:00:02,093;-- <font color=#138CE9>download GOT https://infoontechworld.blogspot.com/p/tv-series.html</font> -
2;00:00:02,101;00:00:03,517;Who would you say is the father?
3;00:00:03,935;00:00:05,018;You.
4;00:00:06,060;00:00:08,559;I'm going to put a prince
4;00:00:06,060;00:00:08,559;in your belly.
5;00:00:10,851;00:00:14,309;Our queen has a keen sense
5;00:00:10,851;00:00:14,309;of poetic justice.
6;00:00:14,392;00:00:15,809;What would she do for the man
7;00:00:15,893;00:00:18,018;who rids her
7;00:00:15,893;00:00:18,018;of her treasonous brothers?
8;00:00:18,893;00:00:21,392;JON SNOW: My name...
8;00:00:18,893;00:00:21,392;my real name...
9;00:00:22,060;00:00:23,517;is Aegon Targaryen.
10;00:00:24,185;00:00:25,267;It's true, Dany.
11;00:00:25,768;00:00:26,935;If it were true...
12;00:00:27,559;00:00:29,039;you'd have a claim
12;00:00:27,559;00:00:29,039;to the Iron Throne.
13;00:00:29,726;00:00:31,726;ARYA STARK: She doesn't like
13;00:00:29,726;00:00:31,726;your queen, does she?
14;00:00:32,143;00:00:33,768;She's defending our family.
15;00:00:34,060;00:00:35,434;I'm her family, too.
16;00:00:36,976;00:00:38,185;ARYA: Don't forget that.
17;00:00:40,392;00:00:42,267;♪ (MUSIC INTENSIFIES) ♪
18;00:00:42,893;00:00:45,559;(LYANNA MORMONT GASPING)
19;00:00:46,351;00:00:48,476;(YELLS)
19;00:00:46,351;00:00:48,476;(GIANT WIGHT SHRIEKS)
20;00:00:51,476;00:00:54,559;(GRUNTING)
21;00:00:59,809;00:01:02,476;(DAENERYS TARGARYEN SOBBING)
22;00:01:02,726;00:01:04,809;♪ (SOMBER MUSIC CONCLUDES) ♪
23;00:01:12,392;00:01:15,392;[♪♪♪]
"- <font color=""#D81D1D"">Uploaded by SOMNATH YADAV</font> -";--;"color=""#138CE9"">download";24
"- <font color=""#D81D1D"">Uploaded by SOMNATH YADAV</font> -";--;"color=""#138CE9"">download";00:03:01,517 --> 00:03:04,517
"- <font color=""#D81D1D"">Uploaded by SOMNATH YADAV</font> -";--;"color=""#138CE9"">download";[♪♪♪]
25;00:03:21,935;00:03:23,893;[CRYING]
26;00:03:50,893;00:03:52,893;[WHISPERS INDISTINCTLY]
27;00:03:58,559;00:04:00,185;[SANSA SNIFFLES]
28;00:04:00,267;00:04:02,226;[CRYING]
29;00:05:20,267;00:05:23,517;JON: We're here to say goodbye
29;00:05:20,267;00:05:23,517;to our brothers and sisters.
30;00:05:24,517;00:05:26,851;To our fathers and mothers.
31;00:05:28,684;00:05:29,809;To our friends.
32;00:05:31,434;00:05:33,267;Our fellow men and women
33;00:05:33,351;00:05:35,976;who set aside
33;00:05:33,351;00:05:35,976;their differences...
34;00:05:37,392;00:05:38,893;to fight together...
35;00:05:40,559;00:05:43,060;and die together
36;00:05:43,143;00:05:45,101;so that others might live.
37;00:05:47,684;00:05:50,018;Everyone in this world
38;00:05:50,101;00:05:52,893;owes them a debt
38;00:05:50,101;00:05:52,893;that can never be repaid.
39;00:05:54,351;00:05:57,267;It is our duty and our honor
40;00:05:57,351;00:06:00,559;to keep them alive in memory...
41;00:06:01,726;00:06:03,434;for those who come after us...
42;00:06:04,643;00:06:06,559;and those
42;00:06:04,643;00:06:06,559;who come after them...
43;00:06:08,434;00:06:11,434;for as long as men draw breath.
44;00:06:13,351;00:06:16,851;They were the shields
44;00:06:13,351;00:06:16,851;that guarded the realms of men.
45;00:06:18,226;00:06:21,060;And we shall never see
45;00:06:18,226;00:06:21,060;their like again.
46;00:08:46,018;00:08:48,060;[PEOPLE CHATTERING
46;00:08:46,018;00:08:48,060;INDISTINCTLY]
47;00:08:52,559;00:08:54,185;MAN: To your health.
48;00:09:21,185;00:09:22,643;Have you seen Arya?
49;00:09:24,185;00:09:26,018;You can still smell
49;00:09:24,185;00:09:26,018;the burning bodies,
50;00:09:26,101;00:09:27,601;and that's
50;00:09:26,101;00:09:27,601;where your head is at.
51;00:09:27,684;00:09:30,684;I just want to thank her for...
51;00:09:27,684;00:09:30,684;I'm sure you do.
52;00:09:30,768;00:09:32,018;Look, it's not about that.
53;00:09:32,101;00:09:33,851;Of course it's about that,
53;00:09:32,101;00:09:33,851;you twat.
54;00:09:33,935;00:09:35,018;Why shouldn't it be?
55;00:09:35,101;00:09:38,309;The dead are dead. You're not.
56;00:09:51,643;00:09:53,143;Gendry.
57;00:09:53,226;00:09:55,476;[CHATTERING STOPS]
58;00:09:55,559;00:09:56,976;That's right, isn't it?
59;00:10:03,476;00:10:04,559;Yes, Your Grace.
60;00:10:04,643;00:10:06,851;You're Robert Baratheon's son.
61;00:10:13,226;00:10:15,185;You are aware
61;00:10:13,226;00:10:15,185;he took my family's throne
62;00:10:15,267;00:10:17,601;and tried to have me murdered?
63;00:10:17,684;00:10:21,226;I didn't even know he was my
63;00:10:17,684;00:10:21,226;father until after he was dead.
64;00:10:21,309;00:10:24,517;Yes, he's dead.
65;00:10:24,601;00:10:26,185;His brothers are too.
66;00:10:27,643;00:10:30,309;So who's Lord
66;00:10:27,643;00:10:30,309;of Storm's End now?
67;00:10:32,060;00:10:33,309;I don't know, Your Grace.
68;00:10:33,392;00:10:35,226;Does anyone?
