1;00:00:12,170;00:00:13,920;We have won the Great War.
2;00:00:15,045;00:00:16,503;Now we will win the last war.
3;00:00:16,879;00:00:19,003;The objective here is to remove Cersei
4;00:00:19,086;00:00:20,961;without destroying King's Landing.
5;00:00:23,295;00:00:24,920;You heading to King's Landing?
6;00:00:25,128;00:00:26,961;There's some unfinished business.
7;00:00:27,253;00:00:28,170;Me too.
8;00:00:28,420;00:00:30,253;I don't plan on coming back.
9;00:00:31,086;00:00:32,420;Neither do I.
10;00:00:34,045;00:00:37,295;I always wanted to be there
10;00:00:34,045;00:00:37,295;when they execute your sister.
11;00:00:38,253;00:00:39,920;Seems like I won't get the chance.
12;00:00:41,170;00:00:42,712;Stay with me.
13;00:00:43,920;00:00:45,086;Please.
14;00:00:45,503;00:00:46,920;Cersei's hateful...
15;00:00:49,420;00:00:50,462;And so am I.
16;00:00:59,337;00:01:00,795;I need to tell you something.
17;00:01:03,295;00:01:06,253;But you have to swear
17;00:01:03,295;00:01:06,253;you'll never tell another soul.
18;00:01:06,337;00:01:09,420;What if there's someone else?
18;00:01:06,337;00:01:09,420;Someone better.
19;00:01:09,879;00:01:12,629;At a certain point, you choose
19;00:01:09,879;00:01:12,629;a person you believe in,
20;00:01:12,712;00:01:14,045;and you fight for that person.
21;00:01:14,128;00:01:16,337;Even if you know it's a mistake?
22;00:01:19,128;00:01:20,629;He has the better claim to the throne.
23;00:01:20,712;00:01:22,253;Every time a Targaryen is born,
24;00:01:22,337;00:01:23,337;the gods flip a coin.
25;00:01:23,754;00:01:25,337;The Mad King
25;00:01:23,754;00:01:25,337;gave his enemies the justice
26;00:01:25,420;00:01:26,462;he thought they deserved.
27;00:01:26,545;00:01:27,712;Children are not their fathers.
28;00:01:28,337;00:01:29,879;Be a dragon.
28;00:01:28,337;00:01:29,879;You have a gentle heart.
29;00:01:29,961;00:01:32,378;A Targaryen alone in the world
30;00:01:32,462;00:01:33,670;is a terrible thing.
31;00:01:34,003;00:01:35,795;You don't
31;00:01:34,003;00:01:35,795;want to awake the dragon, do you?
32;00:03:20,610;00:03:30,610;<font color=#ec14bd>Sync & corrections by honeybunny
32;00:03:20,610;00:03:30,610;www.addic7ed.com</font>
33;00:04:05,295;00:04:06,211;Come in.
34;00:04:10,211;00:04:11,337;And?
35;00:04:13,128;00:04:14,670;Nothing?
36;00:04:14,754;00:04:16,378;She won't eat.
37;00:04:21,253;00:04:23,462;We'll try again at supper.
38;00:04:25,712;00:04:27,378;I think they're watching me.
39;00:04:28,378;00:04:32,295;Who?
39;00:04:28,378;00:04:32,295;Her soldiers.
40;00:04:32,378;00:04:36,337;Of course they are.
40;00:04:32,378;00:04:36,337;That's their job.
41;00:04:46,503;00:04:48,295;What have I told you, Martha?
42;00:04:49,629;00:04:52,837;The greater the risk,
42;00:04:49,629;00:04:52,837;the greater the reward.
43;00:04:54,170;00:04:57,045;Go on. They'll be missing you
43;00:04:54,170;00:04:57,045;in the kitchen.
44;00:05:20,587;00:05:22,211;The Northern armies?
45;00:05:22,295;00:05:23,795;Just crossed the Trident.
46;00:05:23,879;00:05:26,754;They'll be at the walls
46;00:05:23,879;00:05:26,754;of King's Landing in two days.
47;00:05:27,920;00:05:29,420;How is she?
48;00:05:29,503;00:05:32,128;She hasn't seen anyone
48;00:05:29,503;00:05:32,128;since we returned.
49;00:05:32,211;00:05:35,545;Hasn't left her chambers,
49;00:05:32,211;00:05:35,545;hasn't accepted any food.
50;00:05:36,712;00:05:38,462;She shouldn't be alone.
51;00:05:38,545;00:05:41,629;You're worried for her.
51;00:05:38,545;00:05:41,629;I admire your empathy.
52;00:05:41,712;00:05:43,587;Aren't you worried for her?
53;00:05:43,670;00:05:45,795;I'm worried for all of us.
54;00:05:45,879;00:05:48,045;They say every time
54;00:05:45,879;00:05:48,045;a Targaryen is born,
55;00:05:48,128;00:05:51,337;the gods toss a coin
55;00:05:48,128;00:05:51,337;and the world holds its breath.
56;00:05:51,420;00:05:54,170;We're not much for riddles
56;00:05:51,420;00:05:54,170;where I'm from.
57;00:05:54,253;00:05:57,086;We both know what she's about to do.
58;00:06:02,961;00:06:05,086;That's her decision to make.
58;00:06:02,961;00:06:05,086;She is our queen.
59;00:06:05,170;00:06:09,295;Men decide where power resides,
59;00:06:05,170;00:06:09,295;whether or not they know it.
60;00:06:11,837;00:06:13,629;What do you want?
61;00:06:13,712;00:06:15,462;All I've ever wanted.
62;00:06:15,545;00:06:18,462;The right ruler on the Iron Throne.
63;00:06:20,003;00:06:22,837;I still don't know
63;00:06:20,003;00:06:22,837;how her coin has landed.
64;00:06:22,920;00:06:26,253;But I'm quite certain about yours.
65;00:06:34,295;00:06:36,211;I don't want it.
66;00:06:36,295;00:06:37,629;I never have.
67;00:06:40,086;00:06:43,795;I have known more kings
67;00:06:40,086;00:06:43,795;and queens than any man living.
68;00:06:43,879;00:06:45,545;I've heard what they say to crowds,
69;00:06:45,629;00:06:47,462;and seen what they do in the shadows.
70;00:06:47,545;00:06:50,920;I have furthered their designs,
70;00:06:47,545;00:06:50,920;however horrible.
71;00:06:51,003;00:06:53,712;But what I tell you now is true:
72;00:06:53,795;00:06:57,003;You will rule wisely and well,
72;00:06:53,795;00:06:57,003;while she--
73;00:06:57,086;00:06:58,879;She...
74;00:06:58,961;00:07:00,045;is my queen.
75;00:07:21,879;00:07:23,337;Your Grace?
76;00:07:48,545;00:07:51,003;There's something you need to know.
77;00:07:52,295;00:07:54,545;Someone has betrayed me.
78;00:08:00,712;00:08:02,086;Yes.
79;00:08:06,045;00:08:07,837;Jon Snow.
80;00:08:13,712;00:08:14,670;Varys.
81;00:08:16,879;00:08:19,003;He knows the truth about Jon.
