1;00:00:09,483;00:00:10,983;Cersei's followers will abandon her
2;00:00:11,066;00:00:12,358;if they know the war is lost.
3;00:00:12,567;00:00:13,775;Give them that chance.
4;00:00:14,983;00:00:16,149;If the city surrenders,
5;00:00:16,233;00:00:17,899;they will ring the bells
5;00:00:16,233;00:00:17,899;and raise the gates.
6;00:02:33,110;00:02:43,993;<font color=#ec14bd>Sync & corrections by honeybunny
6;00:02:33,110;00:02:43,993;www.addic7ed.com</font>
7;00:04:53,400;00:04:54,941;I'll find you later.
8;00:04:57,650;00:04:58,692;It's not safe.
9;00:05:02,149;00:05:03,858;Let me send some men with you.
10;00:05:07,858;00:05:09,191;I'm going alone.
11;00:05:55,066;00:05:57,108;In the name of the one true queen,
12;00:05:57,191;00:05:58,483;Daenerys Targaryen,
13;00:05:59,608;00:06:01,275;I sentence you to die.
14;00:06:02,275;00:06:03,608;Grey Worm!
15;00:06:10,650;00:06:12,358;It's over.
16;00:06:12,441;00:06:13,817;These men are prisoners.
17;00:06:13,899;00:06:16,525;It is not over until the queen's
17;00:06:13,899;00:06:16,525;enemies are defeated.
18;00:06:16,608;00:06:18,775;How much more defeated
18;00:06:16,608;00:06:18,775;do you want them to be?
19;00:06:18,858;00:06:20,941;They're on their knees.
19;00:06:18,858;00:06:20,941;They are breathing.
20;00:06:22,108;00:06:24,066;Look around you, friend. We won.
21;00:06:24,149;00:06:26,483;I obey my queen's commands, not yours.
22;00:06:26,567;00:06:28,858;And what are the queen's commands?
23;00:06:30,149;00:06:33,316;Kill all who follow
23;00:06:30,149;00:06:33,316;Cersei Lannister.
24;00:06:34,233;00:06:35,608;These are free men.
25;00:06:36,567;00:06:38,650;They chose to fight for her.
26;00:06:41,316;00:06:43,817;Easy, men. Easy! Easy.
27;00:06:53,775;00:06:54,733;Jon.
28;00:06:57,441;00:06:59,650;We should speak with the queen.
29;00:12:13,608;00:12:15,149;Hyah!
30;00:15:30,817;00:15:31,899;Torgo Nudho.
31;00:18:13,817;00:18:15,650;You freed your brother.
