1;00:00:05,605;00:00:07,105;Cersei's followers will abandon her
2;00:00:07,188;00:00:08,480;if they know the war is lost.
3;00:00:08,689;00:00:09,897;Give them that chance.
4;00:00:11,105;00:00:12,271;If the city surrenders,
5;00:00:12,355;00:00:14,021;they will ring the bells
5;00:00:12,355;00:00:14,021;and raise the gates.
6;00:02:29,232;00:02:40,115;<font color=#ec14bd>Sync & corrections by honeybunny
6;00:02:29,232;00:02:40,115;www.addic7ed.com</font>
7;00:04:49,522;00:04:51,063;I'll find you later.
8;00:04:53,772;00:04:54,814;It's not safe.
9;00:04:58,271;00:04:59,980;Let me send some men with you.
10;00:05:03,980;00:05:05,313;I'm going alone.
11;00:05:51,188;00:05:53,230;In the name of the one true queen,
12;00:05:53,313;00:05:54,605;Daenerys Targaryen,
13;00:05:55,730;00:05:57,397;I sentence you to die.
14;00:05:58,397;00:05:59,730;Grey Worm!
15;00:06:06,772;00:06:08,480;It's over.
16;00:06:08,563;00:06:09,939;These men are prisoners.
17;00:06:10,021;00:06:12,647;It is not over until the queen's
17;00:06:10,021;00:06:12,647;enemies are defeated.
18;00:06:12,730;00:06:14,897;How much more defeated
18;00:06:12,730;00:06:14,897;do you want them to be?
19;00:06:14,980;00:06:17,063;They're on their knees.
19;00:06:14,980;00:06:17,063;They are breathing.
20;00:06:18,230;00:06:20,188;Look around you, friend. We won.
21;00:06:20,271;00:06:22,605;I obey my queen's commands, not yours.
22;00:06:22,689;00:06:24,980;And what are the queen's commands?
23;00:06:26,271;00:06:29,438;Kill all who follow
23;00:06:26,271;00:06:29,438;Cersei Lannister.
24;00:06:30,355;00:06:31,730;These are free men.
25;00:06:32,689;00:06:34,772;They chose to fight for her.
26;00:06:37,438;00:06:39,939;Easy, men. Easy! Easy.
27;00:06:49,897;00:06:50,855;Jon.
28;00:06:53,563;00:06:55,772;We should speak with the queen.
29;00:12:09,730;00:12:11,271;Hyah!
30;00:15:26,939;00:15:28,021;Torgo Nudho.
31;00:18:09,939;00:18:11,772;You freed your brother.
32;00:18:13,188;00:18:14,939;You committed treason.
33;00:18:16,438;00:18:18,772;I freed my brother.
34;00:18:21,522;00:18:24,021;And you slaughtered a city.
35;00:20:18,063;00:20:20,063;What are you doing here?
36;00:20:22,772;00:20:25,647;Hey, what happened?
37;00:20:25,730;00:20:27,480;I came to kill Cersei.
38;00:20:28,897;00:20:30,605;Your queen got there first.
39;00:20:35,105;00:20:37,146;She's everyone's queen now.
40;00:20:37,230;00:20:39,772;Try telling Sansa.
41;00:20:46,605;00:20:48,271;Wait for me outside the city gates.
42;00:20:48,355;00:20:50,105;I'll come find you.
42;00:20:48,355;00:20:50,105;Jon.
43;00:20:52,271;00:20:53,647;She knows who you are.
44;00:20:54,939;00:20:56,271;Who you really are.
45;00:20:56,355;00:20:58,772;You'll always be a threat to her.
46;00:21:01,313;00:21:03,855;And I know a killer when I see one.
47;00:21:36,271;00:21:38,021;Did you bring any wine?
48;00:21:39,271;00:21:40,313;No.
49;00:21:41,939;00:21:43,438;Ah...
50;00:21:43,522;00:21:44,480;Well...
51;00:21:46,438;00:21:48,647;thank you for coming to see me.
52;00:21:49,939;00:21:52,980;Our queen doesn't keep prisoners
52;00:21:49,939;00:21:52,980;for long.
53;00:21:54,480;00:21:57,563;I suppose there's
53;00:21:54,480;00:21:57,563;a crude kind of justice.
54;00:21:59,355;00:22:03,230;I betrayed my closest friend
54;00:21:59,355;00:22:03,230;and watched him burn.
55;00:22:03,313;00:22:06,438;Now Varys's ashes can tell my ashes:
56;00:22:06,522;00:22:09,021;See, I told you.
57;00:22:13,689;00:22:15,647;It just occurred to me.
58;00:22:15,730;00:22:17,355;I'm talking to the only man alive
59;00:22:17,438;00:22:19,397;who knows where I'm going.
60;00:22:20,897;00:22:23,188;So is there life after death?
61;00:22:26,522;00:22:28,021;Not that I've seen.
62;00:22:29,271;00:22:31,563;I should be thankful.
63;00:22:31,647;00:22:34,522;Oblivion is the best I could hope for.
64;00:22:35,855;00:22:37,939;I strangled my lover.
65;00:22:38,021;00:22:40,271;I shot my own father with a crossbow.
66;00:22:40,355;00:22:41,480;I betrayed my queen.
67;00:22:41,563;00:22:43,063;You didn't.
67;00:22:41,563;00:22:43,063;I did.
68;00:22:44,897;00:22:45,939;And I'd do it again,
69;00:22:46,021;00:22:48,230;now that I've seen what I've seen.
70;00:22:49,563;00:22:51,563;I chose my fate.
71;00:22:51,647;00:22:54,438;The people of King's Landing did not.
72;00:22:56,730;00:22:58,939;I can't justify what happened.
73;00:23:00,647;00:23:01,730;I won't try.
74;00:23:05,021;00:23:07,814;But the war is over now.
74;00:23:05,021;00:23:07,814;Is it?
75;00:23:10,146;00:23:13,105;When you heard her
75;00:23:10,146;00:23:13,105;talking to her soldiers,
76;00:23:13,188;00:23:16,313;did she sound like someone
76;00:23:13,188;00:23:16,313;who's done fighting?
77;00:23:24,605;00:23:27,438;She liberated the people
77;00:23:24,605;00:23:27,438;of Slaver's Bay.
78;00:23:27,522;00:23:30,647;She liberated the people
78;00:23:27,522;00:23:30,647;of King's Landing.
79;00:23:30,730;00:23:32,522;And she'll go on liberating
80;00:23:32,605;00:23:35,689;until the people of the world
80;00:23:32,605;00:23:35,689;are free...
81;00:23:35,772;00:23:37,105;and she rules them all.
82;00:23:37,188;00:23:40,522;And you've been by her side,
82;00:23:37,188;00:23:40,522;counseling her.
83;00:23:40,605;00:23:41,980;Until today.
84;00:23:43,522;00:23:44,772;Until today.
85;00:23:48,438;00:23:50,355;Varys was right.
86;00:23:50,438;00:23:52,313;I was wrong.
87;00:23:52,397;00:23:55,230;It was vanity
87;00:23:52,397;00:23:55,230;to think I could guide her.
88;00:23:55,313;00:23:57,563;Our queen's nature is fire and blood.
89;00:23:57,647;00:24:00,230;You think our house words
89;00:23:57,647;00:24:00,230;are stamped on our bodies
90;00:24:00,313;00:24:02,397;when we're born and that's who we are?
91;00:24:02,480;00:24:04,814;Then I'd be fire and blood too.
92;00:24:06,397;00:24:07,522;She's not her father,
93;00:24:07,605;00:24:09,146;no more than you're Tywin Lannister.
94;00:24:09,230;00:24:14,563;My father was an evil man.
94;00:24:09,230;00:24:14,563;My sister was an evil woman.
95;00:24:14,647;00:24:15,939;Pile up all the bodies
96;00:24:16,021;00:24:18,021;of all the people they ever killed,
97;00:24:18,105;00:24:19,563;there still won't be half as many
98;00:24:19,647;00:24:22,397;as our beautiful queen
98;00:24:19,647;00:24:22,397;slaughtered in a single day.
99;00:24:22,480;00:24:23,730;Cersei left her no choice.
100;00:24:23,814;00:24:25,188;The moment the gates fell,
101;00:24:25,271;00:24:26,313;the battle was over.
102;00:24:26,397;00:24:28,397;She saw her friend beheaded.
103;00:24:28,480;00:24:30,313;She saw her dragon shot out of the sky.
104;00:24:30,397;00:24:32,230;And she burned down a city for it.
105;00:24:32,313;00:24:34,814;Ah, it's easy to judge
105;00:24:32,313;00:24:34,814;when you're standing
106;00:24:34,897;00:24:36,063;far from the battlefield.
107;00:24:36,146;00:24:37,814;Would you have done it?
108;00:24:39,397;00:24:40,647;What?
109;00:24:42,146;00:24:44,814;You've been up there,
109;00:24:42,146;00:24:44,814;on a dragon's back.
110;00:24:44,897;00:24:46,188;You've had that power.
111;00:24:46,271;00:24:48,105;Would you have burned the city down?
112;00:24:52,021;00:24:54,105;I don't know.
113;00:24:54,188;00:24:55,605;Yes, you do.
114;00:24:57,647;00:25:00,689;You won't say because
114;00:24:57,647;00:25:00,689;you don't want to betray her...
115;00:25:02,563;00:25:03,897;but you know.
116;00:25:12,230;00:25:14,438;What's it matter what I'd do?
117;00:25:14,522;00:25:17,689;It matters more than anything.
118;00:25:21,980;00:25:24,730;When she murdered
118;00:25:21,980;00:25:24,730;the slavers of Astapor,
119;00:25:26,063;00:25:28,313;I'm sure no one
119;00:25:26,063;00:25:28,313;but the slavers complained.
120;00:25:28,397;00:25:30,271;After all, they were evil men.
121;00:25:31,980;00:25:35,814;When she crucified hundreds
121;00:25:31,980;00:25:35,814;of Meereenese nobles,
122;00:25:35,897;00:25:36,855;who could argue?
123;00:25:36,939;00:25:38,438;They were evil men.
124;00:25:39,689;00:25:43,271;The Dothraki khals she burned alive?
125;00:25:43,355;00:25:45,939;They would have done worse to her.
126;00:25:47,397;00:25:51,605;Everywhere she goes, evil men die
127;00:25:51,689;00:25:53,814;and we cheer her for it.
128;00:25:55,188;00:25:56,522;And she grows more powerful
129;00:25:56,605;00:26:00,146;and more sure
129;00:25:56,605;00:26:00,146;that she is good and right.
130;00:26:05,563;00:26:06,855;She believes her destiny
131;00:26:06,939;00:26:10,230;is to build a better world
131;00:26:06,939;00:26:10,230;for everyone.
132;00:26:10,313;00:26:11,772;If you believed that...
133;00:26:13,397;00:26:14,605;if you truly believed it,
134;00:26:14,689;00:26:15,855;wouldn't you kill
135;00:26:15,939;00:26:18,689;whoever stood between you and paradise?
136;00:26:50,146;00:26:52,313;I know you love her.
137;00:26:57,563;00:26:59,480;I love her too.
138;00:27:03,146;00:27:06,814;Not as successfully as you.
139;00:27:09,480;00:27:13,980;But I believed in her
139;00:27:09,480;00:27:13,980;with all my heart.
140;00:27:21,730;00:27:25,146;Love is more powerful than reason.
141;00:27:27,814;00:27:29,897;We all know that.
142;00:27:29,980;00:27:31,689;Look at my brother.
143;00:27:36,772;00:27:39,063;Love is the death of duty.
144;00:27:44,772;00:27:46,855;You just came up with that?
145;00:27:52,271;00:27:55,689;Maester Aemon said it a long time ago.
146;00:28:00,772;00:28:05,271;Sometimes duty is the death of love.
147;00:28:10,689;00:28:14,814;You are the shield
147;00:28:10,689;00:28:14,814;that guards the realms of men.
148;00:28:14,897;00:28:17,313;And you've always tried
148;00:28:14,897;00:28:17,313;to do the right thing.
149;00:28:17,397;00:28:19,063;No matter the cost,
150;00:28:20,063;00:28:22,397;you've tried to protect people.
151;00:28:24,563;00:28:27,730;Who is the greatest threat
151;00:28:24,563;00:28:27,730;to the people now?
152;00:28:35,271;00:28:37,897;It's a terrible thing I'm asking.
153;00:28:39,271;00:28:41,313;It's also the right thing.
154;00:28:43,605;00:28:47,063;Do you think I'm the last man
154;00:28:43,605;00:28:47,063;she'll execute?
155;00:28:49,063;00:28:50,313;Who is more dangerous
156;00:28:50,397;00:28:53,772;than the rightful heir
156;00:28:50,397;00:28:53,772;to the Iron Throne?
