38;00:04:13,679;00:04:15,546;Yah! Yah!

39;00:04:27,390;00:04:29,791;- Go, move out!

39;00:04:27,390;00:04:29,791;-  The King in the North!

40;00:04:29,826;00:04:33,094;The King in the North!

41;00:04:33,129;00:04:35,230;The King in the North!

41;00:04:33,129;00:04:35,230;The King in the North!

42;00:04:35,264;00:04:37,732;The King in the North!

42;00:04:35,264;00:04:37,732;The King in the North!

43;00:04:37,766;00:04:41,101;Here comes

43;00:04:37,766;00:04:41,101;the King in the North!

44;00:04:41,135;00:04:43,336;Here comes the King

44;00:04:41,135;00:04:43,336;in the North!

45;00:04:43,371;00:04:45,304;The King in the North!

45;00:04:43,371;00:04:45,304;The King in the North!

46;00:04:45,339;00:04:49,207;Here comes...

47;00:05:17,399;00:05:18,699;Hmm.

48;00:05:18,733;00:05:21,335;Ser Eldrick Sarsfield

48;00:05:18,733;00:05:21,335;and Lord Desmond Crakehall.

49;00:05:21,369;00:05:23,803;Ser Eldrick Sarsfield

49;00:05:21,369;00:05:23,803;and Lord Desmond Crakehall.

50;00:05:23,838;00:05:25,404;What are you doing?

51;00:05:25,439;00:05:27,306;I have a list.

52;00:05:27,340;00:05:29,374;A list of people

52;00:05:27,340;00:05:29,374;you mean to kill?

53;00:05:29,409;00:05:30,675;For laughing at me?

54;00:05:30,710;00:05:32,811;Do I look like

54;00:05:30,710;00:05:32,811;Joffrey to you?

55;00:05:32,845;00:05:34,779;No, death seems

55;00:05:32,845;00:05:34,779;a bit extreme.

56;00:05:34,813;00:05:36,880;Fear of death,

56;00:05:34,813;00:05:36,880;on the other hand...

57;00:05:36,948;00:05:38,482;You should learn

57;00:05:36,948;00:05:38,482;to ignore them.

58;00:05:38,516;00:05:40,651;My lady, people have

58;00:05:38,516;00:05:40,651;been laughing at me

59;00:05:40,685;00:05:42,486;far longer than they've

59;00:05:40,685;00:05:42,486;been laughing at you.

60;00:05:42,553;00:05:44,454;I'm the Halfman,

61;00:05:44,488;00:05:46,523;the Demon Monkey,

61;00:05:44,488;00:05:46,523;the Imp.

62;00:05:46,557;00:05:48,091;You're a Lannister.

63;00:05:48,125;00:05:51,661;I am the disgraced daughter

63;00:05:48,125;00:05:51,661;of the traitor Ned Stark.

64;00:05:51,695;00:05:54,429;The disgraced daughter

64;00:05:51,695;00:05:54,429;and the Demon Monkey.

65;00:05:54,464;00:05:56,797;We're perfect for each other.

66;00:05:59,767;00:06:01,969;So how should

66;00:05:59,767;00:06:01,969;we punish them?

67;00:06:02,036;00:06:03,604;Who? Whom?

68;00:06:03,638;00:06:06,673;Ser Eldrick Sarsfield

68;00:06:03,638;00:06:06,673;and Lord Desmond Crakehall.

69;00:06:06,707;00:06:08,341;Ah.

70;00:06:08,375;00:06:11,811;I could speak to Lord Varys

70;00:06:08,375;00:06:11,811;and learn their perversions.

71;00:06:11,845;00:06:15,314;Anyone named Desmond

71;00:06:11,845;00:06:15,314;Crakehall must be a pervert.

72;00:06:15,349;00:06:17,783;I hear that

72;00:06:15,349;00:06:17,783;you're a pervert.

73;00:06:17,817;00:06:19,084;I am the Imp.

74;00:06:19,118;00:06:20,852;I have certain standards

74;00:06:19,118;00:06:20,852;to maintain.

75;00:06:23,689;00:06:26,357;We could sheep shift

75;00:06:23,689;00:06:26,357;Lord Desmond's bed.

76;00:06:27,525;00:06:29,193;You cut a little hole

76;00:06:27,525;00:06:29,193;in his mattress

77;00:06:29,227;00:06:31,061;and you stuff

77;00:06:29,227;00:06:31,061;sheep dung inside.

78;00:06:31,095;00:06:33,963;Then you sew up the hole

78;00:06:31,095;00:06:33,963;and make his bed again.

79;00:06:33,998;00:06:36,899;His room will stink, but he won't

79;00:06:33,998;00:06:36,899;know where it's coming from.

80;00:06:36,967;00:06:38,434;Lady Sansa!

81;00:06:38,468;00:06:40,903;My sister used to do that

81;00:06:38,468;00:06:40,903;when she was angry with me.

82;00:06:40,937;00:06:43,438;And she was always

82;00:06:40,937;00:06:43,438;angry with me.

83;00:06:43,473;00:06:45,540;Why sheep shift?

84;00:06:45,575;00:06:48,976;That's the vulgar word

84;00:06:45,575;00:06:48,976;for dung.

85;00:06:49,011;00:06:50,945;My lady...

86;00:06:50,979;00:06:52,280;Well, you asked me.

87;00:06:52,314;00:06:53,681;Oh!

88;00:06:53,716;00:06:55,283;That's him!

89;00:06:56,418;00:06:58,418;My lord, my lady.

90;00:06:58,453;00:07:00,754;Your father has called

90;00:06:58,453;00:07:00,754;a meeting of the small council.

91;00:07:08,362;00:07:11,164;Killed a few

91;00:07:08,362;00:07:11,164;puppies today?

92;00:07:11,232;00:07:13,132;Show him.

93;00:07:13,200;00:07:15,134;Come on, show him.

94;00:07:19,339;00:07:22,407;Oh, apologies, my lord.

95;00:07:22,441;00:07:24,376;Old fingers.

96;00:07:32,118;00:07:35,553;Roslin caught

96;00:07:32,118;00:07:35,553;a fine fat trout.

97;00:07:35,588;00:07:39,590;Her brothers gave her

97;00:07:35,588;00:07:39,590;a pair of wolf pelts for her wedding.

98;00:07:39,624;00:07:42,426;Signed Walder Frey.

99;00:07:44,228;00:07:46,162;Is that bad poetry

100;00:07:46,197;00:07:48,297;or is it supposed

100;00:07:46,197;00:07:48,297;to mean something?

101;00:07:48,332;00:07:50,132;Robb Stark is dead.

102;00:07:50,166;00:07:53,468;And his bitch mother.

103;00:07:54,971;00:07:56,337;Write back to Lord Frey.

104;00:07:56,372;00:07:59,040;Thank him for his service

104;00:07:56,372;00:07:59,040;and command him

105;00:07:59,074;00:08:01,776;to send Robb Stark's head.

106;00:08:01,810;00:08:05,012;I'm going to serve it to Sansa

106;00:08:01,810;00:08:05,012;at my wedding feast.

107;00:08:05,046;00:08:08,581;Your Grace, Lady Sansa

107;00:08:05,046;00:08:08,581;is your aunt by marriage.

108;00:08:08,616;00:08:11,150;A joke.

108;00:08:08,616;00:08:11,150;Joffrey did not mean it.

109;00:08:11,185;00:08:12,785;Yes, I did.

110;00:08:12,819;00:08:15,654;I'm going to have it served

110;00:08:12,819;00:08:15,654;to Sansa at my wedding feast.

111;00:08:15,689;00:08:17,222;No.

112;00:08:17,256;00:08:19,791;She is no longer

112;00:08:17,256;00:08:19,791;yours to torment.

113;00:08:20,726;00:08:23,594;Everyone is mine

113;00:08:20,726;00:08:23,594;to torment.

114;00:08:25,063;00:08:27,864;You'd do well to remember that,

114;00:08:25,063;00:08:27,864;you little monster.

115;00:08:27,932;00:08:29,732;Oh, I'm a monster.

116;00:08:29,767;00:08:33,301;Perhaps you should speak

116;00:08:29,767;00:08:33,301;to me more softly, then.

117;00:08:33,336;00:08:35,637;Monsters are dangerous

118;00:08:35,671;00:08:39,673;and just now kings

118;00:08:35,671;00:08:39,673;are dying like flies.

119;00:08:46,981;00:08:49,215;I could have

119;00:08:46,981;00:08:49,215;your tongue out

120;00:08:49,249;00:08:50,749;for saying that.

121;00:08:50,817;00:08:53,685;Let him make his threats.

122;00:08:53,719;00:08:56,788;Hmm? He's a bitter

122;00:08:53,719;00:08:56,788;little man.

123;00:08:56,822;00:08:59,924;Lord Tyrion should

123;00:08:56,822;00:08:59,924;apologize immediately.

124;00:08:59,958;00:09:02,993;Unacceptable,

124;00:08:59,958;00:09:02,993;disrespectful,

125;00:09:03,027;00:09:05,161;and in very bad taste.

126;00:09:05,195;00:09:07,997;I am the king!

127;00:09:08,031;00:09:09,565;I will punish you.

128;00:09:09,599;00:09:12,100;Any man who must say,

128;00:09:09,599;00:09:12,100;I am the king

129;00:09:12,135;00:09:14,769;is no true king.

130;00:09:14,803;00:09:16,704;I'll make sure

130;00:09:14,803;00:09:16,704;you understand that

131;00:09:16,738;00:09:18,272;when I've won

131;00:09:16,738;00:09:18,272;your war for you.

132;00:09:18,307;00:09:20,975;My father won

132;00:09:18,307;00:09:20,975;the real war.

133;00:09:21,009;00:09:24,078;He killed Prince Rhaegar.

133;00:09:21,009;00:09:24,078;He took the crown

134;00:09:24,112;00:09:26,881;while you hid

134;00:09:24,112;00:09:26,881;under Casterly Rock!

135;00:09:39,627;00:09:41,494;The king is tired.

136;00:09:41,529;00:09:43,696;See him to his chambers.

137;00:09:43,730;00:09:45,965;Come along.

137;00:09:43,730;00:09:45,965;I'm not tired.

138;00:09:45,999;00:09:48,701;We have so much

138;00:09:45,999;00:09:48,701;to celebrate.

139;00:09:48,735;00:09:51,803;A wedding to plan.

139;00:09:48,735;00:09:51,803;You must rest.

140;00:09:53,406;00:09:56,675;Grand Maester, perhaps

140;00:09:53,406;00:09:56,675;some essence of nightshade

141;00:09:56,709;00:09:59,177;to help him sleep.

142;00:09:59,211;00:10:02,612;I'm not tired!

143;00:10:04,148;00:10:06,048;Come.

144;00:10:26,165;00:10:28,299;Not you.

145;00:10:35,306;00:10:37,873;You just sent the most

145;00:10:35,306;00:10:37,873;powerful man in Westeros

146;00:10:37,907;00:10:40,242;to bed without his supper.

147;00:10:40,276;00:10:43,945;You're a fool if you believe he's

147;00:10:40,276;00:10:43,945;the most powerful man in Westeros.

148;00:10:43,979;00:10:46,880;A treasonous statement.

148;00:10:43,979;00:10:46,880;Joffrey is king.

149;00:10:46,948;00:10:49,850;You really think a crown

149;00:10:46,948;00:10:49,850;gives you power?

150;00:10:51,652;00:10:53,453;No.

151;00:10:53,487;00:10:56,288;I think armies

151;00:10:53,487;00:10:56,288;give you power.

152;00:10:56,323;00:10:59,124;Mm-hmm.

152;00:10:56,323;00:10:59,124;Robb Stark had one,

153;00:10:59,158;00:11:01,092;never lost a battle,

154;00:11:01,127;00:11:03,361;and you defeated him

154;00:11:01,127;00:11:03,361;all the same.

155;00:11:03,395;00:11:06,563;Mm-hmm.

155;00:11:03,395;00:11:06,563;Oh, I know.

156;00:11:06,597;00:11:09,532;Walder Frey

156;00:11:06,597;00:11:09,532;gets all the credit.

157;00:11:09,566;00:11:11,467;Or the blame,

157;00:11:09,566;00:11:11,467;I suppose,

158;00:11:11,501;00:11:13,368;depending on

158;00:11:11,501;00:11:13,368;your allegiance.

159;00:11:14,737;00:11:16,638;Walder Frey

159;00:11:14,737;00:11:16,638;is many things,

160;00:11:16,672;00:11:18,772;but a brave man?

161;00:11:18,807;00:11:20,174;No.

162;00:11:21,409;00:11:23,543;He never would have

162;00:11:21,409;00:11:23,543;risked such an action

163;00:11:23,578;00:11:26,079;if he didn't have

163;00:11:23,578;00:11:26,079;certain assurances.

164;00:11:26,147;00:11:28,848;Which he got from me.

165;00:11:28,882;00:11:30,783;Do you disapprove?

166;00:11:30,817;00:11:32,852;I'm all for cheating.

166;00:11:30,817;00:11:32,852;This is war.

167;00:11:32,886;00:11:35,054;But to slaughter them

167;00:11:32,886;00:11:35,054;at a wedding...

168;00:11:35,088;00:11:37,789;Explain to me

