37;00:04:22,719;00:04:25,420;Your Grace, if you'd like

37;00:04:22,719;00:04:25,420;to sit, I'm sure that...

38;00:04:25,472;00:04:27,723;We've been here since midday.

39;00:04:36,516;00:04:39,852;Easterners have a difference

39;00:04:36,516;00:04:39,852;sense of time, I've often found.

40;00:04:39,854;00:04:43,856;Once I was waiting for Salladhor

40;00:04:39,854;00:04:43,856;Saan here in Braavos.

41;00:04:45,275;00:04:46,525;Together, we were going to run

42;00:04:46,576;00:04:49,077;three shiploads of the finest...

43;00:05:16,306;00:05:18,490;Welcome to the Iron Bank.

44;00:05:18,525;00:05:21,777;Please, sit.

45;00:05:44,467;00:05:46,885;What can we do

45;00:05:44,467;00:05:46,885;for you, Lord Stannis?

46;00:05:46,920;00:05:48,887;This is Stannis

46;00:05:46,920;00:05:48,887;of the House Baratheon,

47;00:05:48,922;00:05:51,156;King of the Andals

47;00:05:48,922;00:05:51,156;and the First Men,

48;00:05:51,190;00:05:54,126;Lord of the Seven Kingdoms

48;00:05:51,190;00:05:54,126;and Protector of the Realm.

49;00:05:57,981;00:06:00,315;The Iron Throne

49;00:05:57,981;00:06:00,315;is currently occupied

50;00:06:00,350;00:06:02,234;by Tommen

50;00:06:00,350;00:06:02,234;of the House Baratheon,

51;00:06:02,268;00:06:03,769;King of the Andals

51;00:06:02,268;00:06:03,769;and the First Men,

52;00:06:03,771;00:06:06,688;Lord of the Seven Kingdoms

52;00:06:03,771;00:06:06,688;and Protector of the Realm.

53;00:06:06,739;00:06:09,408;He shares no blood with me.

54;00:06:09,442;00:06:12,828;He is a bastard born of incest.

55;00:06:12,862;00:06:14,913;As was his brother before him.

56;00:06:14,948;00:06:17,699;Yes, we have heard this story.

57;00:06:17,750;00:06:20,369;It's not a story.

57;00:06:17,750;00:06:20,369;It's the truth.

58;00:06:20,420;00:06:23,755;The king's grandfather

58;00:06:20,420;00:06:23,755;tells a different story.

59;00:06:23,790;00:06:26,174;A story about a jealous uncle

60;00:06:26,209;00:06:28,410;whose attempts to usurp the

60;00:06:26,209;00:06:28,410;throne from the rightful king

61;00:06:28,444;00:06:33,382;cost the Seven Kingdoms

61;00:06:28,444;00:06:33,382;dearly in blood and gold.

62;00:06:33,433;00:06:35,133;Gold you loaned him.

63;00:06:35,135;00:06:39,371;And you feel your blood gives

63;00:06:35,135;00:06:39,371;you a claim on our gold?

64;00:06:39,405;00:06:42,024;More than any man living.

65;00:06:42,058;00:06:44,977;Across the Narrow Sea,

65;00:06:42,058;00:06:44,977;your books are filled

66;00:06:45,011;00:06:48,146;with words like

66;00:06:45,011;00:06:48,146;usurper and madman

67;00:06:48,181;00:06:50,682;and blood right.

68;00:06:50,717;00:06:53,852;Here, our books

68;00:06:50,717;00:06:53,852;are filled with numbers.

69;00:06:53,886;00:06:56,071;We prefer the stories they tell.

70;00:06:56,105;00:06:58,023;More plain.

71;00:06:58,057;00:07:01,493;Less open to interpretation.

72;00:07:03,663;00:07:06,615;How many fighting men

72;00:07:03,663;00:07:06,615;remain loyal to you?

73;00:07:06,649;00:07:08,000;4,000.

74;00:07:08,051;00:07:10,002;And how many ships do you have?

75;00:07:10,053;00:07:12,304;The ones still afloat,

75;00:07:10,053;00:07:12,304;Ser Davos,

76;00:07:12,338;00:07:14,806;not at the bottom

76;00:07:12,338;00:07:14,806;of Blackwater Bay.

77;00:07:16,426;00:07:18,176;32.

78;00:07:18,227;00:07:19,978;And how much wheat

78;00:07:18,227;00:07:19,978;and barley and beef

79;00:07:20,013;00:07:22,347;and pork do you produce

79;00:07:20,013;00:07:22,347;on Dragonstone

80;00:07:22,349;00:07:27,135;to feed your 4,000 men

80;00:07:22,349;00:07:27,135;on your 32 ships?

81;00:07:29,322;00:07:31,156;None.

82;00:07:31,190;00:07:34,026;You can see why these numbers

82;00:07:31,190;00:07:34,026;seem unlikely to add up

83;00:07:34,028;00:07:37,195;to a happy ending

83;00:07:34,028;00:07:37,195;from our perspective.

84;00:07:38,598;00:07:40,966;I'm afraid we must respectfully

85;00:07:41,000;00:07:44,052;decline your request.

86;00:07:44,087;00:07:47,205;But we thank you for paying

86;00:07:44,087;00:07:47,205;us the honor of your visit.

87;00:07:56,182;00:07:57,382;My lord.

88;00:07:57,433;00:08:00,135;I'm not a lord,

88;00:07:57,433;00:08:00,135;Ser Davos Seaworth.

89;00:08:00,186;00:08:02,304;You would not be either here.

90;00:08:02,338;00:08:04,256;In Braavos,

91;00:08:04,290;00:08:07,526;thieves are not

91;00:08:04,290;00:08:07,526;rewarded with titles.

92;00:08:07,560;00:08:09,061;Well, strictly speaking,

92;00:08:07,560;00:08:09,061;I didn't do the thieving.

93;00:08:09,112;00:08:10,696;That would be the pirates.

94;00:08:10,730;00:08:14,116;I just moved what they stole

94;00:08:10,730;00:08:14,116;from one place to another.

95;00:08:15,618;00:08:17,652;This is the payment

95;00:08:15,618;00:08:17,652;that was demanded

96;00:08:17,704;00:08:18,987;by King Stannis for my crimes.

97;00:08:19,038;00:08:21,406;I consider it

97;00:08:19,038;00:08:21,406;an honest accounting.

98;00:08:21,457;00:08:23,909;He's an honest man

98;00:08:21,457;00:08:23,909;and he's your best chance

99;00:08:23,960;00:08:26,411;to get back the money

99;00:08:23,960;00:08:26,411;you've sunk into Westeros.

100;00:08:26,413;00:08:29,214;Which is a lot, I imagine.

100;00:08:26,413;00:08:29,214;Wars are expensive.

101;00:08:29,315;00:08:30,582;The war is over.

102;00:08:30,584;00:08:33,085;As long as Stannis lives,

102;00:08:30,584;00:08:33,085;the war is not over.

103;00:08:33,087;00:08:35,087;Who's the real power

103;00:08:33,087;00:08:35,087;in King's Landing?

104;00:08:35,089;00:08:37,255;Ser Davos...

104;00:08:35,089;00:08:37,255;Humor me.

105;00:08:37,257;00:08:40,892;Tywin Lannister.

105;00:08:37,257;00:08:40,892;How old is Tywin Lannister?

106;00:08:40,927;00:08:44,329;67.

106;00:08:40,927;00:08:44,329;67. And when he dies, who's in command?

107;00:08:44,363;00:08:46,431;A half-grown boy,

108;00:08:46,482;00:08:48,767;the product of incest?

109;00:08:48,801;00:08:51,603;Cersei Lannister, a queen

109;00:08:48,801;00:08:51,603;whose people despise her?

110;00:08:51,605;00:08:54,306;Jaime Lannister, a man best

110;00:08:51,605;00:08:54,306;known for killing the king

111;00:08:54,340;00:08:56,441;he was sworn to protect?

112;00:08:56,476;00:09:00,112;When Tywin's gone,

112;00:08:56,476;00:09:00,112;who do you back?

113;00:09:00,163;00:09:02,781;That is a problem

113;00:09:00,163;00:09:02,781;for another time.

114;00:09:02,832;00:09:05,083;Begging your pardon,

114;00:09:02,832;00:09:05,083;I think it's a problem for now.

115;00:09:06,452;00:09:09,254;There's only one reliable

115;00:09:06,452;00:09:09,254;leader left in Westeros.

116;00:09:09,288;00:09:11,089;Stannis.

117;00:09:11,124;00:09:12,958;He's got the birthright.

118;00:09:13,009;00:09:15,127;He's in his prime.

119;00:09:15,178;00:09:16,878;He's a tried and tested

119;00:09:15,178;00:09:16,878;battle commander.

120;00:09:16,929;00:09:19,131;And he doesn't just talk

120;00:09:16,929;00:09:19,131;about paying people back,

121;00:09:19,182;00:09:20,515;he does it.

122;00:09:24,387;00:09:27,639;The lookout sees a

122;00:09:24,387;00:09:27,639;pirate ship sailing their way.

123;00:09:27,641;00:09:29,641;The captain shouts

123;00:09:27,641;00:09:29,641;to his first mate,

124;00:09:29,692;00:09:31,526;Bring me my red shirt.

125;00:09:31,561;00:09:34,529;The first mate brings the red

125;00:09:31,561;00:09:34,529;shirt and the captain puts it on.

126;00:09:34,564;00:09:36,481;And when the pirates

126;00:09:34,564;00:09:36,481;try to board,

127;00:09:36,483;00:09:38,867;the brave captain leads

127;00:09:36,483;00:09:38,867;his men to victory.

128;00:09:38,901;00:09:42,287;A few days later,

128;00:09:38,901;00:09:42,287;the lookout screams,

129;00:09:42,321;00:09:44,122;Two pirate ships!

130;00:09:44,157;00:09:47,959;The crew is shivering

130;00:09:44,157;00:09:47,959;like scared mice.

131;00:09:47,994;00:09:49,961;But the courageous

131;00:09:47,994;00:09:49,961;captain hollers,

132;00:09:49,996;00:09:51,797;Bring me my red shirt!

133;00:09:51,831;00:09:54,049;After the battle,

133;00:09:51,831;00:09:54,049;the first mate asks,

134;00:09:54,083;00:09:57,919;Captain, why do you call for

134;00:09:54,083;00:09:57,919;your red shirt before battle?

135;00:09:57,970;00:09:59,504;The captain replies,

136;00:09:59,555;00:10:03,341;So that if I am stabbed,

136;00:09:59,555;00:10:03,341;you will not see me bleed.

137;00:10:03,392;00:10:05,594;The next morning

137;00:10:03,392;00:10:05,594;the lookout screams,

138;00:10:05,645;00:10:08,096;10 pirate ships!

139;00:10:08,147;00:10:10,932;We are surrounded!

140;00:10:11,017;00:10:12,734;The crew goes silent.

141;00:10:12,768;00:10:15,270;They all look

141;00:10:12,768;00:10:15,270;to their brave captain,

142;00:10:15,321;00:10:17,405;waiting for his usual command.

143;00:10:17,440;00:10:19,441;Calm as ever,

143;00:10:17,440;00:10:19,441;the captain bellows...

144;00:10:19,492;00:10:21,860;Bring me my brown pants!

145;00:10:24,697;00:10:28,166;You think they ever met a pirate

145;00:10:24,697;00:10:28,166;who didn't tell them that joke?

146;00:10:28,201;00:10:31,620;Davos.

147;00:10:31,704;00:10:34,039;I heard you were rotting in

147;00:10:31,704;00:10:34,039;a dungeon in Dragonstone.

148;00:10:34,041;00:10:36,374;Only half rotted.

149;00:10:38,961;00:10:41,096;Join us, my friend. Join us.

150;00:10:41,130;00:10:44,049;This is Lhara.

151;00:10:44,051;00:10:45,650;And this is...

151;00:10:44,051;00:10:45,650;I am Lhara.

152;00:10:48,889;00:10:51,356;She's an artist,

152;00:10:48,889;00:10:51,356;this one, truly.

153;00:10:51,390;00:10:54,726;No time, I'm afraid.

153;00:10:51,390;00:10:54,726;We sail at sunrise.

154;00:10:54,777;00:10:56,194;We?

155;00:10:56,229;00:10:58,396;You, me... we.

156;00:11:00,566;00:11:03,735;Once I thought

156;00:11:00,566;00:11:03,735;this man loved me.

157;00:11:03,737;00:11:07,906;Now I know he despises me.

158;00:11:07,908;00:11:12,294;He wants to see me die poor

158;00:11:07,908;00:11:12,294;and alone on some cold...

159;00:11:22,255;00:11:23,922;You won't be alone.

160;00:11:23,924;00:11:25,473;And you won't be poor.

161;00:11:33,266;00:11:35,850;There's a chest of the good

161;00:11:33,266;00:11:35,850;stuff left back at your house.

162;00:11:35,902;00:11:37,769;I gave it to your wife.

163;00:11:41,073;00:11:43,441;You're not my friend, my friend.

164;00:11:45,244;00:11:47,078;I'll see you at sunrise.

165;00:11:50,082;00:11:52,334;I give you

165;00:11:50,082;00:11:52,334;until the full moon

166;00:11:52,368;00:11:55,954;to order all ironborn

166;00:11:52,368;00:11:55,954;scum out of the North

167;00:11:56,005;00:11:59,674;and back to those shit-stained

167;00:11:56,005;00:11:59,674;rocks you call home.

168;00:11:59,709;00:12:01,710;On the first night

168;00:11:59,709;00:12:01,710;of the full moon,

169;00:12:01,761;00:12:04,512;I will hunt down every

169;00:12:01,761;00:12:04,512;islander still on our lands

170;00:12:04,547;00:12:06,464;and flay them living,

171;00:12:06,466;00:12:09,134;the way I flayed

171;00:12:06,466;00:12:09,134;the 20 ironborn scum

172;00:12:09,185;00:12:10,769;I found at Winterfell.

173;00:12:12,021;00:12:14,639;In the box you'll find

173;00:12:12,021;00:12:14,639;a special gift...

174;00:12:15,691;00:12:18,143;Theon's favorite toy.

175;00:12:18,194;00:12:20,979;He cried when I took

175;00:12:18,194;00:12:20,979;it away from him.

176;00:12:22,365;00:12:25,150;Leave the North now

176;00:12:22,365;00:12:25,150;or more boxes will follow

177;00:12:25,152;00:12:27,319;with more Theon.

178;00:12:27,370;00:12:29,371;Signed Ramsay Snow,

179;00:12:29,405;00:12:32,824;natural born son

179;00:12:29,405;00:12:32,824;of Roose Bolton,

180;00:12:32,826;00:12:34,826;Lord of the Dreadfort

181;00:12:34,828;00:12:37,796;and Warden of the North.

182;00:12:37,830;00:12:39,798;Yes!

183;00:12:39,882;00:12:41,967;They skinned our countrymen

184;00:12:42,001;00:12:44,753;and they mutilated my brother,

185;00:12:44,804;00:12:47,138;your prince.

186;00:12:47,173;00:12:49,224;Your prince.

187;00:12:49,258;00:12:52,010;Everything they've done to him,

188;00:12:52,012;00:12:54,095;they've also done to you.

189;00:12:54,146;00:12:55,563;Yes! Yes!

190;00:12:55,598;00:12:59,517;As long as they can hurt

190;00:12:55,598;00:12:59,517;our prince with impunity,

191;00:12:59,519;00:13:03,521;the word ironborn means nothing.

192;00:13:27,463;00:13:29,381;Go left.

193;00:13:37,724;00:13:40,558;Theon Greyjoy.

193;00:13:37,724;00:13:40,558;I don't know...

194;00:13:40,643;00:13:41,943;I'm here for Theon Greyjoy.

195;00:13:41,977;00:13:43,311;Take me to the dungeons.

196;00:13:43,362;00:13:45,563;He's not in the dungeons.

197;00:14:09,922;00:14:12,090;Last cage on the right.

