1;00:05:17,850;00:05:20,736;You're wearing
﻿1;00:05:17,850;00:05:20,736;a black cloak again.
2;00:05:20,787;00:05:23,622;I've been sent
2;00:05:20,787;00:05:23,622;to negotiate with you.
3;00:05:52,318;00:05:54,986;It appears my trusting
3;00:05:52,318;00:05:54,986;nature got the better of me.
4;00:05:55,021;00:05:57,239;It's happened before.
5;00:05:57,273;00:06:01,076;I was hoping your loyalty was real when
5;00:05:57,273;00:06:01,076;you pledged yourself to us, Jon Snow.
6;00:06:01,110;00:06:02,894;Truly I was.
7;00:06:02,913;00:06:04,746;The Half hand ordered me
7;00:06:02,913;00:06:04,746;to join your army
8;00:06:04,781;00:06:07,532;and bring back whatever information
8;00:06:04,781;00:06:07,532;I could to Castle Black.
9;00:06:07,583;00:06:10,068;He made me kill him
9;00:06:07,583;00:06:10,068;so you'd trust me.
10;00:06:10,087;00:06:11,670;I was loyal...
11;00:06:11,704;00:06:14,339;to him and to my
11;00:06:11,704;00:06:14,339;Night's Watch vows.
12;00:06:14,374;00:06:16,291;All your vows?
13;00:06:18,594;00:06:22,080;She wasn't enough
13;00:06:18,594;00:06:22,080;to turn you, eh?
14;00:06:22,098;00:06:24,249;Were you enough
14;00:06:22,098;00:06:24,249;to turn her?
15;00:06:24,268;00:06:27,052;She put three
15;00:06:24,268;00:06:27,052;arrows in me
16;00:06:27,086;00:06:29,137;when I escaped.
17;00:06:30,940;00:06:32,757;Did you see her
17;00:06:30,940;00:06:32,757;again at Castle Black?
18;00:06:32,775;00:06:35,977;Yes.
18;00:06:32,775;00:06:35,977;And?
19;00:06:36,028;00:06:38,196;She's dead.
20;00:06:39,365;00:06:42,567;Your doing?
20;00:06:39,365;00:06:42,567;No.
21;00:06:44,570;00:06:46,071;We'll drink to her.
22;00:07:09,479;00:07:11,646;Of all the ways
22;00:07:09,479;00:07:11,646;I'd kill you,
23;00:07:11,681;00:07:14,099;poison would be
23;00:07:11,681;00:07:14,099;the last.
24;00:07:17,236;00:07:19,488;Ygritte.
24;00:07:17,236;00:07:19,488;Ygritte.
25;00:07:28,948;00:07:30,198;That's not wine.
26;00:07:30,249;00:07:33,285;No, it's a proper
26;00:07:30,249;00:07:33,285;northern drink, Jon Snow.
27;00:07:33,319;00:07:36,505;You did well.
27;00:07:33,319;00:07:36,505;Fought hard.
28;00:07:36,539;00:07:38,623;Killed some of
28;00:07:36,539;00:07:38,623;our strongest men.
29;00:07:38,657;00:07:41,376;One of our giants
29;00:07:38,657;00:07:41,376;went into your tunnel
30;00:07:41,427;00:07:43,678;and never
30;00:07:41,427;00:07:43,678;came out again.
31;00:07:43,713;00:07:45,630;Mag the Mighty.
32;00:07:45,681;00:07:47,516;He's dead.
33;00:07:47,550;00:07:49,684;He killed
33;00:07:47,550;00:07:49,684;my friend Grenn.
34;00:07:49,719;00:07:51,102;He was their king.
35;00:07:51,137;00:07:53,772;The last of a bloodline
35;00:07:51,137;00:07:53,772;that stretches back
36;00:07:53,806;00:07:55,857;before the First Men.
37;00:07:55,892;00:07:57,809;Grenn came from a farm.
38;00:08:02,014;00:08:04,983;Mag and Grenn.
38;00:08:02,014;00:08:04,983;Grenn and Mag.
39;00:08:07,703;00:08:10,355;Kullback, could I trouble
39;00:08:07,703;00:08:10,355;you for something to eat?
40;00:08:10,373;00:08:13,291;I don't imagine our guest
40;00:08:10,373;00:08:13,291;has eaten anything
41;00:08:13,326;00:08:15,160;for quite some time.
42;00:08:16,379;00:08:20,465;So, you're here
42;00:08:16,379;00:08:20,465;to strike a bargain?
43;00:08:21,834;00:08:24,219;Turn your army around
43;00:08:21,834;00:08:24,219;and go home.
44;00:08:24,253;00:08:26,505;You know I know
44;00:08:24,253;00:08:26,505;you're low on arrows,
45;00:08:26,539;00:08:28,557;you're low on oil,
45;00:08:26,539;00:08:28,557;you're low on men.
46;00:08:28,591;00:08:30,475;How many are left, 50?
47;00:08:30,510;00:08:32,511;I told Tormund and Orell.
48;00:08:32,545;00:08:34,262;We have more
48;00:08:32,545;00:08:34,262;than 1,000 men.
49;00:08:34,313;00:08:36,064;I showed you
49;00:08:34,313;00:08:36,064;everything I had.
50;00:08:36,098;00:08:37,899;The whole army,
50;00:08:36,098;00:08:37,899;100,000 strong.
51;00:08:37,935;00:08:41,186;And what did you do? You fired
51;00:08:37,935;00:08:41,186;on us with everything you had.
52;00:08:41,220;00:08:43,888;It wasn't much.
52;00:08:41,220;00:08:43,888;As soon as I saw that,
53;00:08:43,906;00:08:47,225;I sent 400 men
53;00:08:43,906;00:08:47,225;to climb the Wall,
54;00:08:47,243;00:08:49,611;an unmanned stretch
54;00:08:47,243;00:08:49,611;five miles west of here.
55;00:08:49,662;00:08:51,530;A lot of them
55;00:08:49,662;00:08:51,530;will die climbing,
56;00:08:51,581;00:08:53,582;but most of them will be
56;00:08:51,581;00:08:53,582;over by the end of the day.
57;00:08:53,616;00:08:56,868;It's me being honest
57;00:08:53,616;00:08:56,868;with you, Jon Snow,
58;00:08:56,902;00:08:59,404;which is more than
58;00:08:56,902;00:08:59,404;you've ever done for me.
59;00:08:59,422;00:09:01,239;My people
59;00:08:59,422;00:09:01,239;have bled enough.
60;00:09:01,257;00:09:03,041;We're not here
60;00:09:01,257;00:09:03,041;to conquer.
61;00:09:03,092;00:09:06,094;We're here to hide
61;00:09:03,092;00:09:06,094;behind your Wall.
62;00:09:06,128;00:09:10,382;Just like you.
62;00:09:06,128;00:09:10,382;We need your tunnel.
63;00:09:10,416;00:09:13,602;Now we both know
63;00:09:10,416;00:09:13,602;that winter is coming.
64;00:09:13,636;00:09:17,255;And if my people aren't south of
64;00:09:13,636;00:09:17,255;the Wall when it comes in earnest,
65;00:09:17,273;00:09:19,224;we'll all end up
65;00:09:17,273;00:09:19,224;worse than dead.
66;00:09:19,258;00:09:22,110;You want to strike
66;00:09:19,258;00:09:22,110;a bargain with me?
