1;00:01:39,721;00:01:50,057;<font color=#ec14bd>Sync & corrections by honeybunny</font>
﻿1;00:01:39,721;00:01:50,057;<font color=#ec14bd>www.addic7ed.com</font>
2;00:01:53,348;00:01:55,749;We're going to Braavos!
3;00:02:01,688;00:02:05,292;In the old times, whenever
3;00:02:01,688;00:02:05,292;Braavos stood in danger,
4;00:02:05,659;00:02:08,761;the Titan would step
4;00:02:05,659;00:02:08,761;with fire in his eyes.
5;00:02:09,096;00:02:12,565;He'd wade into the sea
5;00:02:09,096;00:02:12,565;and smash the enemies.
6;00:02:13,667;00:02:15,034;He's just a statue.
7;00:02:20,340;00:02:22,007;Don't be afraid.
8;00:02:22,275;00:02:24,176;He's announcing our arrival.
9;00:02:26,079;00:02:27,847;I'm not afraid.
10;00:03:36,614;00:03:38,248;The House of Black and White.
11;00:03:38,616;00:03:41,684;This is where you'll find
11;00:03:38,616;00:03:41,684;the man you seek.
12;00:03:47,358;00:03:49,359;Here I leave you.
13;00:03:56,967;00:03:58,668;Thank you for bringing me.
14;00:03:59,003;00:04:01,137;Any man of Braavos
14;00:03:59,003;00:04:01,137;would have done the same.
15;00:04:03,440;00:04:04,407;Valar morghulis.
16;00:04:04,642;00:04:06,643;Valar dohaeris.
17;00:04:42,178;00:04:43,744;Hello.
18;00:04:47,015;00:04:48,816;Valar morghulis.
19;00:04:54,090;00:04:55,723;Um...
20;00:04:59,661;00:05:01,929;Jaqen H'ghar gave me this.
21;00:05:05,500;00:05:07,401;No one here by that name.
22;00:05:07,569;00:05:09,804;Please.
23;00:05:10,205;00:05:13,407;I crossed the Narrow Sea.
23;00:05:10,205;00:05:13,407;I have nowhere else to go.
24;00:05:13,709;00:05:15,275;You have everywhere else to go.
25;00:05:15,443;00:05:17,277;But wait--
26;00:05:37,397;00:05:39,365;Cersei.
27;00:05:39,566;00:05:42,268;Walder Frey.
28;00:05:42,469;00:05:44,604;The Mountain.
29;00:05:44,805;00:05:46,239;Meryn Trant.
30;00:05:47,941;00:05:49,908;Cersei.
31;00:05:51,445;00:05:53,812;Walder Frey.
32;00:05:54,047;00:05:55,414;The Mountain.
33;00:05:57,217;00:05:58,751;Meryn Trant.
34;00:05:59,085;00:06:01,720;Cersei. Walder Frey.
35;00:06:01,921;00:06:04,089;The Mountain.
36;00:06:04,290;00:06:05,924;Meryn Trant.
37;00:06:07,260;00:06:09,094;Cersei.
38;00:06:09,295;00:06:10,663;Walder Frey.
39;00:06:10,897;00:06:12,197;The Mountain.
40;00:06:12,398;00:06:14,700;Meryn Trant.
41;00:06:14,901;00:06:17,235;Cersei.
42;00:06:17,436;00:06:20,139;Walder Frey.
43;00:06:20,339;00:06:21,973;The Mountain.
44;00:06:23,476;00:06:25,076;Meryn Trant.
45;00:06:56,341;00:06:58,342;Must be good food
45;00:06:56,341;00:06:58,342;if it's crowded.
46;00:07:03,014;00:07:04,781;Ale?
47;00:07:12,389;00:07:13,824;Ale?
48;00:07:21,799;00:07:24,334;Before we left, a maester
48;00:07:21,799;00:07:24,334;gave you a raven scroll.
49;00:07:27,070;00:07:29,472;You are becoming
49;00:07:27,070;00:07:29,472;an observant young lady.
50;00:07:29,840;00:07:32,342;My mother used to say,
50;00:07:29,840;00:07:32,342;Dark wings, dark words.
51;00:07:32,676;00:07:36,078;An old saying.
51;00:07:32,676;00:07:36,078;Inaccurate in this case.
52;00:07:37,381;00:07:38,948;Excuse me.
53;00:07:39,216;00:07:40,717;So it was good news?
54;00:07:41,051;00:07:43,018;My marriage proposal
54;00:07:41,051;00:07:43,018;has been accepted.
55;00:07:43,419;00:07:45,859;I thought you still mourned the
55;00:07:43,419;00:07:45,859;death of my beloved Aunt Lysa.
56;00:07:45,989;00:07:47,489;Ale?
57;00:07:47,758;00:07:49,558;I'll have some.
58;00:07:53,163;00:07:54,163;My lady.
59;00:07:55,498;00:07:56,531;What is it?
60;00:07:56,767;00:07:58,533;Sansa Stark.
60;00:07:56,767;00:07:58,533;Don't look.
61;00:08:00,035;00:08:01,169;You sure?
62;00:08:01,504;00:08:02,825;She's dyed her hair,
62;00:08:01,504;00:08:02,825;but it's her.
63;00:08:02,938;00:08:04,218;She's sitting
63;00:08:02,938;00:08:04,218;with Petyr Baelish.
64;00:08:04,274;00:08:05,307;Littlefinger?
65;00:08:05,575;00:08:06,975;A bunch of knights with him.
66;00:08:07,343;00:08:09,043;A bunch? What's a bunch, Podrick?
66;00:08:07,343;00:08:09,043;Six? 20?
67;00:08:09,279;00:08:11,212;10, I think.
67;00:08:09,279;00:08:11,212;Too many.
68;00:08:11,547;00:08:13,187;My lady, I don't think
68;00:08:11,547;00:08:13,187;this is the right--
69;00:08:13,215;00:08:15,517;Ready the horses.
69;00:08:13,215;00:08:15,517;We only have one horse.
70;00:08:15,718;00:08:17,451;Find more.
71;00:08:23,392;00:08:24,926;Do you like the taste?
72;00:08:25,261;00:08:27,162;I don't see what
72;00:08:25,261;00:08:27,162;all the fuss is about.
73;00:08:27,429;00:08:30,498;Why do men love it so much?
74;00:08:30,766;00:08:32,533;It gives some men courage.
75;00:08:32,768;00:08:34,769;Does it give you courage?
76;00:08:37,739;00:08:40,040;That's far enough.
77;00:08:40,309;00:08:43,377;Lord Baelish, Lady Sansa.
78;00:08:43,645;00:08:45,513;My name is Brienne of Tarth.
79;00:08:45,814;00:08:47,981;We've met with Renly Baratheon.
80;00:08:49,250;00:08:51,185;What did he say about you?
81;00:08:51,552;00:08:56,223;He said, Your loyalty
81;00:08:51,552;00:08:56,223;came free of charge.
82;00:08:58,159;00:09:00,479;Someone appears to have paid
82;00:08:58,159;00:09:00,479;quite a bit for it since then.
83;00:09:13,907;00:09:16,509;Lady Sansa,
84;00:09:16,777;00:09:18,478;before your mother's death,
85;00:09:18,746;00:09:20,780;I was her sworn sword.
86;00:09:21,148;00:09:23,916;I gave my word I would
86;00:09:21,148;00:09:23,916;find you and protect you.
87;00:09:24,284;00:09:27,286;I will shield your back
87;00:09:24,284;00:09:27,286;and keep your counsel
88;00:09:27,620;00:09:30,022;and give my life
88;00:09:27,620;00:09:30,022;for yours if need be.
89;00:09:30,357;00:09:33,326;I swear it by the old
89;00:09:30,357;00:09:33,326;gods and the new.
90;00:09:34,761;00:09:36,562;Please, Lady Brienne,
91;00:09:36,830;00:09:38,397;no need for such formality.
92;00:09:38,698;00:09:40,833;You were Catelyn Stark's
92;00:09:38,698;00:09:40,833;sworn sword?
93;00:09:41,100;00:09:43,034;I was.
93;00:09:41,100;00:09:43,034;Strange.
94;00:09:43,370;00:09:44,503;I knew Cat from the time
94;00:09:43,370;00:09:44,503;we were children.
95;00:09:44,771;00:09:46,405;She never mentioned you.
96;00:09:46,673;00:09:48,374;It was after Renly's murder.
97;00:09:48,541;00:09:49,675;Ah, yes.
98;00:09:49,976;00:09:51,477;You were accused of killing him.
99;00:09:51,811;00:09:54,212;I tried to save him.
99;00:09:51,811;00:09:54,212;But you were accused.
100;00:09:54,514;00:09:56,281;By men who didn't see
100;00:09:54,514;00:09:56,281;what happened.
101;00:09:56,515;00:09:57,983;And what did happen?
102;00:10:02,454;00:10:04,589;He was murdered by a shadow.
103;00:10:04,957;00:10:07,292;A shadow with the face
103;00:10:04,957;00:10:07,292;of Stannis Baratheon.
104;00:10:07,493;00:10:10,561;A shadow?
105;00:10:10,829;00:10:14,164;With the face--
106;00:10:15,634;00:10:17,535;This woman swore
106;00:10:15,634;00:10:17,535;to protect Renly.
107;00:10:17,736;00:10:18,903;She failed.
108;00:10:19,304;00:10:22,339;She swore to protect your mother.
108;00:10:19,304;00:10:22,339;She failed.
109;00:10:22,808;00:10:26,577;Why would I want somebody with your
109;00:10:22,808;00:10:26,577;history of failure guarding Lady Sansa?
110;00:10:26,912;00:10:28,745;Why should you have
110;00:10:26,912;00:10:28,745;any say in her affairs?
111;00:10:29,014;00:10:30,314;Because I am her uncle.
112;00:10:30,748;00:10:33,650;I married her Aunt Lysa shortly
112;00:10:30,748;00:10:33,650;before my beloved's untimely death.
113;00:10:33,985;00:10:36,553;We're family now
113;00:10:33,985;00:10:36,553;and you are an outsider.
114;00:10:37,022;00:10:40,424;Forgive me, Lady Brienne, but experience
114;00:10:37,022;00:10:40,424;has made me wary of outsiders.
115;00:10:40,758;00:10:43,560;Lady Sansa, if we can
115;00:10:40,758;00:10:43,560;have a word alone--
116;00:10:43,728;00:10:45,028;No.
117;00:10:45,362;00:10:46,802;Please, my lady.
117;00:10:45,362;00:10:46,802;If I could explain--
118;00:10:46,997;00:10:49,332;I saw you at Joffrey's
118;00:10:46,997;00:10:49,332;wedding bowing to the king.
119;00:10:49,667;00:10:52,903;Neither of us
119;00:10:49,667;00:10:52,903;wanted to be there.
120;00:10:53,203;00:10:54,638;Sometimes we don't
120;00:10:53,203;00:10:54,638;have a choice.
121;00:10:54,872;00:10:56,940;And sometimes we do.
122;00:10:58,375;00:11:01,177;You should leave.
123;00:11:01,578;00:11:03,978;We don't want our new friend
123;00:11:01,578;00:11:03,978;wandering the countryside alone.
124;00:11:04,248;00:11:05,815;The roads in these parts
124;00:11:04,248;00:11:05,815;aren't safe.
125;00:11:06,050;00:11:07,083;Why don't you stay?
126;00:11:16,560;00:11:18,594;The man asked you
126;00:11:16,560;00:11:18,594;to stay--
127;00:11:21,130;00:11:23,866;Hyah! Hyah!
128;00:11:31,475;00:11:32,708;Hyah! Hyah!
129;00:11:33,042;00:11:35,743;After her!
130;00:11:47,290;00:11:49,124;Yah! Hah!
130;00:11:47,290;00:11:49,124;Oh!
131;00:12:06,509;00:12:08,509;Stop! Stop!
131;00:12:06,509;00:12:08,509;I'll take him!
132;00:12:09,811;00:12:11,845;Podrick!
133;00:12:12,114;00:12:14,148;Hold on to her!
134;00:12:16,985;00:12:18,619;Take her!
135;00:12:34,636;00:12:35,903;Keep moving!
136;00:12:47,481;00:12:50,116;Stop! Stop! Stop!
137;00:12:50,317;00:12:52,185;Stop! Stop!
138;00:12:55,322;00:12:57,657;That's a good boy.
138;00:12:55,322;00:12:57,657;Come on. Come on.
139;00:12:59,626;00:13:02,361;No, no, no, stop!
140;00:13:22,082;00:13:24,783;I guess that means
140;00:13:22,082;00:13:24,783;you're unarmed.
141;00:13:25,085;00:13:26,851;Down, Podrick! Down!
142;00:13:46,405;00:13:49,507;Podrick.
142;00:13:46,405;00:13:49,507;Yes, my lady?
143;00:13:49,741;00:13:51,709;You can stand now.
144;00:13:51,910;00:13:53,511;Yes, my lady.
145;00:13:56,948;00:13:59,217;Sansa Stark?
146;00:13:59,551;00:14:01,785;Wary of strangers,
146;00:13:59,551;00:14:01,785;as she should be.
147;00:14:02,187;00:14:04,187;I saw her riding on the East
147;00:14:02,187;00:14:04,187;Road with Littlefinger.
148;00:14:04,222;00:14:05,422;We'll follow them.
149;00:14:05,790;00:14:09,893;My lady, if both Stark girls
149;00:14:05,790;00:14:09,893;refused your service,
150;00:14:10,194;00:14:11,595;maybe you're released
150;00:14:10,194;00:14:11,595;from your vow.
151;00:14:11,963;00:14:14,031;I swore to their mother
151;00:14:11,963;00:14:14,031;I would protect those girls.
152;00:14:14,365;00:14:15,265;But if they don't want
152;00:14:14,365;00:14:15,265;your protection--
153;00:14:15,634;00:14:17,300;Do you think she's safe
153;00:14:15,634;00:14:17,300;with Littlefinger?
154;00:14:19,803;00:14:21,471;No, my lady.
155;00:14:21,705;00:14:23,373;Get your horse.
156;00:14:33,050;00:14:34,784;A summons from the queen.
157;00:14:53,069;00:14:55,904;There are only two
157;00:14:53,069;00:14:55,904;like it in the world.
158;00:14:56,273;00:14:58,374;The one I'm wearing,
158;00:14:56,273;00:14:58,374;the one I gave to Myrcella.
159;00:14:58,741;00:15:01,243;It's a threat.
159;00:14:58,741;00:15:01,243;Of course it's a threat.
160;00:15:01,511;00:15:03,945;Our daughter's alone in Dorne
161;00:15:04,281;00:15:07,516;surrounded by people
161;00:15:04,281;00:15:07,516;who hate our family.
162;00:15:07,750;00:15:09,317;It's a threat.
163;00:15:11,120;00:15:12,353;No note?
164;00:15:12,755;00:15:15,623;They blame us for the death
164;00:15:12,755;00:15:15,623;of Oberyn and his sister
165;00:15:16,092;00:15:18,794;and every other tragedy that's
165;00:15:16,092;00:15:18,794;befallen their cursed country.
166;00:15:19,195;00:15:21,436;I will burn their cities to
166;00:15:19,195;00:15:21,436;the ground if they touch her.
167;00:15:21,597;00:15:22,798;Softer.
167;00:15:21,597;00:15:22,798;What?
168;00:15:22,999;00:15:24,666;Not so loud.
169;00:15:25,101;00:15:27,134;Our daughter's in danger and you're
169;00:15:25,101;00:15:27,134;worried I'm speaking too loudly?
170;00:15:27,469;00:15:29,537;The world can't know
170;00:15:27,469;00:15:29,537;she's our daughter.
171;00:15:31,139;00:15:33,007;Then don't call her
171;00:15:31,139;00:15:33,007;your daughter.
172;00:15:33,309;00:15:34,909;You've never been
172;00:15:33,309;00:15:34,909;a father to her.
173;00:15:35,377;00:15:37,245;If I was a father to any of my children,
