1;00:00:09,501;00:00:13,501;<b><font color=#00FF00>♪ Game of Thrones 6x01 ♪</font></b>
﻿1;00:00:09,501;00:00:13,501;<font color=#00FFFF>The Red Woman</font>
﻿1;00:00:09,501;00:00:13,501;Original Air Date on April 24, 2016
2;00:00:13,525;00:00:20,025;== sync, corrected by <font color=#00FF00>elderman</font> ==
2;00:00:13,525;00:00:20,025;<font color=#00FFFF>@elder_man</font>
3;00:01:45,940;00:01:50,940;<b><font color=#FFFF00>♪ Music playing ends  ♪</font></b>
4;00:03:27,009;00:03:29,143;It's coming
4;00:03:27,009;00:03:29,143;from the courtyard.
5;00:03:34,317;00:03:36,650;It's the Lord Commander!
6;00:03:49,916;00:03:51,699;Help me get him inside.
7;00:04:46,756;00:04:48,923;Thorne did this.
8;00:04:53,179;00:04:56,397;How many of your brothers
8;00:04:53,179;00:04:56,397;do you think you can trust?
9;00:04:56,482;00:04:58,098;Trust?
10;00:05:01,320;00:05:02,570;The men in this room.
11;00:05:03,906;00:05:06,524;Does the wolf know you?
12;00:05:06,609;00:05:08,609;We need all the help
12;00:05:06,609;00:05:08,609;we can get.
13;00:05:15,117;00:05:16,951;Ser Davos.
14;00:05:58,461;00:06:01,829;I saw him in the flames
15;00:06:01,964;00:06:04,081;fighting at Winterfell.
16;00:06:08,087;00:06:10,254;I can't speak
16;00:06:08,087;00:06:10,254;for the flames...
17;00:06:12,174;00:06:13,974;but he's gone.
18;00:06:34,163;00:06:35,863;He was our Lord Commander.
19;00:06:35,948;00:06:37,781;He never should have been!
20;00:06:41,420;00:06:43,460;You all know why you're here.
21;00:06:46,709;00:06:49,259;Jon Snow is dead.
22;00:06:49,378;00:06:50,544;Who killed him?
23;00:06:51,797;00:06:53,514;I did.
24;00:06:53,599;00:06:55,883;And Bowen Marsh
24;00:06:53,599;00:06:55,883;and Othell Yarwyck
25;00:06:55,968;00:06:58,268;and the other officers
25;00:06:55,968;00:06:58,268;in this castle.
26;00:06:58,387;00:07:00,054;Murderers!
26;00:06:58,387;00:07:00,054;Traitors!
27;00:07:03,893;00:07:06,110;You're right!
28;00:07:06,228;00:07:08,445;We've committed treason,
28;00:07:06,228;00:07:08,445;all of us.
29;00:07:08,564;00:07:11,649;Jon Snow was
29;00:07:08,564;00:07:11,649;my Lord Commander.
30;00:07:12,818;00:07:14,451;I had no love for him.
31;00:07:14,570;00:07:16,904;That was no secret.
32;00:07:17,039;00:07:21,241;But I never once
32;00:07:17,039;00:07:21,241;disobeyed an order.
33;00:07:21,327;00:07:23,744;Loyalty is the foundation
34;00:07:23,879;00:07:25,879;on which the Night's
34;00:07:23,879;00:07:25,879;Watch is built.
35;00:07:25,965;00:07:28,332;And the Watch means
35;00:07:25,965;00:07:28,332;everything to me.
36;00:07:28,417;00:07:30,384;I have given my life,
37;00:07:30,469;00:07:34,588;we have all given our lives
37;00:07:30,469;00:07:34,588;to the Night's Watch.
38;00:07:36,976;00:07:41,478;Jon Snow was going to destroy
38;00:07:36,976;00:07:41,478;the Night's Watch.
39;00:07:41,597;00:07:44,181;He let the wildlings
39;00:07:41,597;00:07:44,181;through our gates
40;00:07:44,266;00:07:47,735;as no Lord Commander
40;00:07:44,266;00:07:47,735;has ever done before.
41;00:07:47,820;00:07:52,606;He gave them the very land
41;00:07:47,820;00:07:52,606;on which they reaved
42;00:07:52,692;00:07:56,443;and raped and murdered.
43;00:07:56,579;00:08:00,781;Lord Commander Snow
43;00:07:56,579;00:08:00,781;did what he thought was right,
44;00:08:00,866;00:08:03,784;I've no doubt
44;00:08:00,866;00:08:03,784;about that.
45;00:08:03,919;00:08:08,088;And what he thought was right
45;00:08:03,919;00:08:08,088;would have been the end of us.
46;00:08:08,174;00:08:11,375;He thrust a terrible
46;00:08:08,174;00:08:11,375;choice upon us.
47;00:08:12,545;00:08:14,628;And we made it.
48;00:08:26,392;00:08:28,642;He'll have seen
48;00:08:26,392;00:08:28,642;we didn't come.
49;00:08:28,728;00:08:30,811;Thorne will have
49;00:08:28,728;00:08:30,811;made it official by now.
50;00:08:30,946;00:08:32,396;Castle Black is his.
51;00:08:32,481;00:08:35,649;I don't care who's sitting
51;00:08:32,481;00:08:35,649;at the high table.
52;00:08:35,735;00:08:37,317;Jon was my friend.
53;00:08:37,453;00:08:40,621;And those fuckers
53;00:08:37,453;00:08:40,621;butchered him.
54;00:08:40,706;00:08:43,157;Now we return the favor.
55;00:08:43,242;00:08:44,658;We don't have
55;00:08:43,242;00:08:44,658;the numbers.
56;00:08:44,794;00:08:46,710;We have a direwolf.
56;00:08:44,794;00:08:46,710;It's not enough.
57;00:08:46,829;00:08:48,829;I didn't know
57;00:08:46,829;00:08:48,829;Lord Commander Snow for long,
58;00:08:48,914;00:08:52,132;but I have to believe he wouldn't have
58;00:08:48,914;00:08:52,132;wanted his friends to die for nothing.
59;00:08:52,218;00:08:56,720;If you were planning to see tomorrow,
59;00:08:52,218;00:08:56,720;you picked the wrong room.
60;00:08:56,839;00:08:59,006;We all die today.
61;00:08:59,141;00:09:01,809;I say we do our best
61;00:08:59,141;00:09:01,809;to take Thorne with us when we go.
62;00:09:01,894;00:09:05,312;We need to fight,
62;00:09:01,894;00:09:05,312;but we don't need to die.
63;00:09:05,397;00:09:07,815;Not if we have help.
63;00:09:05,397;00:09:07,815;Who is gonna help us?
64;00:09:07,900;00:09:11,268;You're not the only ones
64;00:09:07,900;00:09:11,268;who owe your lives to Jon Snow.
65;00:09:19,495;00:09:21,195;Bolt the door.
66;00:09:21,280;00:09:23,197;Don't let anyone in.
67;00:09:23,282;00:09:25,365;I'll be back
67;00:09:23,282;00:09:25,365;as soon as I can.
68;00:09:35,377;00:09:38,629;She was 11 the first time
68;00:09:35,377;00:09:38,629;I saw her.
69;00:09:40,599;00:09:43,383;The kennelmaster's
69;00:09:40,599;00:09:43,383;daughter.
70;00:09:45,688;00:09:47,805;She smelled of dog.
71;00:09:50,943;00:09:54,728;I wasn't much older,
71;00:09:50,943;00:09:54,728;but everybody was already afraid of me.
72;00:09:56,365;00:09:58,398;You certainly were.
73;00:10:03,823;00:10:05,405;Myranda wasn't, though.
74;00:10:05,491;00:10:09,376;What could I do to her
74;00:10:05,491;00:10:09,376;that those hounds couldn't?
75;00:10:09,461;00:10:11,328;She was fearless.
76;00:10:11,413;00:10:14,081;There was nothing
76;00:10:11,413;00:10:14,081;she wouldn't do.
77;00:10:19,755;00:10:23,590;Your pain will be paid for
77;00:10:19,755;00:10:23,590;a thousand times over.
78;00:10:26,595;00:10:29,263;I wish you could
78;00:10:26,595;00:10:29,263;be here to watch.
79;00:10:33,769;00:10:37,187;Shall I have a grave
79;00:10:33,769;00:10:37,187;dug for her, my lord?
80;00:10:38,774;00:10:41,692;Or would you rather
80;00:10:38,774;00:10:41,692;the men build a pyre?
81;00:10:46,532;00:10:48,832;Buried, burned?
82;00:10:48,951;00:10:50,584;This is good meat.
83;00:10:50,669;00:10:52,119;Feed it to the hounds.
84;00:10:54,123;00:10:56,840;Your command of the cavalry
84;00:10:54,123;00:10:56,840;was impressive.
85;00:10:56,959;00:10:59,843;Thanks to you, the false king
85;00:10:56,959;00:10:59,843;Stannis Baratheon is dead.
86;00:10:59,962;00:11:02,596;Do you know who struck
86;00:10:59,962;00:11:02,596;the killing blow?
87;00:11:02,681;00:11:04,681;No.
87;00:11:02,681;00:11:04,681;A shame.
88;00:11:04,800;00:11:06,683;I'd reward the man.
89;00:11:06,802;00:11:10,103;Still,
89;00:11:06,802;00:11:10,103;a great victory.
90;00:11:10,189;00:11:12,222;Do you feel
90;00:11:10,189;00:11:12,222;like a victor?
91;00:11:17,313;00:11:19,196;I rebelled
91;00:11:17,313;00:11:19,196;against the crown
92;00:11:19,315;00:11:21,365;to arrange your marriage
92;00:11:19,315;00:11:21,365;to Sansa Stark.
93;00:11:21,483;00:11:23,984;Do you think that
93;00:11:21,483;00:11:23,984;burning wagons in the night
94;00:11:24,119;00:11:26,320;and mowing down tired,
94;00:11:24,119;00:11:26,320;outnumbered Baratheons
95;00:11:26,455;00:11:29,740;is the same as facing a prepared
95;00:11:26,455;00:11:29,740;Nd provisioned Lannister army?
96;00:11:32,912;00:11:34,244;No.
97;00:11:36,131;00:11:37,831;A reckoning will come.
98;00:11:37,967;00:11:39,549;We need the North
98;00:11:37,967;00:11:39,549;to face it.
99;00:11:39,668;00:11:41,501;The entire North.
100;00:11:41,637;00:11:44,838;They won't back us
100;00:11:41,637;00:11:44,838;without Sansa Stark.
101;00:11:46,175;00:11:48,592;We no longer have
101;00:11:46,175;00:11:48,592;Sansa Stark.
102;00:11:48,677;00:11:50,894;You played
102;00:11:48,677;00:11:50,894;your games with her.
103;00:11:51,013;00:11:53,326;You played your games with
103;00:11:51,013;00:11:53,326;the heir to the Iron Islands
104;00:11:53,350;00:11:54,599;and now they're both gone.
105;00:11:54,600;00:11:57,517;I have a team of men after them
105;00:11:54,600;00:11:57,517;with some of my best hounds.
106;00:11:57,603;00:11:59,152;They won't get far.
107;00:11:59,238;00:12:01,238;I'm glad to hear it.
108;00:12:01,357;00:12:04,658;Without Sansa, you won't be able
108;00:12:01,357;00:12:04,658;to produce an heir.
109;00:12:04,743;00:12:07,828;And without an heir,
109;00:12:04,743;00:12:07,828;well...
110;00:12:10,749;00:12:13,000;let's hope
110;00:12:10,749;00:12:13,000;the maesters are right
111;00:12:13,085;00:12:15,002;and Lady Walda's
111;00:12:13,085;00:12:15,002;carrying a boy.
112;00:12:35,391;00:12:37,357;We can't stop.
113;00:12:56,078;00:12:57,577;We have to cross here.
114;00:13:00,582;00:13:01,797;I can't.
115;00:13:01,798;00:13:03,248;It's the only way
115;00:13:01,798;00:13:03,248;to throw off the hounds.
116;00:13:03,252;00:13:05,802;But it's too cold. I can't.
116;00:13:03,252;00:13:05,802;I won't make it. I'll die.
117;00:13:05,921;00:13:08,422;I've seen what his hounds
117;00:13:05,921;00:13:08,422;do to a person.
118;00:13:08,507;00:13:10,507;This way is better.
119;00:13:42,708;00:13:45,125;Over here.
119;00:13:42,708;00:13:45,125;Come on.
120;00:14:00,526;00:14:01,892;Sansa.
121;00:14:03,278;00:14:04,945;Sansa.
122;00:14:25,334;00:14:28,135;Tell them to settle down!
123;00:14:28,220;00:14:29,469;Stay here.
123;00:14:28,220;00:14:29,469;I'll lure them away.
124;00:14:29,555;00:14:31,671;No, I won't make it
124;00:14:29,555;00:14:31,671;without you.
125;00:14:31,807;00:14:33,507;You will.
126;00:14:33,592;00:14:35,842;Go north, only north.
127;00:14:35,928;00:14:37,761;Jon is Lord Commander
127;00:14:35,928;00:14:37,761;at Castle Black.
128;00:14:37,846;00:14:39,513;He'll help you.
129;00:14:48,774;00:14:51,241;See somebody, eh?
130;00:14:51,360;00:14:53,860;There they are!
130;00:14:51,360;00:14:53,860;Get them!
131;00:14:58,033;00:14:59,866;Where is Lady Bolton?
132;00:15:01,203;00:15:02,869;Dead.
132;00:15:01,203;00:15:02,869;Liar.
133;00:15:03,005;00:15:06,206;She broke her leg
133;00:15:03,005;00:15:06,206;jumping from the ramparts.
134;00:15:06,291;00:15:08,375;I left her to die
134;00:15:06,291;00:15:08,375;in the snow.
135;00:15:13,382;00:15:15,348;Got something!
135;00:15:13,382;00:15:15,348;Run!
136;00:15:17,853;00:15:18,969;Hyah!
137;00:15:27,312;00:15:29,813;Resist. Stay.
138;00:15:31,900;00:15:33,900;Stay.
139;00:15:34,036;00:15:38,238;I can't wait to see what parts
139;00:15:34,036;00:15:38,238;Ramsay cuts off you this time.
140;00:15:46,965;00:15:48,915;Rider! Who is it?
141;00:15:49,001;00:15:51,551;It's a bloody woman.
142;00:16:58,820;00:17:01,154;No! Please!
143;00:17:53,842;00:17:57,294;Lady Sansa, I offer
143;00:17:53,842;00:17:57,294;my services once again.
144;00:17:58,880;00:18:01,047;I will shield your back
144;00:17:58,880;00:18:01,047;and keep your counsel
145;00:18:01,133;00:18:03,383;and give my life
145;00:18:01,133;00:18:03,383;for yours if need be.
146;00:18:04,886;00:18:07,053;I swear it by the old gods
146;00:18:04,886;00:18:07,053;and the new.
147;00:18:17,065;00:18:18,865;And I vow...
148;00:18:20,652;00:18:24,070;that you shall always
148;00:18:20,652;00:18:24,070;have a place by my hearth
149;00:18:24,206;00:18:26,039;and...
150;00:18:28,243;00:18:29,993;Meat and mead
150;00:18:28,243;00:18:29,993;at my table.
151;00:18:30,078;00:18:32,245;...meat and mead
151;00:18:30,078;00:18:32,245;at my table.
152;00:18:34,883;00:18:39,336;And I pledge to ask
152;00:18:34,883;00:18:39,336;no service of you
153;00:18:39,421;00:18:41,921;that might
153;00:18:39,421;00:18:41,921;bring you dishonor.
154;00:18:42,007;00:18:45,258;I swear it by the old gods
154;00:18:42,007;00:18:45,258;and the new.
155;00:18:46,645;00:18:48,345;Arise.
156;00:19:33,475;00:19:36,943;Your Grace, I'm sorry
156;00:19:33,475;00:19:36,943;to disturb you.
157;00:19:37,028;00:19:39,612;A ship from Dorne
157;00:19:37,028;00:19:39,612;has sailed into the harbor.
158;00:19:40,949;00:19:42,732;Myrcella.
159;00:20:55,640;00:20:58,725;Do you remember
159;00:20:55,640;00:20:58,725;the first time you saw a dead body?
160;00:21:00,145;00:21:01,728;Mother.
161;00:21:04,032;00:21:05,732;All I could think about
161;00:21:04,032;00:21:05,732;when she died
162;00:21:05,867;00:21:08,034;was what would happen
162;00:21:05,867;00:21:08,034;to her now.
163;00:21:11,656;00:21:14,657;Every day,
163;00:21:11,656;00:21:14,657;every night,
164;00:21:14,743;00:21:17,076;what does Mama
164;00:21:14,743;00:21:17,076;look like now?
165;00:21:19,464;00:21:21,714;Has she started
165;00:21:19,464;00:21:21,714;to bloat?
166;00:21:23,251;00:21:25,752;Has her skin
166;00:21:23,251;00:21:25,752;turned black?
167;00:21:27,255;00:21:29,923;Have her lips
