1;00:00:08,623;00:00:12,623;<b><font color=#00FF00>♪ Game of Thrones 6x06 ♪</font></b>
﻿1;00:00:08,623;00:00:12,623;<font color=#00FFFF>The Door</font>
﻿1;00:00:08,623;00:00:12,623;Original Air Date on May 29, 2016
2;00:00:12,647;00:00:19,147;== sync, corrected by <font color=#00FF00>elderman</font> ==
2;00:00:12,647;00:00:19,147;<font color=#00FFFF>@elder_man</font>
3;00:02:46,892;00:02:48,425;Burn them all!
4;00:02:48,527;00:02:49,993;Where's my sister?
5;00:02:51,964;00:02:53,764;Burn them all!
6;00:03:24,296;00:03:25,629;Please.
7;00:03:38,477;00:03:40,710;Burn them.
7;00:03:38,477;00:03:40,710;Burn them all!
8;00:03:54,560;00:03:57,093;- Burn them all!
9;00:04:05,337;00:04:08,171;Meera.
10;00:04:08,273;00:04:10,240;They found us.
11;00:04:17,482;00:04:20,417;I'm so sorry.
12;00:05:24,583;00:05:26,016;Come with me, now.
13;00:05:31,023;00:05:33,356;The dead don't rest.
14;00:05:59,184;00:06:00,884;It's so green.
15;00:06:00,986;00:06:02,652;Oh, yes.
16;00:06:02,754;00:06:04,554;Once you get south
16;00:06:02,754;00:06:04,554;of the Riverlands,
17;00:06:04,656;00:06:07,557;very different sorts of trees
17;00:06:04,656;00:06:07,557;start to take over.
18;00:06:07,659;00:06:11,361;Maple, elm,
18;00:06:07,659;00:06:11,361;beech, poplar.
19;00:06:14,933;00:06:16,833;The odd willow.
20;00:06:16,935;00:06:19,402;And of course
20;00:06:16,935;00:06:19,402;now that summer's over,
21;00:06:19,504;00:06:22,305;you'll start seeing
21;00:06:19,504;00:06:22,305;the autumn colors coming in.
22;00:06:24,776;00:06:28,812;Still, you'll find more green here
22;00:06:24,776;00:06:28,812;than anywhere else.
23;00:06:28,914;00:06:32,582;You're nervous.
23;00:06:28,914;00:06:32,582;You're a nervous talker.
24;00:06:37,389;00:06:39,789;That's not any better
24;00:06:37,389;00:06:39,789;being a nervous mute.
25;00:06:39,891;00:06:42,359;I didn't think
25;00:06:39,891;00:06:42,359;I'd ever come back here
26;00:06:42,461;00:06:44,728;after my father made me
26;00:06:42,461;00:06:44,728;renounce my title
27;00:06:44,830;00:06:46,696;and inheritance
28;00:06:46,798;00:06:49,232;and, well, threaten
28;00:06:46,798;00:06:49,232;to kill me if I didn't.
29;00:06:50,802;00:06:53,169;A person just doesn't
29;00:06:50,802;00:06:53,169;feel welcome at that point.
30;00:06:55,240;00:06:58,475;And I certainly didn't expect to be
30;00:06:55,240;00:06:58,475;introducing him to my family.
31;00:06:59,945;00:07:02,412;So you know
31;00:06:59,945;00:07:02,412;what to tell them.
32;00:07:02,514;00:07:04,381;That Little Sam
32;00:07:02,514;00:07:04,381;is your baby.
33;00:07:04,483;00:07:06,049;Yes, now that's
