1;00:00:08,905;00:00:12,905;<b><font color=#00FF00>♪ Game of Thrones 6x08 ♪</font></b>
﻿1;00:00:08,905;00:00:12,905;<font color=#00FFFF>No One</font>
﻿1;00:00:08,905;00:00:12,905;Original Air Date on June 12, 2016
2;00:00:12,929;00:00:19,429;== sync, corrected by <font color=#00FF00>elderman</font> ==
2;00:00:12,929;00:00:19,429;<font color=#00FFFF>@elder_man</font>
3;00:01:54,222;00:01:56,289;My son.
4;00:01:57,759;00:01:59,825;My firstborn son.
5;00:02:03,197;00:02:06,766;My child king, hush.
6;00:02:09,037;00:02:11,837;Listen to the gods,
6;00:02:09,037;00:02:11,837;for you they sing.
7;00:02:15,877;00:02:17,543;Fight no more,
7;00:02:15,877;00:02:17,543;sweet child.
8;00:02:17,645;00:02:19,679;Your wars are won.
9;00:02:21,316;00:02:23,683;The wolves are buried
10;00:02:23,785;00:02:26,085;and the false stag done.
11;00:02:30,458;00:02:32,658;Shut your blue eyes,
11;00:02:30,458;00:02:32,658;my love.
12;00:02:32,760;00:02:34,293;Let the crown fall.
13;00:02:34,395;00:02:36,996;The Father above
13;00:02:34,395;00:02:36,996;beckons you to his hall.
14;00:02:38,833;00:02:41,934;In Seventh Heaven
14;00:02:38,833;00:02:41,934;I'll see you once more.
15;00:02:45,673;00:02:50,309;But now I seek vengeance
15;00:02:45,673;00:02:50,309;on Sansa the whore
16;00:02:50,411;00:02:53,145;and my brother the Imp
17;00:02:53,247;00:02:56,048;who killed his own king.
18;00:02:56,150;00:02:58,818;Born amongst lions,
18;00:02:56,150;00:02:58,818;our curse from within.
19;00:02:58,920;00:03:01,187;I will slay him,
19;00:02:58,920;00:03:01,187;I swear.
20;00:03:01,289;00:03:03,856;With noose or with knife,
21;00:03:03,958;00:03:06,559;though it take me
21;00:03:03,958;00:03:06,559;a fortnight,
22;00:03:06,661;00:03:10,196;a moon or my life.
23;00:03:34,756;00:03:37,156;What is that
23;00:03:34,756;00:03:37,156;I hear and smell?
24;00:03:37,258;00:03:40,559;Someone I'll soon send to hell.
25;00:03:40,661;00:03:43,295;It's time to see
25;00:03:40,661;00:03:43,295;if truth they told
26;00:03:43,398;00:03:46,232;who said Tywin Lannister
26;00:03:43,398;00:03:46,232;shits gold.
27;00:03:46,334;00:03:48,067;Get the wig!
28;00:03:48,169;00:03:51,837;You beast, you beast.
28;00:03:48,169;00:03:51,837;You killed my wife.
29;00:03:51,939;00:03:53,512;And now you've taken
29;00:03:51,939;00:03:53,512;your father's life.
30;00:03:55,209;00:03:58,344;No worse child
30;00:03:55,209;00:03:58,344;ever stained this land.
31;00:03:58,446;00:04:01,680;I curse the day I named you.
32;00:04:04,052;00:04:06,952;My greatest crime!
33;00:04:38,686;00:04:40,386;You're good at that.
34;00:04:40,488;00:04:42,955;Where did you learn?
35;00:04:43,057;00:04:44,690;I'm a jealous woman.
36;00:04:44,792;00:04:47,093;I've always
36;00:04:44,792;00:04:47,093;liked bad men
37;00:04:47,195;00:04:49,295;and they've always
37;00:04:47,195;00:04:49,295;liked me.
38;00:04:51,132;00:04:53,866;They'd come home
38;00:04:51,132;00:04:53,866;wherever home was that night
39;00:04:53,968;00:04:58,170;stinking of some
39;00:04:53,968;00:04:58,170;whore's perfume.
40;00:04:58,272;00:05:01,107;So we'd fight
40;00:04:58,272;00:05:01,107;and I'd put a hole in them.
41;00:05:01,209;00:05:03,943;And then
41;00:05:01,209;00:05:03,943;I'd feel terrible,
42;00:05:04,045;00:05:06,011;so I'd patch them up.
43;00:05:06,114;00:05:07,513;I got good
43;00:05:06,114;00:05:07,513;at patching them up.
44;00:05:07,615;00:05:09,248;And good at putting
44;00:05:07,615;00:05:09,248;holes in them.
45;00:05:09,350;00:05:11,584;And that.
46;00:05:14,422;00:05:16,655;What happened
46;00:05:14,422;00:05:16,655;to the actress?
47;00:05:16,757;00:05:19,859;The one who wanted
47;00:05:16,757;00:05:19,859;you dead.
48;00:05:19,961;00:05:21,594;Bianca.
49;00:05:21,696;00:05:24,230;She'll have a hard time
49;00:05:21,696;00:05:24,230;finding work as an actress
50;00:05:24,332;00:05:26,365;after what I did
50;00:05:24,332;00:05:26,365;to her face.
51;00:05:31,606;00:05:32,805;Mmm.
52;00:05:32,907;00:05:34,974;I never did
52;00:05:32,907;00:05:34,974;learn to cook.
53;00:05:35,076;00:05:37,643;But eat.
53;00:05:35,076;00:05:37,643;Eat. You need it.
54;00:05:39,747;00:05:42,615;The company is moving on
54;00:05:39,747;00:05:42,615;to Pentos soon.
55;00:05:42,717;00:05:44,250;You should come with us.
56;00:05:44,352;00:05:46,385;I can't.
56;00:05:44,352;00:05:46,385;Why not?
57;00:05:46,487;00:05:48,921;Got a feeling you'd be good at
