1;00:00:03,200;00:00:08,320;♪ (PIANO PLAYING) ♪
2;00:00:13,450;00:00:14,490;♪ (PIANO STOPS) ♪
3;00:00:14,820;00:00:16,820;(EXPLOSIONS)
3;00:00:14,820;00:00:16,820;(MAN YELLING)
4;00:00:17,450;00:00:19,490;♪ (PIANO PLAYING) ♪
5;00:00:21,950;00:00:24,490;The war is over.
5;00:00:21,950;00:00:24,490;Winter has come.
6;00:00:24,780;00:00:26,199;JON SNOW: The war is not over.
7;00:00:26,200;00:00:28,489;The true enemy won't
7;00:00:26,200;00:00:28,489;wait out the storm.
8;00:00:28,490;00:00:29,780;(MEN CHEERING)
9;00:00:30,280;00:00:33,489;MEN: (CHANTING)
9;00:00:30,280;00:00:33,489;The King in the North!
9;00:00:30,280;00:00:33,489;The King in the North!
10;00:00:33,490;00:00:36,700;(CHANTING CONTINUES)
11;00:00:38,360;00:00:41,570;Our uncle Euron returned
11;00:00:38,360;00:00:41,570;home after a long absence.
12;00:00:43,030;00:00:44,030;(GRUNTS, SCREAMS)
13;00:00:44,950;00:00:47,569;THEON GREYJOY:
13;00:00:44,950;00:00:47,569;He murdered our father, and took
13;00:00:44,950;00:00:47,569;the Salt Throne from Yara.
14;00:00:47,570;00:00:49,170;He would have murdered us
14;00:00:47,570;00:00:49,170;if we'd stayed.
15;00:00:49,320;00:00:53,200;Build me a thousand ships,
15;00:00:49,320;00:00:53,200;and I will give you this world.
16;00:00:55,320;00:00:56,529;There's a storm coming.
17;00:00:56,530;00:00:58,070;You'll be wanting
17;00:00:56,530;00:00:58,070;a roof tonight.
18;00:00:58,530;00:01:01,359;I don't have much, but I have
18;00:00:58,530;00:01:01,359;hidden a bit of silver
19;00:01:01,360;00:01:03,490;from the bandits.
19;00:01:01,360;00:01:03,490;(DISTANT SCREAM)
20;00:01:03,700;00:01:05,029;ARYA STARK:
20;00:01:03,700;00:01:05,029;What did you do?!
21;00:01:05,030;00:01:06,490;They'll both be dead
21;00:01:05,030;00:01:06,490;come winter.
22;00:01:07,610;00:01:09,529;BERIC DONDARRION:
22;00:01:07,610;00:01:09,529;Cold winds are rising
22;00:01:07,610;00:01:09,529;in the North.
