1;00:00:05,500;00:00:08,709;LORD VARYS:
﻿1;00:00:05,500;00:00:08,709;Your father has proved
﻿1;00:00:05,500;00:00:08,709;to be an awful traitor.
2;00:00:08,710;00:00:11,709;The girl is innocent.
2;00:00:08,710;00:00:11,709;She should be given a chance
3;00:00:11,710;00:00:12,960;to prove her loyalty.
4;00:00:13,340;00:00:14,959;CERSEI LANNISTER: You must write
4;00:00:13,340;00:00:14,959;to Lady Catelyn.
5;00:00:14,960;00:00:17,839;If you would help your father,
5;00:00:14,960;00:00:17,839;urge your brother
6;00:00:17,840;00:00:19,210;to keep the king's peace.
7;00:00:19,550;00:00:20,970;Tell him to come
7;00:00:19,550;00:00:20,970;to King's Landing,
8;00:00:20,971;00:00:22,750;and swear his fealty to Joffrey.
9;00:00:25,130;00:00:27,590;You're sure this is
9;00:00:25,130;00:00:27,590;the only copy in Winterfell?
10;00:00:39,800;00:00:41,390;(DRAGON GROWLING)
11;00:00:41,800;00:00:43,715;TYRION LANNISTER:
11;00:00:41,800;00:00:43,715;Daenerys is not her father.
12;00:00:43,716;00:00:46,629;VARYS: And she never will be.
12;00:00:43,716;00:00:46,629;With the right counsel.
13;00:00:46,630;00:00:48,420;I am her hand, not her head.
14;00:00:48,840;00:00:50,499;I can't make
14;00:00:48,840;00:00:50,499;her decisions for her.
15;00:00:50,500;00:00:53,040;You need to find a way
15;00:00:50,500;00:00:53,040;to make her listen.
16;00:00:55,590;00:00:58,499;JEOR MORMONT:
16;00:00:55,590;00:00:58,499;It's called Longclaw.
16;00:00:55,590;00:00:58,499;It was my father's sword.
17;00:00:58,500;00:01:00,669;It was meant for my son, Jorah.
18;00:01:00,670;00:01:02,379;He brought dishonor
18;00:01:00,670;00:01:02,379;to our house,
19;00:01:02,380;00:01:05,879;but he had the grace to leave
19;00:01:02,380;00:01:05,879;the sword before he fled
20;00:01:05,880;00:01:07,340;from Westeros.
21;00:01:07,920;00:01:10,999;Clegane, look into the flames.
21;00:01:07,920;00:01:10,999;What do you see?
22;00:01:11,000;00:01:12,040;(FIRE CRACKLING)
23;00:01:12,050;00:01:14,930;There's a mountain.
23;00:01:12,050;00:01:14,930;Looks like an arrowhead.
24;00:01:15,460;00:01:18,750;The dead are marching past.
24;00:01:15,460;00:01:18,750;Thousands of 'em.
25;00:01:19,000;00:01:20,499;TYRION: Cersei thinks
25;00:01:19,000;00:01:20,499;the army of the dead
26;00:01:20,500;00:01:21,879;is nothing but a story.
27;00:01:21,880;00:01:24,339;What if we prove her wrong,
27;00:01:21,880;00:01:24,339;bring one of these things
28;00:01:24,340;00:01:26,540;down to King's Landing
28;00:01:24,340;00:01:26,540;and show her the truth?
29;00:01:29,630;00:01:31,250;JON SNOW:
29;00:01:29,630;00:01:31,250;We're all on the same side.
30;00:01:32,630;00:01:33,710;We're all breathin'.
31;00:01:41,550;00:01:44,510;( theme music playing )
32;00:03:43,210;00:03:45,840;( wind howling )
33;00:04:07,630;00:04:09,959;You all right?
33;00:04:07,630;00:04:09,959;Mm.
34;00:04:09,960;00:04:12,169;Ever been north before?
35;00:04:12,170;00:04:13,839;Never seen snow before.
36;00:04:13,840;00:04:15,709;Beautiful, eh?
37;00:04:15,710;00:04:17,249;I can breathe again.
38;00:04:17,250;00:04:19,419;Down south,
38;00:04:17,250;00:04:19,419;the air smells
38;00:04:17,250;00:04:19,419;like pig shit.
39;00:04:19,420;00:04:21,040;You've never been down south.
40;00:04:21,050;00:04:22,970;I've been to Winterfell.
40;00:04:21,050;00:04:22,970;That's the North.
41;00:04:22,971;00:04:24,379;( blows raspberry )
42;00:04:24,380;00:04:26,499;Gendry:
42;00:04:24,380;00:04:26,499;How do you live
42;00:04:24,380;00:04:26,499;up here?
43;00:04:26,500;00:04:28,379;How do you keep your balls
43;00:04:26,500;00:04:28,379;from freezing off?
44;00:04:28,380;00:04:30,879;Tormund:
44;00:04:28,380;00:04:30,879;You got to keep moving.
44;00:04:28,380;00:04:30,879;That's the secret.
45;00:04:30,880;00:04:34,919;Walking's good,
45;00:04:30,880;00:04:34,919;fighting's better,
45;00:04:30,880;00:04:34,919;fucking's best.
46;00:04:34,920;00:04:38,379;There's not a living woman
46;00:04:34,920;00:04:38,379;within a hundred miles
46;00:04:34,920;00:04:38,379;of here.
47;00:04:38,380;00:04:40,750;We have to make do
47;00:04:38,380;00:04:40,750;with what we've got.
48;00:04:46,380;00:04:48,959;This one is maybe not so smart.
49;00:04:48,960;00:04:50,879;Davos says
49;00:04:48,960;00:04:50,879;he's a strong fighter.
50;00:04:50,880;00:04:54,379;Good.
50;00:04:50,880;00:04:54,379;That's more important
50;00:04:50,880;00:04:54,379;than being smart.
51;00:04:54,380;00:04:57,590;Smart people
51;00:04:54,380;00:04:57,590;don't come up here
51;00:04:54,380;00:04:57,590;looking for the dead.
52;00:04:59,130;00:05:02,419;Tormund:
52;00:04:59,130;00:05:02,419;So, you met
52;00:04:59,130;00:05:02,419;this Dragon Queen, huh?
53;00:05:02,420;00:05:03,790;And?
54;00:05:03,800;00:05:07,169;She'll only
54;00:05:03,800;00:05:07,169;fight beside us
54;00:05:03,800;00:05:07,169;if I bend the knee.
55;00:05:07,170;00:05:09,589;You spent too much time
55;00:05:07,170;00:05:09,589;with the Free Folk.
56;00:05:09,590;00:05:11,290;Now you don't like kneeling.
57;00:05:14,250;00:05:16,589;Mance Rayder was a brave man.
58;00:05:16,590;00:05:18,419;A proud man.
59;00:05:18,420;00:05:22,250;The King-beyond-the-Wall
59;00:05:18,420;00:05:22,250;never bent the knee.
60;00:05:23,590;00:05:27,250;How many of his people
60;00:05:23,590;00:05:27,250;died for his pride?
61;00:05:39,960;00:05:42,589;You still mad at us, boy?
62;00:05:42,590;00:05:44,629;You sold me to a witch.
63;00:05:44,630;00:05:46,040;A priestess.
64;00:05:46,050;00:05:48,959;I'll admit,
64;00:05:46,050;00:05:48,959;it is a subtle distinction.
65;00:05:48,960;00:05:52,129;We're fighting a great war.
65;00:05:48,960;00:05:52,129;Wars cost money.
66;00:05:52,130;00:05:53,999;I wanted to be one of you.
67;00:05:54,000;00:05:57,040;I wanted to
67;00:05:54,000;00:05:57,040;join the Brotherhood,
67;00:05:54,000;00:05:57,040;but you sold me off
68;00:05:57,050;00:05:58,999;like a slave.
69;00:05:59,000;00:06:00,999;Do you know what she did to me?
70;00:06:01,000;00:06:02,589;She strapped me down on a bed,
71;00:06:02,590;00:06:05,419;she stripped me naked...
71;00:06:02,590;00:06:05,419;Sounds all right so far.
72;00:06:05,420;00:06:08,169;...and put leeches on me.
72;00:06:05,420;00:06:08,169;Was she naked, too?
73;00:06:08,170;00:06:09,629;She needed your blood.
74;00:06:09,630;00:06:11,290;Yes, thank you.
74;00:06:09,630;00:06:11,290;I know that.
75;00:06:11,300;00:06:14,255;Could have been worse.
75;00:06:11,300;00:06:14,255;She wanted to kill me!
76;00:06:14,256;00:06:18,419;They would have killed me
76;00:06:14,256;00:06:18,419;if wasn't for Davos.
76;00:06:14,256;00:06:18,419;But they didn't, did they?
77;00:06:18,420;00:06:20,169;So, what you whinging about?
78;00:06:20,170;00:06:21,839;I'm not whinging.
79;00:06:21,840;00:06:24,790;Your lips are moving
79;00:06:21,840;00:06:24,790;and you're complaining
79;00:06:21,840;00:06:24,790;about something.
80;00:06:24,800;00:06:26,839;That's whinging.
81;00:06:26,840;00:06:28,629;This one's been
81;00:06:26,840;00:06:28,629;killed six times.
82;00:06:28,630;00:06:30,340;You don't hear him
82;00:06:28,630;00:06:30,340;bitching about it.
83;00:06:40,550;00:06:41,970;Good lad.
84;00:06:46,420;00:06:50,169;Jon: The first time
84;00:06:46,420;00:06:50,169;I went north of the Wall
84;00:06:46,420;00:06:50,169;was with your father.
85;00:06:50,170;00:06:51,790;He was a good man.
86;00:06:51,800;00:06:54,919;He deserved a better son.
87;00:06:54,920;00:06:56,959;Were you with him at the end?
88;00:06:56,960;00:07:00,040;I was a prisoner
88;00:06:56,960;00:07:00,040;of the wildlings.
89;00:07:00,050;00:07:02,049;But we avenged him.
90;00:07:02,050;00:07:03,549;I want you to know that.
91;00:07:03,550;00:07:06,549;Every mutineer found justice.
92;00:07:06,550;00:07:09,385;Can't think
92;00:07:06,550;00:07:09,385;of a worse way
92;00:07:06,550;00:07:09,385;for him to go.
93;00:07:09,386;00:07:10,879;The Night's Watch was his life.
94;00:07:10,880;00:07:13,709;He would have died
94;00:07:10,880;00:07:13,709;to protect every one
94;00:07:10,880;00:07:13,709;of those men.
95;00:07:13,710;00:07:15,169;And they butchered him.
96;00:07:15,170;00:07:18,379;I hate that he died that way.
97;00:07:18,380;00:07:21,040;My father was
97;00:07:18,380;00:07:21,040;the most honorable man
97;00:07:18,380;00:07:21,040;I ever met.
98;00:07:21,050;00:07:23,839;He was good all the way through.
99;00:07:23,840;00:07:27,089;And he died on
99;00:07:23,840;00:07:27,089;the executioner's block.
100;00:07:27,090;00:07:31,249;Your father wanted
100;00:07:27,090;00:07:31,249;to execute me, you know?
101;00:07:31,250;00:07:32,790;I heard.
102;00:07:32,800;00:07:35,089;He was in the right, of course.
103;00:07:35,090;00:07:37,589;Didn't make me
103;00:07:35,090;00:07:37,589;hate him any less.
