TITLES,INT. DARK ROOM - NIGHT TIME
OLD MAN,Bloody kids.
EXT. DARKNESS,"The old man is wandering up to the house carrying a lit torch. He opens the front door, inside is just as dark. He begins climbing the stairs, we hear whispers and hushed voices coming from upstairs. The old man waits outside the room where the conversation is taking place and listens on."
WORMTAIL,Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy..
VOLDEMORT,"NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say."
UNKNOWN MAN,I will not disappoint you my lord.
VOLDEMORT,"Good. First, gather our old comrades. Send them a sign."
VOLDEMORT,Nagini tells me the old caretaker is standing outside the door.
VOLDEMORT,Step aside so I can give our guest a proper greeting.
INT. BEDROOM,HERMIONE Harry!
HERMIONE,Are you alright?
HARRY,Hermione. Bad dream. When did you get here?
HERMIONE,Just now. You?
HARRY,Last night.
HERMIONE,Wake up. Wake up Ronald!
RON,Bloody hell.
HERMIONE,"Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready."
EXT. GRASSLAND,HARRY Where are we actually going?
RON,Don't know. Hey Dad! Where are we going?
ARTHUR,"Haven't the foggiest, keep up!"
AMOS,Arthur! It's about time son.
ARTHUR,"Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right?"
CEDRIC,Yes sir.
AMOS,"Merlin's beard, you must be Harry Potter."
HARRY,Yes sir. This way.
AMOS,Great great pleasure.
HARRY,Pleasure to meet you too sir.
ARTHUR,"That's it sir, just over there."
AMOS,Shall we? We don't want to be late.
HARRY,Why are they all standing around that manky old boot?
FRED,That isn't just any old manky boot mate.
GEORGE,It's a portkey.
AMOS,Time to go. Ready?
HARRY,What's a 'portkey'?
AMOS,After 3. One... Two...
ARTHUR,Harry!
AMOS,Three!
ARTHUR,Let go kids!
HERMIONE,What??
ARTHUR,Let! Go!
ARTHUR,I bet that cleared your sinuses eh?
HARRY,Thanks.
ARTHUR,"Well kids, welcome to the Quidditch World Cup!"
AMOS,"Parting of the waves I think old chap, see you at the match."
HARRY,See ya later Cedric.
ARTHUR,Home sweet home.
INT. TENT,"They enter the tent, the inside is many times bigger than the outside."
ARTHUR,"Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry."
TWINS,Yeah get out of the kitchen Ron.
ARTHUR,Feet off the table.
TWINS,Feet off the table.
HARRY,(Smiling) I love magic.
EXT. HILLSIDE,We pan up the hillside onto a large stadium which seems to have a huge number of floors.
INT. STADIUM,The Weasleys and Harry are finding their seats.
RON,"Blimey Dad, how far up ARE we?"
LUCIUS,"Well put it this way, if it rains... you'll be the first to know"
DRACO,"Father and I are in the minister's box, by personal invitation of Cornelius Fudge himself."
LUCIUS,Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can.
ARTHUR,"Come on up, take your seats. I told you these seats would be worth waiting for."
GEORGE,Come on!
FRED,It's the Irish!
GEORGE,Here come the Bulgarians!
WEASLEYS,Krum!!!
GEORGE,Yes!
ANNOUNCER,Good evening! It gives me great pleasure to welcome each and every one of you to the final of the 422nd Quidditch World Cup. Let the match begin!
INT. TENT,"RON There's no one like Krum. He's like a bird the way he rides the wind. He's more than an athlete, he's an artist."
GINNY,Think you're in love Ron?
TWINS,(Singing) Viktor I love you! Viktor I do!
BOYS,When we're apart my heart beats only for youuu!
FRED,Sounds like the irish have got their pride on.
ARTHUR,Stop! Stop it. It's not the irish. We've gotta get out of here. Now.
EXT. OUTSIDE THE TENT,"ARTHUR Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility."
EXT. OUTSIDE - TIME PASSED,"The crowds have all gone. A man walks through the rubble kicking at things. He casts a spell which causes a bright flash and a large ghostly skull forms in the sky with a snake crawling from it. The man grins evilly, clearly demented. Harry stirs and witnesses the man standing there. Harry runs. The familiar voices of Ron and Hermione are calling for him."
RON,Been looking for you for ages. Thought we lost you.
HARRY,What is THAT?
ARTHUR,Stop! That's my son.
ARTHUR,"Ron, Harry, Hermione are you alright?"
BARTY,Which of you conjured this?
ARTHUR,You can't possibly..
BARTY,Do not lie! You have been discovered at the scene of the crime!
HARRY,Crime?
ARTHUR,"Barty, they're just kids."
HARRY,What crime?
HERMIONE,Harry it's his mark.
HARRY,"Those people tonight, in the masks... they're his too aren't they? they're his followers."
BARTY,Follow me.
HARRY,There was a man. Before. There.
BARTY,"All of you, this way."
ARTHUR,"Harry, who?"
HARRY,I dunno. I didn't see his face.
INT. TRAIN CARRIAGE,"Harry, Ron and Hermione are seated on a train. A voice calls out."
LADY OFFSCREEN,Anything from the trolley? Anything from the trolley?
LADY,Anything from the trolley dears?
RON,Packet of drewbals and a liquorice wand.
RON,"On second thought, just the drewbals."
HARRY,It's alright I'll get it.
RON,"Just the drewbals, thanks."
CHO,Two pumpkin pasties please.
CHO,Thank you.
LADY,Anything sweet for you dear?
HARRY,Oh no thank you I'm not hungry.
HERMIONE,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?"
RON,"Loads according to Dad, that's what worried them so much. Happened right under their noses."
HERMIONE,"It's hurting again isn't it, your scar."
HARRY,I'm fine.
HERMIONE,"You know Sirius will want to hear about this. What you saw at the world cup, and the dream."
EXT. HOGWARTS,We see four flying horses flying through the air pulling a carriage coming in to land at Hogwarts. The crowds cheer.
HAGRID,Clear the runway.
HARRY,Well there's something you don't see every day.
DUMBLEDORE,"Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen..."
DUMBLEDORE,"So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic and their headmistress Madam Maxime."
STUDENT,"Blimey, that's one big woman."
DUMBLEDORE,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff."
RON,"Blimey it's him, Viktor Krum!"
IGOR,Albus!
DUMBLEDORE,Igor.
EXT. HOGWARTS - STORMY - NIGHT,"MADAME MAXIME Professor Dumbledore, my horses have travelled a long way. They will need attending to."
